-33.6958 -89.6981 | 4.04034 1.39012 | -16931 8655.31
-33.3267 -90.0486 | 3.71675 -0.211954 | -25442.7 9955.27
-32.9799 -90.3994 | -5.62616 2.92738 | 43706.3 -10886.6
-32.5915 -90.7359 | 2.09423 1.5944 | -24256.2 20784.1
-32.2112 -91.0557 | 2.13582 2.42225 | -11307.4 -21572.7
-31.844 -91.394 | 3.16603 -6.03811 | 22455.2 8240.45
-31.4424 -91.7056 | 4.08202 -5.53932 | 5434.61 -9549.09
-31.0208 -92.0003 | -4.83502 -5.44318 | -15791.4 21431
-30.5951 -92.2622 | 1.76923 -4.98085 | 5166.82 -15313.8
-30.1655 -92.5282 | 2.0808 -2.96334 | -5835.59 -406.788
-29.734 -92.7858 | -0.627937 7.96345 | -5129.11 8551.44
-29.2903 -93.0145 | -3.54989 3.81757 | 29573.3 -7402.46
-28.8154 -93.2207 | -2.88008 -0.209036 | -15024.6 -6452.95
-28.3409 -93.4111 | -0.170973 -5.80166 | -12265.1 9879.31
-27.8622 -93.5578 | 1.95234 -1.63057 | 8139.03 8984.53
-27.3681 -93.6552 | -4.46161 -2.38239 | 3521.67 -19675
-26.8666 -93.7359 | 1.49409 1.75133 | -8582.35 16036.8
-26.3636 -93.7575 | -1.33896 -1.32284 | 19115.7 2759.23
-25.8498 -93.737 | -2.05202 -1.07663 | -13311.2 -7731.39
-25.3463 -93.7015 | 3.59785 1.16267 | -19222.3 1788.08
-24.8568 -93.6497 | -1.69907 7.09725 | 21672.8 -13419.2
-24.3574 -93.5916 | 3.37227 3.63402 | -9867.15 6897.18
-23.8723 -93.4791 | 4.89618 -1.93951 | -5012.41 11209.3
-23.408 -93.2972 | -3.77299 2.38985 | 20734.2 -622.371
-22.9466 -93.0751 | -4.9144 -2.28969 | -5887.58 12124.1
-22.5027 -92.817 | -0.335062 0.269804 | -2381.49 -13507.3
-22.061 -92.5694 | 4.06682 0.321531 | -3424.39 -19659.2
-21.6189 -92.3389 | 0.415434 -8.37561 | -1006.13 25721.2
-21.1889 -92.0691 | -1.65656 -4.18797 | 22519.8 2737.29
-20.7498 -91.788 | 4.7353 -2.48026 | -13897.8 -2801.37
-20.3227 -91.5046 | -1.29665 -7.80562 | -9989.91 -16335.9
-19.9034 -91.2348 | -6.41244 5.461 | -14149.9 12223.9
-19.4938 -90.9596 | 2.36078 0.885825 | 9812.52 1445.18
-19.0573 -90.7212 | 1.84401 -0.0390502 | 12590.3 -30931.8
-18.5872 -90.5591 | 0.124898 -1.33785 | -21538.9 17953.1
-18.1268 -90.3866 | -2.81008 1.99656 | 24089.5 20659.8
-17.6509 -90.1961 | 1.70765 7.23441 | 20266.5 -10850.7
-17.1543 -90.0335 | 1.0367 -1.62075 | -39827.5 -2036.91
-16.6758 -89.8896 | -7.06193 -1.31634 | 15020 4092.73
-16.1824 -89.775 | -1.36101 -3.15206 | 5623.05 -7155.1
-15.6769 -89.7118 | 2.34066 -1.57703 | -11195.3 7255.2
-15.1733 -89.6933 | -0.381279 2.36746 | 11184 -11245
-14.6648 -89.7451 | -0.333735 -2.16804 | 5340.91 -7604.64
-14.1612 -89.8523 | -4.00825 -2.72066 | -16436.9 21180.4
-13.6761 -89.9756 | -1.64426 -0.965929 | -7183.87 -8766.96
-13.2125 -90.1468 | 0.719187 -0.0984101 | -6566.06 10328.1
-12.7698 -90.3539 | 0.931304 0.651292 | 21725.8 -9201.07
-12.3404 -90.6152 | 2.98879 -1.93344 | -12256.5 -11473.4
-11.9549 -90.9353 | 1.70731 3.53652 | -14772 13835.3
-11.5972 -91.2694 | -5.39378 0.0814778 | 23302.1 348.597
-11.2225 -91.6 | -0.408488 -2.21485 | -3679.79 -13504.2
-10.8486 -91.9397 | -1.16425 -0.882404 | 8248.01 22739.8
-10.4627 -92.2606 | 2.23655 -5.84649 | -5167.13 -29647.7
-10.0945 -92.6161 | 0.465091 -10.0411 | 10449.9 13594
-9.7254 -92.9683 | -1.92327 -3.17404 | -23295.6 1584.92
-9.38229 -93.3294 | -1.859 -2.786 | -100.989 -3348.5
-9.03368 -93.684 | 0.188312 -2.01031 | 24435.6 27855.9
-8.65052 -94.001 | 1.60672 -3.8924 | -21177.2 -35165.1
-8.30141 -94.3624 | 5.39175 3.35036 | -2953.4 3088.85
-7.95425 -94.7243 | 0.962277 -2.20813 | 16610.5 10340
-7.57032 -95.0504 | -3.81926 -2.04724 | -12811.9 -4186.72
-7.17133 -95.3509 | -4.51499 0.675953 | 11471.1 8508.71
-6.7418 -95.6084 | 3.5812 -0.739256 | -17253.4 -1668.94
-6.30831 -95.8428 | 4.58157 -1.05073 | 9852.41 -1076.6
-5.85562 -96.0531 | 0.86682 -2.89115 | 8841.25 -7204.87
-5.38553 -96.2456 | 6.11812 -1.89262 | 2337.13 -5229.32
-4.90277 -96.4123 | 1.42834 0.835142 | -3682.99 20592.4
-4.4132 -96.527 | 2.12897 6.56696 | -25699.8 -33850.9
-3.93604 -96.6369 | 3.63641 -6.4391 | 13683 46981.4
-3.44319 -96.6414 | -2.42993 -6.23634 | -230.244 -28419.6
-2.94983 -96.6365 | -2.77478 -4.21624 | -7357.37 1252.38
-2.46213 -96.6066 | -0.0970056 -3.04942 | 12400.5 3096.04


-53.0342 -31.2159 | -0.186602 3.66129 | -3375.1 -916.668
-52.6284 -30.9307 | 1.00461 2.11791 | -3953.25 -2316.45
-52.2023 -30.683 | 2.87003 0.481446 | 2826.72 -1464.74
-51.753 -30.4786 | 2.57067 1.47315 | -642.487 879.587
-51.2872 -30.3146 | 1.83524 2.09136 | 295.871 2145.37
-50.8087 -30.1895 | 0.411544 3.06216 | 1696.69 -1823.25
-50.3199 -30.107 | -0.403788 2.45363 | 264.669 173.527
-49.8254 -30.0604 | 0.37652 0.204832 | 4151.75 349.551
-49.3259 -30.0414 | 0.868132 0.326217 | 985.627 4421.53
-48.8248 -30.0418 | 2.99931 -0.219728 | -123.4 -437.334
-48.3247 -30.0706 | 4.28718 -2.22772 | -1815.05 -5642.65
-47.8291 -30.1347 | 3.07511 -0.381468 | -1293.23 1928.11
-47.3378 -30.2181 | 2.79107 1.46196 | -790.979 1971.41
-46.8499 -30.3117 | 2.94725 -0.485727 | -3345.8 4703.66
-46.3673 -30.4124 | 3.05602 -1.6542 | -5047.77 -3310.56
-45.8932 -30.5331 | 2.32554 -2.45997 | -2656.51 -5093.97
-45.4242 -30.6684 | 0.537808 -4.14556 | 2107.01 6908.55
-44.9501 -30.7903 | 0.940464 -2.29043 | 9069 -2970.87
-44.4649 -30.9006 | 1.57411 -1.15739 | 10107.2 -3169.05
-43.9678 -30.9977 | 2.50803 -0.353328 | 4341.94 2549.12
-43.4637 -31.0744 | 3.37903 -0.0964357 | -5565.23 -1611.39
-42.9618 -31.1355 | 1.8179 -2.21147 | -10233.1 -2566.27
-42.4653 -31.1773 | 0.639942 -1.48746 | -57.416 2582.44
-41.9679 -31.1825 | -0.15733 -0.0610859 | 6221.23 2972.83
-41.4675 -31.1448 | -1.09402 0.106191 | 1276.16 -1582.9
-40.9697 -31.0697 | -2.21508 3.01725 | -97.8577 -2584.32
-40.4789 -30.956 | -2.64622 0.0888514 | 4552.11 5008.66
-39.9981 -30.7916 | -2.055 0.287752 | 1520.08 5453.03
-39.5341 -30.5785 | -3.06368 3.41014 | -5012.68 -3098.86
-39.0903 -30.3346 | -2.64912 1.36491 | -4477.34 -4398.57
-38.6635 -30.0706 | -1.70072 1.96681 | 2032.93 -332.921
-38.2477 -29.7882 | -0.715325 3.45576 | 4016.72 2256.25
-37.8423 -29.4853 | 0.203898 3.10793 | -362.454 3541.67
-37.4522 -29.161 | 0.972401 2.03264 | -2159.19 -5727.31
-37.077 -28.8251 | 2.25851 0.659566 | -2451.05 -738.574
-36.7189 -28.4739 | 2.33343 0.9207 | 1687.82 2257.46
-36.3762 -28.1057 | -0.236508 2.6342 | -2471.35 2010.31
