-1.67771 28.1239 | -0.735638 -0.776437 | -5029.48 7901.86
-1.30373 27.7961 | -2.50419 0.379016 | -3162.6 3296.69
-0.930625 27.4738 | -4.7272 1.65408 | 123.327 -544.838
-0.552964 27.1582 | -1.62091 4.78215 | -1769.2 4392.89
-0.169057 26.8544 | 0.185459 4.70437 | -1935.34 -7242.88
0.221113 26.5555 | -1.24769 1.95299 | 3552.26 1158.65
0.630206 26.279 | -3.05102 0.398637 | 6032.5 841.201
1.06157 26.0316 | -3.47886 2.30595 | -2301.87 -1855.78
1.50529 25.8074 | -2.98485 0.177497 | 135.89 378.453
1.96003 25.6067 | -4.44354 -3.86777 | -2756.62 -5528.6
2.42308 25.4276 | -4.1226 -1.82776 | 406.742 1488.94
2.89912 25.2899 | -1.39207 -1.16733 | -3712.35 3952.4
3.38439 25.2075 | -1.58739 -3.77839 | -380.09 28.2439
3.87548 25.1777 | -0.893076 -3.16436 | 3975.76 -3201.67
4.36989 25.1939 | -1.14477 -0.754076 | -881.154 -1174.75
4.86033 25.2583 | 0.141893 0.602756 | -993.367 8094.65
5.34294 25.3749 | 2.43763 0.84049 | 12259.9 -1912.6
5.82747 25.5148 | 0.220153 4.46997 | -1512.63 -3143.44
6.30774 25.6647 | -1.90409 1.00854 | -7314.03 -3358.48
6.77981 25.8216 | -3.14851 1.82886 | 1748.06 -3841.85
7.24746 25.9888 | -2.21361 5.40157 | -1752.5 3217.49
7.7037 26.1834 | 2.48064 1.26944 | -2449.04 4700.04
8.14608 26.4071 | 1.82213 -0.528209 | 1165.99 -4262.2
8.5824 26.6418 | 0.606504 -0.442242 | 2918.06 -895.534
9.01563 26.8854 | 1.28337 0.467968 | -367.88 6365.79
9.44322 27.1428 | 3.9763 -2.3379 | -1030.04 -4499.14
9.87119 27.3967 | 2.34984 -2.07259 | 3574.63 2833.7
10.3048 27.6454 | -1.43115 2.80884 | -4394.31 -2418.98
10.7424 27.8803 | -0.0301742 0.57125 | -30.0035 -2321.8
11.1878 28.0964 | 0.317685 -1.92726 | -1588.91 -2444.19
11.6389 28.296 | -1.49221 2.00856 | -4983.93 11198.2
12.0932 28.4894 | 1.29674 4.0998 | 11254.8 -6266.7
12.5687 28.6426 | 2.9078 3.42944 | 1254.28 -1363.13
13.0569 28.7556 | 2.80048 4.70002 | -753.239 5765.4
13.5512 28.8364 | 3.60727 1.2369 | -4949.95 -7643.82
14.0459 28.871 | 3.02387 -2.10669 | -10569.3 6403.43
14.5354 28.8752 | 2.71578 -1.77317 | 11895 161.655
15.0306 28.8399 | 0.953686 0.462043 | 276.358 -3172.31
15.522 28.7572 | 0.705749 3.66484 | 904.715 -1803.25
16.0064 28.633 | -0.497133 1.87012 | 5351.39 -569.737
16.4854 28.48 | -0.255682 0.404883 | -9483.94 6734.02
16.9516 28.3103 | 2.89746 0.857777 | 3370.13 -1068.86
17.4105 28.1187 | 1.40008 1.91129 | -923.354 -3578.51
17.8589 27.9029 | -1.54398 2.21787 | -1825.8 5631.99
18.2988 27.6757 | -0.284753 1.9384 | 4473.45 -1010.36
18.7321 27.432 | -0.645434 1.74456 | -6125.68 3393.63
19.1493 27.1682 | -1.30264 0.561291 | 5987.79 -7611.14
19.5541 26.8753 | -2.65475 -1.47618 | 4116.37 -562.914
19.9472 26.5616 | -0.510366 -1.96762 | -6002.61 -638.98
20.3239 26.2298 | 0.446326 -2.4373 | 4585.65 -13885.3
20.7011 25.8865 | 0.276333 -0.77753 | 6590.79 15599.5
21.1006 25.5725 | -0.0860127 -3.70102 | 3941.37 -1041.82
21.5135 25.2733 | -0.3426 -5.64163 | -9060.4 -5008.39
