56.4441 -72.7433 | -0.073665 -2.96233 | -9381.81 5545.24
56.9263 -72.8938 | 0.255508 0.532822 | -1781.22 5532.09
57.412 -73.0223 | -1.56438 0.362536 | 2911.45 -5053.52
57.9028 -73.1418 | -2.49235 -2.60604 | 3482.44 -2753.09
58.4007 -73.248 | -0.526868 0.430588 | 7087.55 -4355.54
58.9072 -73.328 | -1.13266 -0.555006 | -13682.4 10466
59.4087 -73.3533 | -1.06396 -1.78552 | -10881 1814.32
59.9015 -73.331 | 0.860122 -1.10874 | 2480.65 -5093.79
60.3926 -73.2766 | 2.71259 -2.05136 | 2319.42 1589.7
60.8822 -73.1862 | 2.84873 -2.71575 | 19414.5 -1605.41
61.3769 -73.0614 | 2.11659 2.42038 | -9184.89 3972.93
61.8521 -72.8874 | 1.80194 1.97759 | -10126.3 2218.56
62.3026 -72.6694 | 0.859748 -0.458243 | 12635.9 -6612.89
62.7455 -72.4285 | -0.396643 1.46549 | -9202.32 -2869.62
63.1606 -72.1525 | -0.227438 0.792973 | -1116.75 9500.64
63.544 -71.8308 | -0.760057 -0.0469912 | -1504.28 -5252.43
63.9036 -71.4863 | -1.90085 1.68103 | 5969.04 -5257.4
64.2486 -71.1264 | -1.77354 4.79387 | -2354.63 12463.6
64.5662 -70.7364 | 0.48138 0.791161 | -130.875 -10279.4
64.8651 -70.3378 | -0.822441 -1.77389 | -4221.45 3132.3
65.1439 -69.9257 | 1.08484 -1.61342 | 4120.23 354.217


-27.7976 71.7589 | 3.05243 -2.4451 | -3952.49 -1008.65
-27.3042 71.7057 | 4.51149 -1.75569 | 825.904 157.075
-26.8136 71.6259 | 1.813 -2.29668 | 861.186 -965.803
-26.3257 71.5274 | -0.544352 -4.11677 | -478.733 5569.33
-25.8398 71.4224 | 1.30612 0.789228 | 2491.14 -3895.24
-25.3552 71.3013 | 1.33348 2.69644 | 696.919 -3957.12
-24.8723 71.169 | 0.308835 1.3784 | -1886.26 6148.91
-24.3884 71.045 | -0.0753083 1.33279 | 7563.06 -2534.5
-23.8979 70.9255 | 1.95 1.91687 | 1320.18 1073.15
-23.4048 70.8122 | 1.85573 -0.156895 | -4532.25 1585.34
-22.9146 70.7018 | 0.0949626 -3.23792 | -3447.7 -1575.24
-22.4283 70.5883 | 0.477686 -2.16004 | -3189.66 850.272
-21.9452 70.4743 | 1.35817 -0.439221 | -837.251 -3691.97
-21.463 70.3614 | 2.76654 -1.48587 | -4685.62 5359.62
-20.9813 70.2673 | 3.68389 -0.820353 | -2796.83 5255.16
-20.4992 70.1901 | -0.681753 0.304011 | 4547.25 -5794.4
-20.0139 70.1077 | -2.258 1.79489 | 6678.13 -6292.48
-19.5233 70.0183 | 0.36934 3.48285 | 3933.55 1212.46
-19.0272 69.941 | -0.0189983 1.77706 | -3206.4 542.346
-18.53 69.8871 | -1.3128 0.508623 | -2658.08 -3819.79
-18.0324 69.8662 | -1.94022 1.28546 | 991.924 9865.33
-17.5348 69.9033 | 0.626775 1.1489 | 4415.14 -3320.67
-17.0391 69.9823 | 3.33979 0.863243 | 1537.17 -5548.86
-16.5516 70.1016 | 1.7091 -1.26787 | -6629.41 5118.3
-16.0864 70.2801 | -0.335208 -0.504499 | -2854.99 3346.77
-15.6454 70.5107 | -1.45116 -0.407485 | 3545.09 -1919.96
-15.2187 70.7712 | -1.19636 0.778324 | 3627.35 3641.3
-14.8 71.0525 | 2.29602 0.0817491 | 9871.82 -3676.99
-14.381 71.3411 | 1.45654 -1.26789 | -3516.82 266.718
-13.9776 71.6479 | 0.412381 1.5664 | -13018.1 2983.36
-13.6003 71.9771 | 2.68113 2.21508 | 4205.98 -6018.25
-13.2256 72.307 | 2.28956 0.596054 | 2958.21 -3394.11
-12.8503 72.6371 | -0.0224579 2.048 | -162.799 10625.9
-12.4818 72.9813 | -1.80399 3.03948 | -273.644 -1418.18
-12.1132 73.3232 | 0.0900591 1.00288 | -6262.54 -9848.77
-11.7411 73.6477 | 1.69998 0.968233 | -6155.63 -6201.06
-11.3637 73.9555 | -0.213871 2.7771 | -760.199 4251.11
-10.9771 74.2549 | -1.30646 1.93473 | 13137.4 8523.34
-10.5684 74.5431 | -3.32236 0.149539 | 1877.65 -1084.12
-10.1434 74.8098 | -1.24878 0.669822 | -8510.37 -673.552
-9.70993 75.0532 | 0.871577 1.86784 | 3038.23 1218.99
-9.25898 75.2646 | -2.43693 0.739448 | -3064.57 -1010.05
-8.79218 75.4326 | -1.32211 -1.78934 | 3838.84 -2667.42
-8.30802 75.5482 | 1.66992 0.251344 | -828.768 1848.48
-7.81536 75.6166 | 3.26381 3.13501 | -5636.2 3737.83
-7.32149 75.6375 | 2.63177 2.44174 | 5448.16 -5564.57
-6.82482 75.5969 | -1.27367 2.96826 | 4579.67 -436.454
-6.32995 75.5051 | -0.236153 3.15498 | 9109.17 4473.63
-5.83871 75.372 | 2.38065 1.56533 | -4373.83 -4766.69
-5.36786 75.1841 | 1.20336 0.102628 | -6723.19 5912.26
-4.92574 74.9484 | -0.322981 -0.718676 | 2440.77 -4135.49
-4.51574 74.6574 | -0.856943 0.753755 | -3639.22 -4409.32
-4.14525 74.3166 | -0.233356 1.72113 | 1812.99 797.745
-3.80387 73.9459 | -0.81446 0.241486 | -890.344 4075.66
-3.48523 73.5585 | -0.801645 2.0659 | -4786.64 -3045.99
-3.18478 73.1575 | -0.290002 2.08467 | 4539.56 229.818
-2.87928 72.7588 | 2.86363 2.89069 | 5369.21 7226.11
-2.55958 72.3726 | 2.91747 0.813046 | -4329.73 -5856.21
-2.24028 71.9839 | 0.861965 -1.13113 | 2265.42 -3992.52
-1.9148 71.5968 | 1.46244 2.20159 | 4255.84 10084.4
-1.57823 71.2227 | 0.469929 -0.446517 | -8357.45 -8365.31
-1.2492 70.8415 | 1.92693 -1.20005 | 4130.43 -970.684
-0.912185 70.4652 | 3.40068 -1.27526 | 1495.78 9218.02
-0.564151 70.1051 | 0.703369 -4.04709 | -9931.02 -1200.9
-0.219802 69.7484 | -1.04282 -1.57127 | -1879.94 1152.76
0.131854 69.4014 | -1.64951 1.11135 | 4197.91 -3200.33
0.503478 69.0707 | 0.0509108 1.31276 | 2751.79 645.368
0.899071 68.7667 | 0.135963 -2.35611 | -824.063 4121.49
1.31461 68.4929 | -1.31152 -2.49626 | 2579.78 -4808.28
1.745 68.2382 | -1.14572 0.396603 | -7180.04 185.232
2.18326 68.0045 | -0.666405 1.73208 | 4785.28 1620.43
2.63849 67.7987 | -0.407251 -0.329693 | 8509.69 -5623.98
3.11038 67.6162 | -0.692979 -1.67929 | -7953.27 2279.96
3.58789 67.4644 | -1.24543 2.00987 | -3930.37 3455.82
4.07256 67.3479 | -2.75428 2.68029 | 11677.2 -4113.36
4.57185 67.2601 | -1.08288 0.822107 | 5336.43 227.606
5.08004 67.2045 | -0.778043 -1.15947 | -4144.51 -278.141
5.5869 67.1823 | -0.787757 0.283574 | -14017 2442.93
6.08344 67.1974 | 1.57762 4.00192 | -2910.82 1337.03
6.57471 67.2446 | 2.70704 1.55547 | 4352.51 -2220.24
7.06583 67.3115 | 2.4152 -0.479722 | -2836.29 3343.44
7.55388 67.3946 | 1.27275 1.91142 | 5562.36 -1721.94
8.04596 67.4756 | 1.43738 3.42104 | 3549.36 -3039.8
8.54192 67.5459 | 1.39552 0.438627 | -4601.56 4634.43
9.03588 67.6097 | -0.556519 -0.858898 | -3921.09 -7962.92
9.52876 67.651 | -1.78759 -0.507276 | 328.377 1766.74
10.023 67.6849 | -3.00175 -3.44913 | 7867.5 2811.12
10.5225 67.72 | -3.37293 -4.41782 | -196.759 942.702
11.0215 67.755 | -0.383196 -3.77593 | -11882.3 -2603.16
11.5129 67.7855 | -0.175697 -1.75003 | 4283 2829.4
12.0063 67.8157 | 0.253488 0.890053 | 1980.77 -4430.77
12.5013 67.8388 | 1.58474 -0.0683931 | -864.961 7664.31
12.9959 67.8669 | 0.823792 2.41964 | -2077.28 441.547
13.4899 67.8819 | 2.40654 1.20223 | 961.645 -4053.89
13.9856 67.8644 | 1.77026 -0.913934 | 10749.9 -4856.1
14.4862 67.8125 | 2.13164 2.19696 | -2605.13 5126.61
14.9826 67.7427 | 1.82469 -0.6863 | -11412.7 4199.54
15.4685 67.6533 | 0.438683 -0.975271 | 9089.21 -10970.1
15.9546 67.5306 | 1.97505 0.439145 | 9905.91 11372.8
16.4442 67.3989 | 1.35866 0.315032 | -10262.9 -4855.65


-35.8486 -14.1346 | -2.04666 4.89221 | 2272.22 -2238.7
-35.3766 -13.9635 | 1.41735 -4.4074 | 3265 3417.86
-34.9136 -13.7624 | -0.746565 1.02403 | -2191.26 2854.14
-34.4639 -13.5327 | -1.96936 0.579707 | 5457.67 -5301.74
-34.0218 -13.2857 | 0.449608 -1.95316 | -5465.29 7723.7
-33.5989 -13.0084 | -1.87073 -1.84189 | -3894.73 -624.52
-33.1873 -12.7185 | -3.86697 -2.6538 | 3059.65 -3366.11
-32.7706 -12.4349 | -2.6151 -1.63536 | 3839.81 2931.58
-32.343 -12.1626 | -1.94029 -3.56666 | -1121.21 -5899.37
-31.9048 -11.9126 | 0.0515883 -3.97589 | -1492.83 2493.22
-31.4593 -11.6779 | -0.586032 0.796042 | -11347.5 11832.8
-31.0077 -11.4636 | 0.494353 0.338713 | 11307.9 -19092.3
-30.5262 -11.3252 | 3.59157 -5.0336 | -239.469 -1946.63
-30.0334 -11.2374 | 2.01603 -5.93216 | -15567.1 15215.2
-29.5465 -11.166 | 1.29388 1.80259 | 3699.94 -4071.18
-29.0542 -11.1419 | 2.62582 3.13868 | 3714.77 -3136.67
-28.5601 -11.1766 | 0.358096 -1.01903 | -2134.32 5287.88
-28.0732 -11.2653 | 2.57951 2.73671 | 6793.23 -7187.04
-27.5967 -11.4207 | 0.410861 3.3645 | 5534.6 -3877.2
-27.1364 -11.6311 | -1.91028 -0.418515 | -6025.06 9123.54
-26.7 -11.8767 | 1.00744 -0.0886698 | -3099.34 -6914.2
-26.2893 -12.1644 | -1.35096 1.17512 | 5457.7 -4373.58
-25.8909 -12.4761 | -1.16278 -0.642815 | 687.065 6967.43
-25.4961 -12.7884 | 2.62687 0.0776874 | -88.9788 5908.51
-25.1049 -13.0998 | 2.52607 0.59613 | -3812.85 2864.09
-24.7286 -13.423 | 3.45329 2.29916 | -6659.9 -4948.48
-24.3758 -13.7705 | 1.65002 3.93137 | 9144.31 -388.004
-24.0306 -14.1318 | 0.145841 1.4463 | -2029.69 -4545.64
-23.6995 -14.5083 | 0.436804 -0.501122 | -5563.05 2418.55
-23.3761 -14.8878 | 0.0615154 0.496286 | 10666 863.741
-23.0383 -15.2597 | -0.541754 -0.304033 | -684.24 -981.755
-22.6963 -15.6287 | -1.74 0.992671 | -4248.56 -617.847
