-19.6756 -67.2237 | 0.592973 1.48892 | -4503.8 6803.13
-19.2235 -67.4315 | 0.797963 0.566721 | -3930.57 8368.58
-18.7471 -67.5594 | 0.575875 -0.0695587 | 25.7686 -11007.3
-18.2589 -67.6368 | 0.286555 0.64397 | -1441.09 -1344.43
-17.7659 -67.6542 | 1.18605 1.89935 | 86.169 7966.73
-17.2748 -67.6006 | 1.36052 1.20961 | 2639.68 -457.276
-16.7882 -67.5012 | 0.711609 2.25074 | 1267.08 -2388.77
-16.3053 -67.3802 | -1.55884 3.53739 | 3749 -5708.39
-15.8231 -67.2515 | -4.2798 2.02513 | -3890.54 3880.24
-15.3481 -67.1054 | -3.21778 -1.67056 | -5024.17 -3110.04
-14.8798 -66.9512 | -2.16551 -1.48413 | 4623.07 -6130.25
-14.4122 -66.7909 | -2.69459 -0.304233 | 2640.64 4728.43
-13.9525 -66.6005 | -2.22991 -1.01839 | 1921.97 6841.69
-13.5064 -66.3716 | -2.45383 -1.84605 | 483.351 3049.17
-13.072 -66.1167 | -1.95088 -3.51744 | 497.357 -2152.59
-12.6416 -65.8555 | -2.31051 -4.39568 | -785.299 -645.818
-12.2098 -65.5989 | -1.0595 -4.18051 | -2992.15 -3682.04
-11.7732 -65.358 | 1.70498 -2.35928 | -1575.04 -2267.03
-11.3289 -65.1362 | 1.39808 -0.566044 | -462.487 1822.65
-10.8762 -64.9315 | 0.391953 -2.40653 | 4245.73 -627.49
-10.4115 -64.7479 | 0.368845 -4.25587 | 2304.2 1639.62
-9.93856 -64.5821 | -0.0935489 -2.23515 | -6997.12 -2959.39
-9.46486 -64.4346 | -0.563676 -3.41553 | -3026.96 5937.06
-8.98845 -64.2989 | -1.79281 -6.17682 | 7314.78 1261.43
-8.49941 -64.1933 | -2.62526 -5.8675 | 2466.75 -3827.13
-8.00075 -64.1362 | -2.53892 -3.4205 | -2539.32 1931.46
-7.5005 -64.1285 | -2.44904 -3.53253 | -2390.44 -3850.28
-7.0036 -64.1787 | -1.77535 -2.33233 | 6405.27 -1414.38
-6.50898 -64.279 | -2.28424 -2.57657 | 7036.11 1344.18
-6.01902 -64.4194 | -3.51775 -4.61922 | -1857.26 1121.27
-5.54445 -64.6012 | -3.43279 -3.67271 | -6533.21 -2057.86
-5.09526 -64.8295 | -3.58769 -2.84294 | -5775.18 -1709.03
-4.67142 -65.0958 | -2.19489 -4.1244 | 3711.47 5726.27
-4.25963 -65.3796 | 1.33956 -2.65588 | -496.275 -2661.54
-3.86164 -65.6827 | 0.823599 -3.5486 | -5390.15 -360.18
-3.47601 -65.997 | 0.620675 -3.14807 | 5141.74 7720.76
-3.08751 -66.306 | 0.603161 -1.47256 | -5035.14 -4635.18
-2.70498 -66.6212 | -1.06857 -2.3377 | 1238.01 42.4886
-2.31914 -66.9336 | 0.912955 -0.77245 | 4339.79 784.704
-1.92317 -67.2367 | 3.79318 0.847536 | -2068.64 -2422.66
-1.52119 -67.5321 | 2.17628 -0.92048 | 310.715 187.36
-1.10871 -67.8124 | -0.626624 -1.23371 | -1199.4 2667.33
-0.683423 -68.0696 | 0.597522 0.210776 | -1475.88 -2121.33
-0.24419 -68.3021 | 2.74491 0.457449 | 5337.22 1525.43
0.215042 -68.4992 | 3.56025 1.74156 | -117.189 1886.97
0.687959 -68.6613 | 3.3511 1.29217 | -268.315 -1997.01
1.16943 -68.7972 | 2.72535 -0.858674 | -684.635 -2291.37
1.65714 -68.909 | 2.0189 -1.91326 | 1302.04 2846.77
2.15132 -68.99 | 1.0885 -3.06698 | -180.266 -2973.17
2.64844 -69.0458 | -0.736457 -5.57788 | -6698.21 -2924.84
3.14344 -69.0705 | 0.00240479 -5.33106 | 70.6935 5213.36
3.63777 -69.0464 | 1.79765 -2.1278 | 934.952 -2502.01
4.1289 -68.979 | 1.64862 0.0355821 | 3105.68 -764.721
4.61424 -68.8656 | 0.902691 -1.44434 | 3915.18 7937.9
5.08904 -68.7007 | 0.432949 -0.293556 | -2596.95 -4198.11
5.55047 -68.5063 | 1.81886 3.01525 | -110.88 -2488.81
6.0012 -68.2902 | 2.54084 6.06774 | 1003.59 2079.57
6.44185 -68.0518 | 2.01916 3.77202 | 1384.29 -2827.72
6.87356 -67.7968 | 1.40323 0.266771 | 1612.71 3876.77
7.29346 -67.5191 | 0.560747 -0.156399 | -2473.81 -433.789
7.69904 -67.2237 | 1.79942 -1.09092 | -1354.9 -2757.17
8.0925 -66.9171 | 3.39272 -3.39938 | -6395.19 -1473.43
8.47224 -66.6014 | 2.38791 -2.02815 | -5459.16 -453.936
8.84718 -66.2854 | 1.84504 -1.12406 | 5815.68 1114.35
9.23772 -65.9846 | 0.746105 -3.08398 | 1687.42 -5178.19
9.64759 -65.7121 | -2.07331 -1.39934 | -1540.6 -1841.68
10.0696 -65.4603 | -0.48652 -0.543415 | 2092.92 5461.77
10.4991 -65.2147 | 2.24115 -1.29656 | -405.664 5732.62
10.9347 -64.9749 | 1.69616 0.207216 | 3482.65 -360.225
11.3849 -64.7584 | 0.0444814 1.49356 | 520.215 -4408.48
11.8501 -64.5773 | 0.289938 3.86628 | 218.945 253.243
12.3262 -64.4259 | 0.615736 4.61189 | 2269.28 1394.51
12.8107 -64.2982 | -1.44879 2.53755 | -4796.46 4530.65
13.2976 -64.1915 | -2.48851 0.610567 | -1192.32 -3037.17
13.7891 -64.1228 | -1.57212 0.238874 | -4277.66 -4089.49
14.2812 -64.0972 | -0.0889347 -0.0816216 | -33.6447 3717.42
14.7742 -64.1021 | 1.21752 -1.24057 | 5579.53 -5491.57
15.2698 -64.138 | 0.190567 -2.08724 | -1283.47 4674.99
15.7644 -64.182 | 0.0503324 -1.92626 | 3518.55 6349.86
16.2607 -64.2292 | 1.14641 -1.26922 | -1535.6 -10422.8
16.7537 -64.2998 | 1.35212 -2.2477 | -5322.63 6662.21
17.2427 -64.3712 | 1.03855 -3.80928 | 6721.37 6867.43
17.7349 -64.445 | -0.992002 -7.55832 | -1501.92 -8255.94
18.2218 -64.5518 | -0.952395 -7.36909 | 3515.74 791.924
18.7035 -64.6884 | 0.490324 -1.43774 | 653.06 1200.79
19.1745 -64.8564 | -0.145021 0.371867 | -10491.8 -4015.09
19.625 -65.061 | -0.0557475 -0.678392 | 4166.31 668.024
20.0691 -65.283 | -0.997077 -0.695676 | 2514.32 503.857


-17.1086 86.7258 | 0.409441 0.46095 | 9243.73 -1667.12
-16.5996 86.7266 | 1.45125 -0.785038 | -1121.71 2023.64
-16.0938 86.7699 | 1.92595 -4.3644 | -4222.29 3759.9
-15.596 86.8543 | 2.91631 -7.01901 | -488.996 -3417.45
-15.1046 86.9638 | 2.55796 -5.38137 | -996.954 -1529.03
-14.6199 87.0952 | 1.95495 -3.0291 | -3002.55 3761.4
-14.1435 87.2505 | 1.71008 -0.84283 | 3790.5 -2228.34
-13.668 87.4157 | 2.54666 -0.31715 | 3571.89 1082.1
-13.1925 87.5887 | 3.81775 -1.1018 | -772.588 -327.774
-12.7197 87.7665 | 2.57637 -1.23907 | -4297.75 -4992.09
-12.2528 87.9463 | 1.67095 -1.99699 | -5790.94 103.582
-11.7959 88.138 | 2.4955 -1.29898 | -2864.32 2306.11
-11.3475 88.3441 | 2.01974 0.435106 | 1275.48 -3060.01
-10.9014 88.5541 | 0.824155 0.487975 | 800.249 -1883.42
-10.4579 88.7688 | -0.743694 -0.79461 | -1430.17 3411.1
-10.0207 88.9965 | -1.77086 -1.73993 | 177.292 2070.52
-9.58641 89.2318 | -1.11194 -0.510748 | 571.091 -1939.8
-9.14945 89.4623 | -0.902369 1.05063 | 1221.36 121.116
-8.70673 89.6839 | -0.669955 0.93147 | 1219.3 2185.42
-8.25667 89.8949 | -0.7998 1.08536 | 2264.61 886.768
-7.79638 90.0884 | -1.15275 0.481691 | 3449.13 -3341.84
-7.32491 90.2581 | -1.48696 -1.34843 | -582.515 2492.79
-6.84827 90.4144 | -3.24684 -1.10487 | -540.082 4028.2
-6.36734 90.5593 | -3.92007 -0.804547 | 904.563 760.584
-5.87913 90.6795 | -2.82766 -0.817883 | -1466.99 -3623.64
-5.38452 90.759 | -1.61382 0.729587 | -2571.82 3096.84
-4.88704 90.795 | -0.37938 -2.31554 | -66.2122 -1124.58
-4.3898 90.772 | -0.311836 -4.90296 | -1403.82 -4336.68
-3.90106 90.6811 | -0.361676 -3.76874 | 1301.89 1846.51
-3.4252 90.5331 | -0.312227 -5.25181 | 1507.1 -6135.36
-2.96521 90.3322 | 0.2671 -4.75865 | 3178.41 -3486.26
-2.51451 90.1019 | 1.01525 -3.63281 | 5819.99 4704.12
-2.06139 89.8707 | 1.14688 -3.27212 | 338.175 4216.69
-1.60706 89.6441 | 2.09 -1.80808 | -3631.23 -1227.44
-1.15757 89.413 | 2.81051 -2.23376 | -3416.52 -1620.46
-0.713044 89.1775 | 2.21992 -4.15769 | -1627.25 3175.78
-0.26824 88.9482 | 2.10821 -3.72883 | -564.425 3120.92
0.17905 88.7285 | 2.0686 -2.05763 | -2152.05 1428.52
0.625886 88.5124 | 1.22601 -0.960871 | -545.899 -2381.08
1.07083 88.2916 | -0.675464 -0.612803 | 1485.1 -3305.85
1.51614 88.067 | -1.86734 -0.497173 | 501.317 -969.812
1.96545 87.8484 | -1.04698 0.970121 | 688.168 2170.24
2.42272 87.6482 | -1.71219 0.474117 | -2528.88 2572.97
2.88644 87.4705 | -2.02929 0.386485 | -3611.21 -2638.98
3.35528 87.3122 | -1.67048 -0.631689 | 2715.15 183.107
3.83486 87.1825 | -0.971518 -1.43361 | 5173.4 2136.31
4.32612 87.0865 | 0.743434 1.55938 | 2054.02 -1891.41
4.82375 87.0165 | 1.25288 3.06827 | -2072.72 1796.46
5.3227 86.9703 | 0.374357 1.9102 | -2056.79 -3419.3
5.82128 86.9384 | -0.300315 0.599284 | 443.286 167.447
6.32055 86.9251 | -0.479261 0.114162 | -1638.5 3576.22
6.81855 86.9332 | -0.317939 0.903754 | -1677.76 -4301.84
7.31504 86.9507 | -0.633518 -0.129095 | 834.224 -769.929
7.81182 86.9818 | -0.558893 -1.13378 | 3939.65 3416.67
8.31038 87.0336 | -0.0629547 0.63196 | 4134.48 1540.95
8.8103 87.1002 | -0.091219 0.898979 | -2420.41 -3906.53
9.30775 87.1706 | -0.344236 1.16443 | -2943.54 -5636.15
9.80121 87.2477 | -0.281563 2.63105 | -43.0089 1376.29
10.2881 87.3551 | 0.645935 2.19535 | -1822.31 5922.45
10.7621 87.5094 | 1.68539 2.27921 | 2441.05 832.02
11.2242 87.703 | 0.971424 2.92336 | 2513.38 6380.54
11.6766 87.9284 | 0.973919 -0.19944 | 3293 -1436.45
12.1279 88.1611 | 2.17395 -3.64 | -301.689 -2451.99
12.5819 88.3867 | 2.48488 -4.40741 | -2859.78 47.2424
13.0404 88.5989 | 1.77884 -4.38958 | 3033.68 -3327.11
13.5104 88.7876 | 0.521873 -2.23723 | 4232.51 1883.85
13.9914 88.9567 | 0.230993 -0.830032 | -759.08 1560.91
14.4786 89.1062 | -0.182254 -2.58296 | -2981.85 -4614.21
14.9695 89.2289 | -1.59165 -2.74375 | -6414.77 970.63
15.4596 89.331 | -2.48864 0.119298 | -5219.51 2012.85
15.9497 89.4106 | -1.86846 -0.854497 | 51.4869 652.563
16.4436 89.4547 | -0.859225 -1.92107 | 1062.15 -1703
16.9403 89.4489 | 0.151145 -0.0368031 | 3737.9 -1660.48
17.4363 89.3878 | 1.1715 0.278449 | 2159.86 -2072.21
17.9251 89.2736 | 2.25538 -0.652594 | -603.057 2228.45
18.4013 89.1161 | 3.08606 -1.14515 | -77.3513 1914.42
18.8606 88.9171 | 4.22872 0.0053119 | -2870.28 -2553.55
19.296 88.6726 | 4.21022 0.502269 | -3743.34 -2468.24
19.7076 88.3921 | 1.69453 -1.10958 | 2068.25 2015.89
20.1093 88.097 | 0.64876 -1.68747 | 2100.89 942.848
20.5102 87.799 | -0.0187814 -2.51815 | 1915.99 -1672.62
20.9152 87.5033 | -1.18754 -3.37064 | 1414.3 -722.148
21.3287 87.2171 | -2.33548 -3.48464 | 1601.7 1826.29
21.7543 86.948 | -3.18244 -3.716 | 2020.36 935.241
22.1917 86.6956 | -1.78659 -3.34913 | -159.22 -3601.86
22.6369 86.4542 | 0.460904 -1.05203 | -533.33 -2247.47
23.0917 86.2306 | 0.850085 1.03271 | 2185.04 6530.44
23.5614 86.0412 | 0.500331 1.11625 | 254.776 1207.61
24.0409 85.879 | -0.607364 -1.09224 | -3901.22 -4865.55
24.5238 85.7338 | -1.80006 -2.19497 | -2897.99 4311.86
25.0107 85.6179 | -2.92427 -1.00803 | -3906.32 2443.91
25.4994 85.5304 | -3.70517 -1.04203 | -4350.35 -428.774
25.9872 85.4631 | -3.14347 -1.86319 | -4272.76 -4397.84
26.4733 85.4106 | -2.61813 -2.49317 | -2726.56 19.1619
26.9588 85.3855 | -2.54341 -0.91185 | -1369.79 3341.04
27.4438 85.398 | -2.79564 0.938782 | 2289.14 340.745
