13.6154 -52.9317 | -2.31882 -4.82493 | -1008.74 -2448.14
14.1166 -52.8921 | -1.81647 -3.36109 | 846.833 6411.47
14.6201 -52.8789 | -0.185076 -2.08034 | 3185.24 -4545.98
15.1251 -52.9086 | 0.259836 -0.340133 | -1466.19 -4126.04
15.6254 -52.9804 | -0.0776681 1.80966 | -882.892 5606.86
16.1195 -53.0774 | -1.62771 0.724131 | -4181.88 -3601.2
16.6035 -53.2045 | -2.19752 -0.82322 | -4682.43 593.855
17.0784 -53.349 | -1.60654 0.217072 | -5.49887 7393.51
17.5503 -53.496 | -1.56597 0.692281 | -977.325 -1594.89
18.0174 -53.6574 | -0.742074 -1.55133 | 3989.68 -2725.58
18.4814 -53.8376 | -0.275379 -1.9285 | 3582.44 1955.6
18.9412 -54.0342 | 0.297808 0.961803 | -2223.28 -2204.95
19.3896 -54.2548 | -0.157334 0.352337 | 714.056 -2761.54
19.8278 -54.4978 | -2.93338 -2.92642 | 532.682 528.595
20.2595 -54.753 | -3.83594 -4.20156 | -953.233 1514.09


-16.4216 86.9322 | 0.371297 1.7177 | 2991.82 -136.772
-15.9255 86.854 | 0.524035 2.4118 | 1507.18 2305.74
-15.4244 86.8124 | 1.27469 1.83328 | -1567.19 88.7692
-14.9231 86.7983 | 2.43156 1.73831 | -3331.3 -3813.39
-14.4248 86.8015 | 2.45555 1.36561 | -4269.37 -46.3634
-13.9308 86.8269 | 1.48598 -0.580017 | -2294.06 -1421.22
-13.4411 86.878 | 1.23864 -1.14387 | 1113.04 -1200.21
-12.9558 86.9617 | 1.82603 -2.13627 | 320.406 4589.36
-12.4786 87.0873 | 2.81032 -2.85703 | 746.28 -679.023
-12.0099 87.244 | 3.08598 -0.93096 | 961.712 -743.541
-11.548 87.423 | 3.08701 0.690634 | 1214.5 6127.77
-11.0901 87.6191 | 3.47789 -0.117718 | 2247.16 79.3768
-10.6273 87.8065 | 2.80595 -0.753375 | -1610.61 -4949.34
-10.1552 87.9607 | 1.33991 0.740438 | -2126.67 -4390.69
-9.67442 88.074 | 0.637043 2.42882 | -969.8 -436.507
-9.18825 88.1548 | 0.327821 2.9101 | -3386.55 5369.63
-8.70125 88.2144 | 0.425043 2.93891 | -2931.12 -1081.86
-8.21378 88.243 | 1.252 3.66605 | 733.568 -3323.77
-7.72493 88.2375 | 2.09475 3.91249 | 3368.52 1796.8
-7.23416 88.2112 | 2.12938 2.19185 | 1362.05 4177.89
-6.74294 88.1721 | 1.51631 0.509292 | 690.606 2118.75
-6.25278 88.1128 | 1.12953 -0.120221 | 2657.68 -3573.33
-5.76551 88.0182 | 1.64332 -0.304417 | 1754.4 -3510.22
-5.28402 87.8884 | 2.64569 1.61829 | 1904.2 3540.01
-4.80803 87.7366 | 2.31597 1.53451 | 201.978 1772.23
-4.34026 87.5616 | 1.30187 0.314465 | -943.297 -1408.96
-3.88528 87.3562 | 0.849943 0.647001 | 1026.75 920.339
-3.44518 87.1205 | 1.31186 2.27415 | -362.049 1921.29
-3.02573 86.8517 | 1.73018 3.00211 | -2671.86 -3091.28
-2.63499 86.5429 | 1.51972 2.64467 | 950.543 -2868.09
-2.27004 86.2012 | -0.0635282 1.50288 | 1295.04 267.538
-1.9239 85.8395 | -1.67554 0.84677 | -1030.66 2118.67
-1.59149 85.4676 | -0.765013 2.09741 | -2163.05 1783.8
-1.26739 85.0915 | 0.612235 3.71122 | -506.561 1003.12
-0.942957 84.7168 | -0.0525315 3.97188 | 1990.98 -486.787
-0.609654 84.3479 | -0.915989 3.42766 | 5013.74 -1429.57
-0.262957 83.9861 | -1.64175 2.70863 | 1759.08 -3535.62
0.0918892 83.6277 | -2.99138 2.18086 | -440.338 313.966
0.451729 83.2741 | -4.96725 0.792176 | 301.688 630.506
0.81582 82.9248 | -5.38725 -0.253826 | -517.465 -2151.28
1.18229 82.5772 | -4.95971 -1.28237 | -1884.68 -472.913
1.55296 82.2353 | -4.29673 -2.66327 | -1579.76 862.7
1.9343 81.9078 | -2.90319 -2.48014 | 151.761 2654.35
2.33362 81.6047 | -2.80938 -1.98137 | 75.4454 -120.044
2.75266 81.3295 | -3.31469 -1.82706 | 307.39 -2199.48
3.19218 81.0866 | -2.59455 -0.458671 | 858.402 847.605
