-27.915 -41.4808 | 1.30713 1.12316 | 1132.6 -4556.44
-27.4398 -41.3197 | -1.00835 0.581527 | -27.9883 5092.59
-26.9802 -41.1147 | -1.41977 -0.814298 | 2339.53 140.735
-26.5365 -40.8726 | -1.23359 0.718437 | 2503.37 1298.53
-26.1102 -40.5959 | -0.00600201 2.12805 | 3289.35 3193.61
-25.7042 -40.2857 | 2.24933 0.973011 | -929.032 -6620.01
-25.3258 -39.9481 | 4.45803 -2.33562 | -9344.9 1746.6
-24.9929 -39.5717 | 2.4675 -3.87566 | 709.948 -16.1657
-24.6995 -39.1642 | 1.15147 -3.55622 | 2040.06 -1818.04
-24.4432 -38.7331 | -1.14947 -2.10387 | -10649 3773.86
-24.2304 -38.28 | 1.72622 -3.30014 | 120.655 714.036
-24.026 -37.8232 | 1.9263 -1.70733 | 14909.5 -11134.3
-23.7941 -37.3823 | -3.36609 0.151102 | -4231.04 2654.29
-23.5627 -36.941 | -3.97119 -1.62936 | -5888.01 3785.94
-23.3427 -36.4932 | -4.15225 -2.20433 | 3636.44 -2841.66
-23.1207 -36.0468 | -4.12732 -0.301661 | -1833.36 3926.51
-22.8979 -35.5986 | -1.1011 -1.25879 | 2166.86 826.993
-22.665 -35.1545 | -1.66441 -1.77327 | -3149.1 -4096.23
-22.4205 -34.721 | -3.09481 0.580616 | 592.352 -3140.84
-22.1573 -34.3007 | 0.459203 1.55018 | 1129.14 2175.26
-21.8761 -33.8907 | -1.28881 0.655256 | -794.45 511.747
-21.5794 -33.4913 | -3.40664 -0.886079 | -4485.91 5708.04
-21.2665 -33.1032 | -1.9841 0.348096 | 2118.64 -3805.55
-20.9182 -32.7479 | -0.643253 3.02887 | 4776.54 -3757.05
-20.53 -32.4357 | 1.85743 4.19772 | -5357.54 5900.46
-20.1157 -32.1587 | 3.12028 2.38115 | 4457.58 599.811
-19.6677 -31.931 | 2.13853 -0.176897 | 16144.3 -3062.74
-19.1842 -31.7614 | -1.21475 -1.49134 | -2856.78 -1995.65
-18.6897 -31.6326 | -2.2257 0.670313 | -12869.2 7023.86
-18.198 -31.5216 | -0.265308 3.37312 | 5939.49 -5977.95
-17.6977 -31.4402 | -0.177543 0.727412 | 6711.15 7398.1
-17.1897 -31.3757 | -1.17273 -4.82575 | -3204.67 -160.708
-16.6817 -31.3427 | -0.852197 -0.436494 | -11913.8 -10810.1
-16.1814 -31.3573 | 1.28408 -1.81647 | 1659.01 5242.08


-9.48966 -40.9939 | -1.66278 -1.32581 | -10768.1 2174.38
-9.08246 -40.7154 | 2.02589 -1.08285 | 16387.5 -11804.6
-8.6562 -40.4562 | 1.52262 1.39754 | -6104.57 18189.8
-8.2376 -40.1775 | 1.03372 1.15098 | 2595.21 -6447.29
-7.81562 -39.9044 | 1.88125 -2.29026 | -877.398 -1070.27
-7.39068 -39.6366 | -0.15737 -0.578654 | 4809.01 4777.77
-6.96072 -39.3703 | 0.259032 -1.15495 | -6025.98 -3230.77
-6.53125 -39.1131 | -1.64393 -1.92132 | -9145.89 -3145.94
-6.10172 -38.8697 | -1.51559 -0.0566123 | 4190.82 1054.59
-5.65988 -38.6465 | 0.723893 1.29897 | -1938.89 -3019.26
-5.20706 -38.4506 | 1.37572 -1.43908 | 1576.6 5123.52
-4.74378 -38.2783 | 2.592 1.21774 | -11246.9 -922.113
