-25.3722 26.3024 | -1.25512 3.79153 | -10358.1 10901.2
-24.9271 26.0889 | -1.07128 -2.05533 | -79.3926 -3202.55
-24.4756 25.8889 | 0.00751992 -2.62643 | 4191.19 -8843.19
-24.0163 25.692 | -1.12326 -2.55898 | 10100.9 3921.79
-23.5433 25.5137 | -2.54685 0.895055 | -6669.96 -3870.06
-23.0707 25.3444 | -0.2434 2.32481 | -7548.08 1050.62
-22.5985 25.1938 | 4.11119 2.59856 | -3872.75 8505.3
-22.1226 25.0749 | 1.45175 3.92778 | -2263.13 -4116.93
-21.644 24.971 | 3.10808 2.81581 | 7669.21 -5883.06
-21.156 24.8806 | 2.75716 -0.101286 | 7893.91 8436.78
-20.6586 24.8204 | -0.190137 1.64395 | -8066.76 -11315.2
-20.1646 24.7686 | -0.595497 3.11043 | -2824.71 3288.95
-19.6712 24.75 | -1.74328 0.306336 | 2644.91 7639.19
-19.1778 24.7757 | -0.780995 -0.410635 | -10087.3 2312.04
-18.6917 24.8237 | 0.277351 2.14433 | 7541.45 -14521.5
-18.2006 24.8594 | -3.96522 -0.691962 | 4885.22 11219.5
-17.7067 24.9089 | -4.20695 -1.43334 | -3527.29 -4155.26
-17.2156 24.9537 | -0.277724 -1.4279 | -11543.9 -1727.46
-16.732 24.9914 | -0.573443 -2.76193 | 2635.99 -1830.67
-16.2466 25.0244 | -1.87168 -0.0824618 | 8871.9 4570.24
-15.7544 25.0633 | -0.709314 -4.28992 | 5540.9 9165.35
-15.2568 25.1021 | 0.377745 1.1568 | -1657.03 -13431
-14.7579 25.1002 | -0.489917 0.132875 | 3616.72 -4529.68
-14.2572 25.0717 | -0.427551 2.80326 | 2128.28 8494.92
-13.7559 25.0487 | 0.60916 4.30421 | -7484.64 12421.9
-13.2599 25.0304 | 0.196131 -1.56616 | -5339.25 -10001.1
-12.7708 24.968 | 1.15812 -1.64893 | 6862.93 -6685.76
-12.2851 24.856 | 0.710293 -2.10438 | 3267.22 5440.1
-11.8048 24.714 | 2.53514 -5.23486 | 3270.19 1380.18
-11.3337 24.538 | 4.75505 -1.3085 | -2040.79 -4304.77
-10.8829 24.3171 | -0.955107 -4.0354 | -5894.78 1747.79
-10.4579 24.0593 | -1.63118 -2.06458 | -7464.51 3178.16
-10.0571 23.7759 | 1.26615 3.17025 | 1983.48 4572.46
-9.66672 23.4799 | -2.22225 0.91221 | 5217.55 -4833.17
-9.28215 23.1682 | -1.19202 2.25441 | 6390.86 908.712
-8.90279 22.8452 | -3.31606 1.73595 | -4230.13 2672.92
-8.54328 22.5048 | -1.38492 0.785381 | -1238.39 -888.986
-8.21053 22.1402 | 1.56531 1.76097 | -5272.34 2480.62
-7.90916 21.7538 | 0.237708 0.491964 | 841.222 -2696.79
-7.62925 21.3501 | -2.46922 -0.555664 | 247.287 1676.6
-7.35879 20.9405 | -3.53311 -0.478074 | -1577 -440.057
-7.0867 20.5314 | 0.380323 1.07351 | 5236.75 -4352.2
-6.79485 20.13 | 2.09128 1.48007 | 10675.6 2219.94
-6.47551 19.7435 | -4.70426 -1.83189 | -874.02 -9861.63
-6.15171 19.3546 | -4.86657 -2.18584 | -15086.8 -79.9001
-5.83091 18.9703 | -3.52238 -2.24884 | 15653 10957.1
-5.47552 18.6156 | 0.338719 1.09813 | -2543.95 -12459.9
-5.10641 18.2678 | 0.448222 0.841007 | -2665.8 -2108.81
-4.71938 17.9399 | -3.14789 1.48154 | 6940.45 12926.9
-4.30058 17.6547 | -1.841 0.41945 | 1885.02 -12668.3
-3.86444 17.3874 | -0.973562 -1.94804 | -2362.85 7988.66
-3.41511 17.1528 | -0.880212 -1.02834 | -8446.14 7017.89
-2.96313 16.9439 | -0.208355 0.00781156 | -11711.8 -4768.53
-2.51558 16.7403 | -2.15071 -1.41716 | 9583.21 -4223.52
-2.05459 16.551 | -1.69964 -0.452782 | 6032.17 4208.23
-1.57868 16.3919 | -2.11503 -2.30401 | -7899.65 -5879.63
-1.09834 16.2562 | -3.10546 -2.64208 | 6668.38 3328.95
-0.603364 16.163 | -0.632249 0.0572474 | 10735.9 6122.43
-0.0939808 16.1152 | -0.15653 -1.07733 | 3941.05 -6770.8
0.420113 16.088 | -1.4562 -0.0689977 | -10370.2 2980.81
0.927781 16.0836 | -3.19684 -3.45234 | -4595.91 1124.59
1.43127 16.0943 | -3.02557 -5.35575 | 2629.03 -4681.92
1.93568 16.1084 | -1.4137 -0.689282 | -409.56 -2454.05
2.43975 16.1333 | -1.02743 2.64305 | 2572.52 6623.2
2.94356 16.186 | -0.23855 1.93603 | -549.683 1222.75
3.44443 16.2589 | 0.415442 2.60657 | -4364.07 -1313.49
3.94084 16.3403 | 0.0857132 2.25094 | -218.236 2376.86
4.43658 16.422 | -0.32611 4.62656 | -665.238 -4284.24
4.93373 16.4861 | -1.18708 5.35525 | -1545.37 -2462.8
5.43191 16.5311 | -1.26652 1.643 | 2046.62 5369.92
5.93266 16.5647 | 0.441268 0.974844 | 1578.09 -1848.09
6.43573 16.5741 | 0.169425 0.297592 | 439.81 -6534.08
6.9386 16.5536 | -0.814482 1.80248 | -3250.16 6917.56
7.43819 16.5238 | -0.664154 -1.77879 | -2259.96 1210.26
7.93412 16.4785 | -1.27369 -2.25869 | -3807.53 -232.956
8.42413 16.4083 | -1.15227 0.344085 | -854.327 -2451.01
8.90855 16.3072 | -0.148629 -1.64684 | 6406.76 3460.18
9.39067 16.1807 | 0.212198 -3.55507 | -105.356 -2863.26


-18.1598 -70.4046 | -1.97668 -4.18324 | -3666.16 3830.72
-17.6673 -70.4623 | -0.673992 -4.44247 | -440.919 -600.878
-17.1741 -70.5177 | -0.729496 -1.20428 | 4404.31 -5598.38
-16.6775 -70.5778 | -2.20652 -2.26043 | 3897.65 1836.46
-16.1766 -70.6292 | 1.16733 -3.0003 | 1554.83 -2131.64
-15.6737 -70.6676 | 1.58005 -3.03602 | -7140.99 -627.669
-15.1743 -70.681 | -2.63665 -0.684562 | -1721.7 3775.91
-14.6771 -70.654 | -2.61991 2.99148 | 3363.24 2361.65
-14.1807 -70.587 | -0.376467 5.03608 | 5642.03 164.477
-13.6856 -70.4894 | -0.831104 5.57974 | -1824.45 -5852.19
-13.1983 -70.3689 | 0.704545 1.00105 | -11410.7 1182.83
-12.7291 -70.2132 | 1.56423 1.29676 | 1027.29 -3939.35
-12.2729 -70.0247 | -0.268887 3.67196 | 8802.68 3636.24
-11.8308 -69.7924 | -1.64743 -0.536247 | -2673.42 86.7255
-11.4181 -69.5127 | -1.10116 -1.55075 | -3407.94 -112.525
-11.0425 -69.1863 | -0.171713 1.44664 | 3770.12 9995.61
-10.6993 -68.8167 | -1.71072 1.39404 | 3433.75 -2992.56
-10.3776 -68.4268 | -1.90739 -0.799441 | -2101.88 -171.877
-10.076 -68.0233 | -2.3518 0.767564 | -485.244 -7997.94
-9.78856 -67.6162 | -2.18115 2.04296 | -2134.11 -5179.93
-9.52008 -67.2018 | -0.0446125 -0.428865 | -2736.81 6573.05
-9.2764 -66.7708 | 1.04112 -3.7385 | -3624.02 -5444.19
-9.04808 -66.3359 | -1.7994 -1.53355 | 2626.79 -2117.32
-8.81753 -65.9016 | -3.68929 0.628065 | 3591.19 12141.6
-8.57688 -65.4624 | -2.02603 2.57839 | 2669.09 6191.27
-8.31548 -65.0292 | -1.06098 2.88311 | 1149.94 -6509.1
-8.02327 -64.6209 | -2.33342 -0.924544 | -6313.18 -10512.9
-7.70338 -64.2444 | -3.46751 -2.6199 | 465.561 7067.37
-7.35455 -63.8899 | -1.93488 -1.83597 | 6403.56 3176.17
-6.97017 -63.5662 | -3.11825 -1.89399 | 4053.63 -3966.03
-6.55538 -63.2809 | -2.82952 -4.97792 | -10992.3 5843.34
-6.12825 -63.0232 | -1.56552 -3.78859 | -650.147 -11017.4
-5.67945 -62.8153 | 1.56211 1.38268 | 4699.73 2888.24
-5.21344 -62.6421 | 1.61107 3.15159 | -5925.36 1956.53
-4.7431 -62.4933 | -1.92643 1.02268 | -11855 782.051
-4.27195 -62.3691 | -3.6067 1.35239 | 18520.3 3074.23
-3.78075 -62.2786 | -0.0648165 -1.43385 | 6089.88 -2945.66
-3.27855 -62.2309 | 0.761231 -1.75708 | -8261.99 3747.32
-2.77902 -62.2191 | -1.13962 -0.342578 | -1023.18 -4813.53
-2.28191 -62.2518 | -1.36282 1.2432 | -1301.29 -53.4909
-1.7884 -62.3173 | -1.11405 0.076174 | 7896.89 5450.73
-1.29407 -62.4029 | 0.0955708 1.09398 | -5555.13 -446.545
-0.81047 -62.5192 | 1.41915 -0.139598 | -12173.5 -2992.11
-0.344258 -62.6704 | 0.991037 -0.887001 | 6618.52 3406.75
0.120102 -62.839 | 1.60601 -3.6687 | 12504.9 -3046.67
0.58778 -63.0258 | 2.16848 -2.85284 | 621.076 -6460.97
1.05004 -63.2325 | -0.858008 -2.60534 | -4834.65 5300.59
1.50623 -63.4399 | -1.53548 -4.2538 | -12619 4569.86
1.95616 -63.6411 | -0.0157634 -3.65578 | 15628.3 -1484.03
2.41993 -63.8341 | -1.66975 -1.3675 | 4615.42 -6444.2
2.88969 -64.0262 | -2.1631 -2.23033 | -9717.3 -546.686
3.35829 -64.2069 | -0.435084 -2.86368 | 854.384 2316.49
3.83679 -64.3552 | -1.02013 -4.13988 | 1488.32 5572.99
4.32654 -64.4571 | -2.84599 -5.17958 | -4688.77 1480.87
4.81926 -64.5204 | -2.20539 -5.55798 | -2563.71 -800.514
5.31214 -64.5577 | -0.503311 -2.40889 | -2893.06 -5956.15
5.80367 -64.5789 | -0.310349 2.23283 | -701.213 739.178
6.29442 -64.5711 | 0.222259 0.0706304 | -2156.15 2381.81
6.78155 -64.5265 | 0.278038 -1.76393 | -1669.87 -4951.49
7.26422 -64.4513 | 1.16694 -0.931965 | 8638.23 2244.01
7.74566 -64.3348 | 0.853143 2.01932 | 7995.52 2155.02
8.22079 -64.1735 | -1.83025 0.911256 | -4195.47 3151.06
8.67731 -63.967 | -2.94185 1.80714 | 1009.16 -1134.66
9.11801 -63.7294 | -0.888068 0.819132 | -4218.58 -3572.99
9.54209 -63.4708 | 0.41972 -0.454826 | 3126.9 -6695.25
9.95324 -63.1954 | 0.870663 0.784479 | -10406.5 8188.68
10.3364 -62.8857 | -1.3909 2.94559 | 7039.5 -4783.92
10.7128 -62.5644 | 0.00582165 0.538538 | 5221.91 6714.89
11.0842 -62.2285 | -0.667079 -1.36173 | -19.6459 -1318.71
11.4502 -61.8869 | -3.75099 -0.653183 | -904.946 -4428.11
11.8101 -61.5439 | 0.505227 -1.77759 | -10812 -377.495
12.1573 -61.1961 | 2.66371 -2.35227 | 6563.85 -4412.21
12.5123 -60.8549 | 2.3032 -3.60851 | 3665.71 7858.65
12.8719 -60.5106 | 2.55682 -3.87378 | -1376.32 -3044.56
13.2339 -60.1701 | 0.153147 -2.79639 | -611.124 1989.63
13.5989 -59.8305 | -3.48407 0.659253 | 6681.78 7504.9
13.9741 -59.4929 | -4.40857 1.26574 | -2956.41 -9034.58
14.3581 -59.1716 | -2.09308 -0.62695 | -2423.71 8514.42
14.7493 -58.8554 | -2.38235 0.398298 | 7766.14 1362.21
15.1626 -58.5615 | -0.454497 -2.42818 | -2093.35 -12922
15.5933 -58.3045 | -1.06175 -2.07146 | -8962.88 9127.21
16.0281 -58.059 | -0.879928 -0.769261 | 3441.14 3465.21
16.4813 -57.8408 | 0.00018426 0.226217 | 14575.1 -2999.63
16.9645 -57.6743 | 1.22491 0.919213 | -5175.21 -4541.21
17.4594 -57.5619 | 1.02713 1.23826 | -9203.48 -3336
17.9558 -57.4935 | -0.36152 -1.2264 | 4432.19 4184.22
18.4579 -57.451 | 0.342353 -1.39284 | 5730.79 4613.81
18.9647 -57.4319 | 1.3186 -0.695773 | -10733.1 1545.63
19.4643 -57.4511 | -0.0465631 1.49387 | -969.021 -4142.47
19.9566 -57.5296 | -1.41084 1.35493 | 3393.08 -10138.6
20.438 -57.6704 | -1.95032 -0.436785 | -4003.49 8063.72
20.9063 -57.8379 | -2.17884 -1.86205 | -5311.34 6529.79
21.3622 -58.0235 | -0.531813 -3.79411 | 2885.42 -4517.12
21.8085 -58.2361 | -0.583431 -1.12536 | 721.648 -440.338
22.2459 -58.4687 | -1.07282 -0.679611 | 1573.16 2038.19
