-13.2555 -72.1845 | 1.18594 2.91035 | 3474.75 387.742
-12.854 -71.8902 | 1.31152 2.64372 | 1961 -4892.34
-12.4428 -71.6084 | 2.8321 0.0223411 | 5992.44 6097.7
-12.0241 -71.3264 | -0.844511 5.14201 | -133.576 7368.81
-11.603 -71.0419 | -2.34741 7.368 | -501.781 -4815.52
-11.1739 -70.7748 | -0.508712 4.4577 | -5631.72 -7665.63
-10.7379 -70.5323 | 0.277394 2.41803 | -6964.01 7154.92
-10.2967 -70.3046 | -1.04257 1.79645 | 11196.2 -6769.47
-9.83307 -70.1149 | -0.748253 2.97029 | -1930.45 -1387.17
-9.36047 -69.952 | -0.605455 1.94319 | -7489.77 9464.74
-8.88696 -69.7992 | -0.899026 0.158743 | 6460.72 -5940.79
-8.40027 -69.6805 | -2.53606 -1.91805 | 6710.96 342.578
-7.90232 -69.5925 | -3.89845 -1.18121 | -3377.11 1279.35
-7.40283 -69.5289 | -2.05495 -0.494282 | -6886.7 -2901.14
-6.90591 -69.4893 | -1.03751 -2.54788 | 1070.35 5301.96
-6.40751 -69.4637 | -0.679653 -1.79663 | 5262.82 -3676.46
-5.90559 -69.4627 | 0.087714 -1.75767 | -6050.31 -1416.19
-5.40817 -69.4812 | -1.02608 -0.17056 | -4108.66 11963.4
-4.91446 -69.5071 | -0.665348 0.508772 | 2931.93 -8182.46
-4.42235 -69.5751 | 0.0540972 1.19124 | 3560.24 -6527.92
-3.93397 -69.6863 | -0.370101 0.0823312 | 6116.44 10198.1
-3.44792 -69.8175 | -0.665602 0.219612 | -5365.02 -8084.08
-2.97676 -69.9886 | -0.441009 2.10127 | -4913.77 1113.95
-2.52012 -70.184 | -1.20022 1.34525 | -4257.24 9382.71
-2.07296 -70.3863 | -0.344312 -1.34318 | -3576.11 -6526.16
-1.63416 -70.6055 | 1.07859 -0.142784 | 10522.5 2449.27
-1.18851 -70.8239 | 0.400053 -0.906652 | 3311.5 2514.63
-0.741864 -71.0442 | -2.61787 0.413771 | -9565.46 -8076.96
-0.307193 -71.2817 | -3.91833 2.68051 | 4010.19 900.161
0.131731 -71.5143 | -2.659 1.3604 | 80.2334 4426.29
0.579526 -71.726 | -1.09848 -0.117728 | -2335.71 1256.95
1.03452 -71.9168 | -1.36963 -0.690964 | -1755.47 -24.6407
1.49654 -72.0896 | -3.62787 0.25964 | 8479.17 -1582.25
1.97151 -72.2476 | -2.42874 4.57218 | 10700.2 -10429.6
2.45931 -72.3981 | 0.147136 5.38356 | -3551.49 -971.917
2.95398 -72.5187 | -0.227572 2.29455 | -1872.88 11829.4
3.45607 -72.5801 | 0.231006 0.939094 | -2079.45 63.596
