-12.3082 80.0432 | -0.926982 -0.28884 | -828.343 -735.659
-11.8039 80.0419 | -2.05346 -2.34794 | -4200.27 -5843.84
-11.3032 80.0619 | -2.67713 -2.78908 | -2700.92 547.614
-10.8064 80.1114 | -2.21242 -1.12844 | 4411.91 1502.8
-10.3107 80.1954 | -1.94907 0.513628 | 4832.14 1715.53
-9.81808 80.315 | -3.1024 2.52356 | 819.534 1376.68
-9.33356 80.4679 | -3.91796 2.393 | -2200.14 -2608.11
-8.86086 80.6485 | -3.60008 1.24112 | -54.9723 -3408.95
-8.40278 80.8599 | -2.64422 -0.328828 | -3397.89 5881.21
-7.96911 81.1163 | -0.860135 -1.43539 | -3279.22 2104.03
-7.55934 81.4077 | 0.172814 -2.66068 | 4401.28 -4863.38
-7.16131 81.7155 | 0.0416347 -3.55484 | -206.332 510.144
-6.77846 82.0416 | -0.231612 -4.48896 | -5512.9 2403.27
-6.41428 82.3855 | -1.77031 -3.28831 | 1866.87 -5488.04
-6.05564 82.7316 | -2.31846 -1.53494 | -283.876 -4041.69
-5.70304 83.0806 | -2.26646 -1.17982 | -2073.99 2884.77
-5.36277 83.4416 | -3.8101 -0.270028 | 224.441 346.121
-5.03231 83.8121 | -4.16901 0.191579 | -336.702 954.608
-4.70827 84.1894 | -1.80447 -0.935819 | 381.466 3478.93
-4.3834 84.5692 | -0.658691 -0.272178 | 3809.95 233.09
-4.04555 84.9409 | 0.316023 0.623089 | 2816.36 661.217
-3.6915 85.3 | 1.87612 -0.814971 | 1482.19 -2664.46
-3.32397 85.6445 | -0.126201 0.132099 | -4508.12 613.777
-2.95277 85.9817 | -2.72138 2.22815 | -3500.15 1424.54
-2.57623 86.3105 | -2.59451 2.52996 | 1624.5 -2533.57
-2.18394 86.6203 | -2.50985 1.64376 | 2923.14 1080.72
-1.77338 86.9092 | -3.08283 -0.721129 | -834.915 4953.71
-1.34691 87.1768 | -2.59522 -3.42901 | 56.1892 -4746.66
-0.899961 87.4054 | -2.63865 -2.52188 | 1567.2 -3676.1
-0.434333 87.593 | -1.37234 -2.2031 | -636.174 5021.88
0.0425039 87.7523 | -0.42974 -3.57352 | -38.4116 -581.481
0.528916 87.8773 | -1.49935 -1.80736 | -2721.85 -2627.96
1.02086 87.9642 | -1.61606 -1.51914 | -4865.25 2177.02
1.51484 88.0179 | -0.149767 -2.34394 | 5956.19 -1143.87
2.01623 88.0338 | 0.858219 -1.12292 | 10336.2 -2222.23
2.52549 88.0137 | 1.07386 -0.643013 | 2037.76 2591.58
3.03466 87.9672 | 1.39708 -0.756328 | -7161.73 1297.27
3.5347 87.8924 | 2.75915 -0.883037 | -8059.62 -2144.92
4.02219 87.7842 | 3.25679 -0.813403 | -488.036 -1731.05
4.5018 87.6496 | 2.39407 0.586452 | -887.032 1811.04
4.97661 87.5043 | 0.461471 -1.84978 | -3520.44 4084.51
5.44829 87.3584 | -0.885892 -2.51231 | 3784.54 -2499.2
5.92197 87.2091 | -0.235628 2.18205 | 2927.05 -3901.71
6.39862 87.0606 | 1.19068 3.7419 | -2710.97 3854.96
6.87747 86.9294 | 1.53453 2.44958 | -3620.08 7606.94
7.3576 86.8193 | 1.67425 3.74906 | -1762.88 -7330.12
7.8371 86.7067 | 1.14256 2.75768 | 4907.81 -3795.84
8.32134 86.5974 | 0.728145 0.359089 | 1787.14 5135.74
8.81056 86.5084 | 2.39101 2.76514 | -3806.23 -4850.97
9.3003 86.4349 | 2.49326 4.48972 | -261.595 4309.89
9.79266 86.3917 | 0.389462 2.81863 | -756.336 841.958
10.286 86.3752 | -0.16896 0.856766 | 662.361 -4382.41
10.7799 86.3769 | -0.437771 -1.96862 | -1852.35 3379.63
11.2718 86.4043 | -0.498167 -4.523 | 98.6528 -5023.71
11.7627 86.449 | -0.564248 -4.04654 | 4116.26 224.87
12.2532 86.5218 | -1.47308 -0.519989 | 1364.91 2434.57
12.7384 86.6317 | -1.36711 3.89847 | 2022.58 390.509


-19.5831 84.9803 | 3.70792 1.72394 | -5088.04 741.927
-19.0889 85.0212 | 3.02778 -3.88303 | 5874.39 2020.2
-18.5893 85.0212 | 2.39754 -0.978505 | -3708.41 -13554.7
-18.0933 84.9708 | 4.25514 -0.518915 | 4654.72 17817.2
-17.5958 84.9154 | 2.27703 3.18092 | -2936.67 -8286.29
-17.1016 84.8291 | -2.12276 0.0107889 | 17539.5 310.238
-16.6006 84.7183 | 1.35821 3.03301 | -6144.4 -10259.9
-16.1073 84.5784 | -1.62718 -6.38241 | 2618.3 10290.4
-15.6128 84.4442 | -6.19417 1.1558 | 2623.84 908.128
-15.1182 84.3102 | -5.07551 -4.97986 | -18817.7 -3308.86
-14.636 84.168 | -0.675146 0.793527 | 23705.6 4129.18
-14.1406 84.032 | -2.25822 -0.0708145 | -21040.7 -5589.36
-13.6591 83.8891 | -1.1052 -1.1246 | 505.151 4844.24
-13.1784 83.7604 | 2.61768 -1.95646 | -17885.7 9499.34
-12.706 83.6524 | -1.32863 -1.34239 | 4905.86 -15684.5
-12.229 83.545 | -3.57335 -2.46916 | 11374 11074.6
-11.7374 83.477 | -1.5226 4.97897 | 4885.5 651.523
-11.24 83.4355 | 2.34628 -1.07426 | -14038.8 -13850.2
-10.7526 83.4017 | -2.3478 1.28984 | -24612.2 10470.5
-10.2781 83.4139 | -2.73445 1.98101 | 44068.6 -5736.99
-9.77914 83.4645 | -3.12635 1.86592 | -4868.5 7802.49
-9.28769 83.5719 | -6.29422 7.45809 | -8720.25 4125.48
-8.81127 83.7224 | 1.41275 -0.11383 | 15349.5 -8912.02
-8.33264 83.8832 | -0.0826335 2.8125 | -17499.8 -5087.93
-7.87401 84.0632 | -1.08002 -4.47581 | -9745.23 -1773.02
-7.43483 84.2723 | -2.37177 -0.15241 | 19208.8 12869.2
-6.99827 84.516 | -4.35433 -1.98472 | -4489.09 -12784.8
-6.57404 84.7716 | -3.31536 -1.15822 | 1096.6 2886.71
-6.16918 85.0564 | -1.23478 1.38741 | -13986.5 -187.989
-5.79648 85.3728 | -2.37574 5.22138 | 13726 6301.44
-5.42925 85.7071 | -1.25171 -0.42108 | 1316.59 -17600.2
-5.06957 86.0417 | -1.25838 -1.23995 | -2029.41 15335.6
-4.74119 86.4126 | -0.113547 -4.5378 | -8780.94 -10111.5
-4.44684 86.8036 | -3.72316 5.50119 | 13757.2 14798.3
