-18.6963 77.1608 | 3.28262 -1.52005 | -2921.19 -2587.53
-18.2986 77.4529 | 2.87108 -0.406971 | -2879.06 330.812
-17.8939 77.7321 | 0.989872 2.07832 | 404.264 2486.42
-17.4775 77.9952 | -0.333351 3.55838 | 570.593 1027.48
-17.0449 78.2316 | -0.243284 2.27529 | -2068.39 -755.019
-16.5954 78.4293 | -0.388077 1.06246 | -3015.04 997.976
-16.13 78.5783 | -1.22182 1.49388 | -208.363 -12.6882
-15.6502 78.6658 | -2.12513 0.097649 | 497.807 -2356.64
-15.1625 78.685 | -3.36538 -1.78636 | 327.439 -207.144
-14.6746 78.6468 | -4.51171 -2.54725 | 3747.52 2906.17
-14.1881 78.5688 | -4.18315 -0.759568 | 4902.38 1079.06
-13.7034 78.4589 | -3.21389 0.0349658 | 3335.51 -1237.33
-13.2231 78.3195 | -3.46631 -0.867478 | -479.997 -2995.28
-12.7499 78.1553 | -4.14761 -0.838957 | -815.792 1717.89
-12.2804 77.9825 | -4.57075 -0.238139 | 1572.74 421.108
-11.8093 77.8112 | -4.08241 0.147635 | 1503.23 -1134.42
-11.3338 77.6486 | -2.47635 0.659622 | 1606.27 3519.06
-10.8518 77.5049 | -1.03547 0.938367 | -1265.95 -424.317
-10.3664 77.3766 | -0.152999 0.470047 | -2421.27 933.004
-9.87928 77.2633 | -0.18878 -0.186035 | -1728.67 -570.075
-9.39077 77.1629 | -0.841175 0.396665 | -764.452 -2518.01
-8.89985 77.0766 | -1.55538 -0.0451447 | 1540.25 3892.05
-8.40413 77.0159 | -1.97533 -1.46937 | 2963.02 1373.04
-7.90408 76.9756 | -1.49742 -2.02705 | 633.806 -4569.32
-7.40248 76.9438 | -0.921633 -1.67419 | -965.54 -929.12
-6.90064 76.9265 | -1.02358 0.11983 | -141.577 2415.62
-6.39872 76.933 | -1.09507 0.690024 | 47.1235 3909.87
-5.89762 76.964 | -1.62313 1.0326 | 81.5479 -1689.78
-5.39748 77.0065 | -2.96569 2.47209 | 186.345 -1258.63
-4.89803 77.0572 | -3.87824 2.80574 | 247.7 1848.13
-4.39934 77.1184 | -3.64045 1.89368 | 1027.73 -720.596
-3.90044 77.1853 | -2.15076 1.55604 | 2548.57 -1646.92
-3.40028 77.256 | -0.5499 -0.101292 | 484.234 -879.286
-2.90119 77.3356 | 0.271647 -0.897648 | -2800.5 -1216.29
-2.40744 77.4323 | 0.644976 -0.30563 | -3196.6 1739.3
-1.9224 77.5573 | 0.932336 -0.349268 | -506.225 2335.16
-1.44631 77.7125 | 1.12206 0.360059 | 2032.13 -1384.55
-0.977428 77.8903 | 1.64648 0.515268 | -697.679 -1664.57
-0.518647 78.0896 | 2.69125 -0.0450868 | -4008.7 -52.239
-0.0746631 78.3136 | 3.19692 0.410631 | -1291.17 -38.098
0.35568 78.56 | 2.68418 1.16774 | -578.162 -40.0454
0.774946 78.824 | 2.17544 1.25452 | 60.2166 220.117
1.18734 79.0991 | 2.3994 0.394839 | 2525.13 -358.159
1.59861 79.3787 | 2.82484 -0.117518 | 990.288 1258.37
2.00979 79.6609 | 3.36193 -0.0782365 | 168.84 1435.63
2.42259 79.9418 | 3.97592 -0.617721 | -484.754 -1874.59
2.84001 80.2135 | 4.01322 -0.357787 | -2040.64 -2596.32
3.26239 80.4729 | 3.54134 -0.253491 | -774.225 -600.156
3.68967 80.7225 | 2.82666 -0.0896108 | 710.95 2013.03
4.12202 80.9663 | 2.71454 1.11642 | 2705.95 3764.1
4.56189 81.2035 | 2.04154 3.43984 | 3307.74 -802.551
5.01231 81.4253 | 1.1808 4.21454 | -136.862 -1580.81
5.47056 81.6304 | 0.240982 4.3468 | -286.391 3154.86
5.93468 81.8241 | -0.647255 3.91586 | 1593.8 1077.4
6.40716 82.0011 | -1.20554 3.25785 | 1135.82 -28.2186
6.88921 82.1536 | -1.70152 1.81952 | 854.022 -332.22
7.3804 82.2744 | -2.12252 1.33993 | -2017.63 -2406.33
7.87728 82.3574 | -1.73211 1.82383 | -3019.95 -2436.77
8.37625 82.4041 | -1.07003 1.66596 | -315.866 -978.496
8.87629 82.4242 | -0.585137 0.942488 | 134.292 1557.02
9.37652 82.4315 | -0.641014 0.466305 | -823.398 2387.21
9.87614 82.4342 | -1.06678 -0.284773 | -613.005 -85.7885
10.3753 82.4313 | -0.89963 -0.582635 | 21.6581 -1894.43
10.8743 82.4227 | -0.126931 -0.597689 | 301.749 1271.88
11.3736 82.416 | 0.933406 -2.71871 | -95.1205 1906.78
11.8728 82.4143 | 1.43639 -4.13152 | -512.738 -608.889
12.3716 82.4131 | 1.13997 -4.02913 | -720.316 -3670.87
12.8694 82.4107 | 1.64462 -4.22959 | -2116.17 -1033.07
13.3649 82.4202 | 2.86181 -4.21069 | -3885.71 3161.48
13.8558 82.4583 | 3.42082 -3.20838 | -2792.31 2899.09
14.3414 82.5269 | 2.78327 -2.24218 | 986.942 -1945.93
14.825 82.6135 | 1.57089 0.102418 | 3659.14 -1974.46
15.3092 82.712 | 1.27541 2.27135 | 4048.57 1225.64
15.7937 82.826 | 1.37261 2.76207 | 1233.82 1622.39
16.2756 82.9561 | 0.903303 2.18387 | -1158.89 -3116.63
16.7531 83.0974 | 0.403749 1.81213 | -91.3124 -2636.09
17.2245 83.2553 | 0.282469 1.2675 | 1867.48 3883.54


-13.8499 81.6432 | -2.5961 -0.0117725 | 6609.43 -1135.17
-13.3519 81.7438 | 2.86217 -0.635443 | 14462.8 1478.73
-12.8423 81.8206 | -2.03895 5.01917 | -24015.7 3.74354
-12.3448 81.88 | -2.18411 1.96588 | 9469.93 6704.49
-11.8432 81.921 | -3.71956 -1.94018 | -21256.5 -10458.7
-11.3523 81.9168 | -1.22308 -0.887597 | 17170.5 7983.16
-10.8529 81.8815 | -0.154096 -1.80964 | 2241.52 -15900.7
-10.3553 81.7968 | -0.281254 -0.895815 | 779.334 18430.4
-9.86069 81.706 | -1.61342 -3.23861 | -12348.9 -4398.66
-9.37941 81.581 | -3.48906 -0.511185 | 15459.2 -19728.9
-8.89676 81.4163 | -0.48583 0.512104 | 9536.47 15317.3
-8.40809 81.2692 | -1.91894 2.3184 | -38871.2 20139.9
-7.94215 81.138 | -4.4832 1.40954 | 16530.3 -20003.3
-7.47601 80.9705 | -1.382 -1.33163 | 10297.4 -2777.95
-7.01055 80.783 | 2.62967 0.0476439 | -25155 2714.43
-6.56198 80.5944 | -2.27506 1.16042 | 9247.76 15779.8
-6.10093 80.4362 | 0.352889 -1.33271 | 5683.89 -17109.8
-5.63358 80.2721 | -1.44344 0.491017 | 4593.33 10691.1
-5.15953 80.1246 | 2.83781 -4.04996 | -12094.9 -7108.97
-4.69256 79.9714 | -1.69107 -2.10948 | 7661.71 -9750.02
-4.21692 79.8248 | -2.84362 0.387564 | 10682.4 21358
-3.72538 79.7289 | 1.10896 -1.55334 | -21625.3 -18779.2
-3.24185 79.6383 | -4.85828 1.07346 | 26718 8460.69
-2.73876 79.5894 | -0.51089 1.55052 | -18336.4 -10215.6
-2.24372 79.5763 | 5.44302 3.90413 | -4984.09 17757.9
-1.7542 79.6352 | -4.28033 -1.26934 | 25400.2 -5443.37
-1.25642 79.7279 | -1.98265 0.0851838 | -32967.2 -3739.23
-0.783011 79.8443 | -0.742033 3.54501 | 12109.3 -6640.32
-0.306457 79.972 | -1.66204 -1.76025 | 20300.2 4600.01
0.174726 80.132 | -4.44512 1.00871 | -16699.8 10721.7
0.630664 80.34 | -3.01804 -1.20234 | 2216.44 -14491.7
