25.0405 52.8058 | -0.313043 1.03343 | 1010.79 3456.23
25.5338 52.7088 | -0.949932 -0.663235 | 779.232 -10621.1
26.0187 52.5678 | -0.220419 -2.05804 | 1682.29 3377.59
26.4975 52.407 | 2.11864 0.82905 | -3680.58 4017.19
26.9689 52.2361 | 1.90442 -0.162039 | -4753.62 -1588.11
27.4328 52.0542 | -1.11998 -4.69297 | 4053.84 5210.78
27.8966 51.8711 | -1.10593 -2.13755 | -2891.13 -2035.91
28.3533 51.6754 | -1.65619 -0.458076 | -5777.68 4100.26
28.7998 51.4678 | -1.65236 -1.5686 | 2811.34 -5648.9
29.2409 51.2403 | 1.01372 0.425684 | 7144.28 -4782.12
29.6838 51.0018 | -1.03045 0.876597 | 7654.36 7479.54
30.1324 50.7675 | -2.14621 -1.62756 | -3400.11 -3954.65
30.5705 50.5173 | -0.180949 1.23858 | -11142.9 -2427.49
30.9903 50.2492 | -1.56037 0.0914037 | -1051.23 9242.53
31.406 49.9838 | -0.896511 -0.499296 | -991.848 -2105.74
31.8199 49.7151 | 0.0851358 1.02651 | 5697.4 -5421.51
32.2396 49.4447 | -1.33056 -2.00212 | 3300.88 -2340.66
32.6683 49.1838 | -1.26778 0.649818 | -6769.79 7479.12
33.104 48.9465 | -2.36126 2.283 | 2031.2 -1652.88
33.5513 48.7287 | -2.37235 -1.93884 | 2340.31 -4540.7
34.0109 48.5295 | -0.339318 0.252648 | 4661.88 2006
34.4858 48.3606 | -0.113682 2.82266 | 1325.13 -2995.55
34.9712 48.2209 | 0.384301 0.638643 | -7317.56 5040.62
35.4608 48.1204 | 0.374093 -2.30236 | 137.416 -4518.61
35.9562 48.0536 | -0.358357 -3.63318 | 4916.93 -4114.2
36.4586 48.033 | -0.725841 -2.52398 | -1386.75 13909.9
36.958 48.0863 | -0.964292 -3.95291 | -1840.28 -5938.49
37.448 48.1851 | -1.08317 -1.82908 | -7469.92 -3081.08
37.9228 48.3227 | -2.40833 3.13567 | 1129.14 607.003
38.3857 48.4981 | -1.91642 4.21552 | 6638.65 3242.58
38.8399 48.7075 | -0.853925 4.53234 | -1829.77 310.826
39.2817 48.9407 | -2.99127 4.91106 | 368.048 -4874.06
39.7149 49.1854 | -0.672994 0.899359 | -5690.79 -3637.91
40.1349 49.4443 | 1.47472 -0.375637 | 4314.84 8417.96
40.5461 49.7256 | 0.16084 0.501292 | 1836.75 -887.605
40.9527 50.0137 | -0.716204 1.45543 | -8894.65 -10105.1
41.3524 50.2966 | 0.333121 1.37249 | 1749.19 1843.38
41.7507 50.5832 | 0.38801 1.78508 | 2935.58 6578.17
42.1492 50.8767 | 1.65314 0.101873 | -1707.34 1064.94
42.5521 51.164 | 1.02261 -1.36414 | 561.713 -4355.57
42.9689 51.4274 | -0.991697 1.31591 | -4492.18 -1762.8
43.3993 51.6636 | -0.129772 1.30204 | 13036.8 4913.44
43.8523 51.8736 | 1.50617 0.66037 | -6412.16 -1866.64
44.3137 52.055 | 2.97435 -0.549515 | -7966.51 2950.67
44.7804 52.209 | 4.42211 0.340946 | 9693.05 -3734.31
45.2644 52.3202 | 3.73866 3.29126 | -1135.56 769.089
45.7561 52.3958 | 0.951907 1.0076 | 4953 2330.9
46.2553 52.4425 | -1.43907 -1.71991 | 1941.89 4116.1
46.7572 52.4602 | -1.19517 -1.24716 | -11492.3 -8283.43
47.2516 52.4339 | -2.13542 -2.63381 | 6378.14 8558.18
47.7466 52.3829 | -0.833079 -2.62006 | -2054.91 -486.616
48.2344 52.2925 | -0.00195854 0.870392 | -4186.67 -5004.52
48.7087 52.1534 | -0.923959 1.44662 | 3507.1 40.7686
49.1738 51.9801 | -0.671745 -0.416082 | -2076.99 338.829
49.6297 51.7858 | 0.481899 1.94099 | 4265.09 1765.17
50.0848 51.5842 | -1.42839 2.29436 | 448.389 2739.76
