-6.92396 -66.9862 | -1.28143 -0.381312 | 3255.54 -3902.96
-6.42262 -66.9611 | -2.52768 -3.08815 | -3302.2 -3324.89
-5.92522 -67.0105 | -0.833204 -0.320324 | -4066.85 -1638.37
-5.44018 -67.1218 | 1.01354 2.48842 | 2785.3 7535.75
-4.96547 -67.273 | -0.140042 1.20045 | 2741.21 -1564.18
-4.5065 -67.4718 | -0.705264 -0.0374799 | -5406.96 -9650.95
-4.07234 -67.7211 | -0.0500883 0.773708 | 3888.36 6620.27
-3.64657 -67.9862 | 0.205045 0.864058 | 6156.93 -1657.5
-3.22269 -68.2621 | -1.4665 0.84949 | -2798.26 -3526.89
-2.80422 -68.5463 | -1.91954 1.87313 | 1999.42 8236.43
-2.38277 -68.8225 | -2.00062 -0.694898 | 451.391 794.889
-1.96425 -69.1024 | 0.215684 0.253694 | -4032.88 -5270.65
-1.55824 -69.3998 | 2.15781 2.55504 | -614.19 -2530.71
-1.15907 -69.7073 | 3.45525 1.00814 | 438.984 3008.63
-0.756749 -70.0091 | 2.7437 -0.572327 | 1952.66 2146.46
-0.345887 -70.2993 | 1.907 0.738434 | -1059.88 -3164.38
0.0712494 -70.5804 | 2.40947 1.83057 | -5332.92 417.788
0.496189 -70.8419 | 2.90595 2.36961 | -3557.52 4757.24
0.936881 -71.0659 | 1.77711 2.55038 | 2227.25 5183.59
1.39728 -71.2451 | 1.17841 2.91141 | 986.995 -2146.1
1.87014 -71.3947 | 1.96978 3.92843 | 2717.11 -5101.29
2.35214 -71.5259 | 1.5889 2.36423 | 4299.27 2517.9
2.8429 -71.6343 | 1.06956 -0.0882018 | 698.707 -2268.23
3.33709 -71.7291 | 1.43528 -0.917273 | -6139.99 -3471.3
3.82972 -71.8119 | 1.27863 -2.90496 | -1455.69 -273.791
4.32506 -71.8682 | 2.13918 -3.15188 | 4516.69 4648.32
4.82673 -71.8818 | 4.95842 -2.44715 | 5740.97 -538.222
5.3327 -71.8564 | 5.00563 -0.0207225 | 2413.65 1843.56
5.83731 -71.7928 | 1.58722 2.34789 | -5367.85 1197.17
