-12.7861 79.4831 | -1.17378 -0.0538019 | -1858.07 3494.29
-12.4776 79.8843 | -0.819062 -1.57375 | -1494.12 -3525.93
-12.1506 80.2665 | -0.193756 -0.0558125 | -1812.97 -5548.12
-11.7985 80.6187 | -0.131718 1.37701 | -2548.72 -9167.05
-11.4225 80.937 | -0.10435 -1.28767 | 757.52 10826.2
-11.0292 81.2418 | 1.1972 -3.23772 | 5589.57 1912.37
-10.6135 81.5234 | 0.659901 -1.82202 | -2468.27 550.875
-10.1796 81.7751 | 0.617476 0.779844 | 748.508 2285.9
-9.72438 81.987 | 0.788601 1.56801 | 184.154 -5634.43
-9.24774 82.1407 | 0.053547 -0.131532 | -1379.35 1289.47
-8.7565 82.2382 | 0.403462 -0.164336 | 7707.96 -332.743
-8.25161 82.2771 | -0.204942 -0.801996 | 3275.27 -6618.99
-7.74238 82.2586 | -1.19533 -0.636319 | -248.272 5506.96
-7.23639 82.2087 | -0.393993 -0.0219174 | -11623.3 2712.88
-6.74265 82.1304 | -0.699466 0.728752 | -1652.67 1289.51
-6.25748 82.0202 | -0.527539 0.751164 | 3197.71 -5448.81
-5.78008 81.8714 | 0.186673 1.01831 | -2426.97 -3286.75
-5.31165 81.6968 | -0.581067 4.3807 | 4043.62 9438
-4.84272 81.5228 | -1.14126 4.00082 | -541.538 393.203
-4.37828 81.3374 | -0.76072 0.653281 | -1606.98 -8684.54
-3.92184 81.1276 | 0.459867 -0.996526 | 6841.26 -5928.49
-3.46182 80.9112 | 1.54598 -0.367351 | 794.738 7389.06
-2.99209 80.7192 | 0.631671 -1.40577 | -1561.96 3553.8
-2.5133 80.5567 | 2.14581 -0.960561 | 730.835 273.788
-2.02662 80.4181 | 2.93685 -1.10832 | 643.196 -1749.45
-1.53447 80.2975 | 0.972684 -3.55366 | 456.876 3582.48
-1.03904 80.1958 | 0.481851 -1.71325 | -7796.58 -3042.39
-0.547341 80.1004 | 1.67398 -0.937605 | 136.561 -218.67
-0.0539428 80.0145 | 2.53461 -2.74029 | 5661.96 -1890.42
0.445541 79.9424 | 2.18259 -1.48163 | -1822.6 -3675.13
0.947254 79.8933 | -0.4388 0.978233 | 242.995 2337.45
1.45014 79.8917 | -1.74059 0.2778 | -6655.54 5300.46
1.94434 79.9528 | -0.224961 -0.676032 | -1648 -4173.28
2.42628 80.0687 | 1.22066 -0.722831 | -211.405 3873.01
2.89045 80.244 | 1.88984 -2.26782 | 1491.46 -1528.01
3.33548 80.4657 | -0.346015 -2.81549 | 1489.09 -44.4049
3.76005 80.727 | -2.42553 -2 | 159.552 3168.18
4.16307 81.0228 | -2.30365 -0.812212 | -257.277 -3652.15
4.54924 81.3381 | -0.618937 -0.837422 | 1704.72 -1666.62
4.9216 81.6694 | -1.83786 0.97676 | -81.4826 2428.83


-24.6443 78.6075 | 4.19537 4.6639 | 16762.6 -2099.95
-24.1333 78.6452 | -3.62693 -0.178871 | -27251.7 5146.77
-23.6381 78.6728 | -3.64221 2.23915 | 20416.8 -4625.16
-23.1333 78.6814 | 1.73015 1.84975 | -19818.4 2951.95
-22.6399 78.6818 | 2.92807 3.00807 | 4247.24 346.388
-22.1446 78.6733 | 3.42932 -3.73984 | 8703.26 -1982.77
-21.6432 78.6537 | -2.17113 0.377971 | 6389.51 -4861.3
-21.1411 78.6286 | -2.06624 4.47159 | -44736.9 5347.43
-20.6651 78.6223 | 1.21297 2.76988 | 32781.4 7688.34
-20.1703 78.6397 | 0.204219 -1.82298 | 7982.23 -12125.8
-19.6664 78.6536 | -2.51564 -1.31985 | 2701.89 4565.65
-19.1588 78.6859 | -3.12015 -2.86197 | 13217.1 -2392.63
-18.6474 78.742 | -3.7931 -0.844785 | -32876.8 -1657.99
-18.1624 78.8389 | -1.78819 -0.860306 | 11018.6 16627.7
-17.6835 78.9891 | -1.20707 2.17054 | 15079.9 -27484.8
-17.2042 79.146 | 2.03661 -0.485941 | -31595 19496.8
-16.7706 79.3731 | 3.1959 -1.509 | 6303.39 -20141.7
-16.3574 79.6292 | 3.06125 0.437853 | 641.924 25409.1
-15.9742 79.9447 | 2.51256 -0.856319 | 9836.1 -12542.5
-15.595 80.2691 | -6.65046 -0.213165 | 7901.02 8022.79
-15.2219 80.6106 | -1.58865 -1.2719 | -8918.41 -9055.83
-14.8685 80.9613 | -0.136132 -6.88969 | -6531.22 1574.33
-14.5348 81.3271 | 3.58009 -1.97976 | 10858 -4808.65
-14.2019 81.6999 | -0.907378 4.33529 | 8940.57 26418.2
-13.8819 82.1049 | 0.792919 -3.30152 | -6909.86 -16745.9
-13.5819 82.5114 | -6.40328 1.59493 | -8446.6 -14728.3
-13.3067 82.9209 | -6.25788 -0.985183 | -571.574 17243.2
-13.0555 83.3546 | -0.889718 -2.26968 | 12180.6 -3809.04
-12.8079 83.7917 | -0.593932 0.142145 | -15122.5 -10158.3
-12.5886 84.2308 | -0.970434 1.96877 | 5661.16 -6746.51
-12.3827 84.67 | 2.26765 5.39712 | -17635.3 -9357.09
-12.2069 85.1133 | 2.8534 -1.60973 | 15614.8 25332.3
-12.0159 85.5709 | -1.82562 3.73522 | 1010.03 2467.69
-11.7994 86.0218 | 2.42427 0.995645 | 8761.05 -9191.87
-11.5443 86.451 | 2.59107 1.67125 | 964.235 7410.57
-11.2752 86.8762 | 1.80846 1.14719 | -7810.85 -5362.58
-11.0116 87.2999 | 3.5884 -0.982181 | 9170.24 7649.54
-10.7505 87.7331 | 4.86812 -1.78167 | -15794.1 13636.2
-10.5107 88.1806 | 1.65276 2.31297 | 2382.98 -26942.7
-10.2474 88.5992 | 4.85605 -3.40572 | 8461.91 6369.43
-9.95335 89.0048 | -0.203185 0.511988 | -1053.48 26568.7
-9.63993 89.4104 | 2.53942 -1.81226 | -6885.23 -35599.4
-9.28914 89.7585 | -6.99827 0.771398 | 1234.84 15895.9
-8.90499 90.0775 | 3.64692 -2.62117 | 3185.15 -2956.13
-8.48205 90.3463 | 0.687611 1.93243 | 8228.29 -2660.19
-8.0237 90.5602 | -2.9247 5.07852 | -7345.96 7384.42
-7.54854 90.7341 | 3.67252 0.404976 | 24584 -2170.96
-7.04411 90.8528 | 4.83269 -2.20037 | -29091.1 -5833.18
-6.54859 90.9206 | -0.369792 3.06068 | -1975.07 8245.65
-6.05277 90.9504 | -0.879274 0.492104 | 6112.34 -13312.4
-5.55334 90.921 | -4.93732 -0.398179 | -3624.52 5222.17
-5.05613 90.8656 | 0.248146 -0.390029 | 19604.7 -5627.1
-4.5497 90.7965 | 0.306255 -4.82311 | -22809.8 17949.5
-4.05639 90.7435 | -3.15096 0.771816 | -5068.07 -16826.4
-3.567 90.6731 | -1.81766 3.33089 | 31652.6 11951.8
-3.05903 90.6197 | -2.93132 -6.12482 | -37983.2 -3306
-2.57159 90.563 | -1.48903 -2.14902 | 25449.6 -3114.91
-2.07195 90.5047 | -2.83407 3.85424 | -15258.6 7759.78
-1.58032 90.4534 | -7.18506 -3.4365 | -1003.89 -9308.89
-1.09033 90.3899 | -5.11404 0.391728 | 9668.61 8045.78
-0.592293 90.3335 | -2.3272 0.231859 | 14451 -7449.49
-0.0865814 90.2673 | -1.51035 -3.71509 | -21286.4 4383.62
0.404132 90.1988 | 2.83914 -0.424118 | -9029.73 -5088.84
0.884847 90.1244 | 3.67948 0.365027 | -12990.9 7426.84
1.36033 90.0663 | -1.7864 -3.21308 | 30951.4 -7388.68
1.85674 90.0203 | 1.09898 2.27624 | -6927.79 4222.38
2.35313 90.0023 | 6.48934 -2.99639 | -852.588 4084.94
2.84817 90.009 | 4.72491 -4.00989 | -5274.02 -15878.6
3.3391 90.0197 | 1.04911 -0.499781 | -734.919 2972.45
3.82659 90.0759 | 1.94629 -4.89393 | 7319.32 24461.3
4.30818 90.2032 | 1.95207 -1.78939 | -4518.1 -22296
4.78523 90.3314 | -0.0370612 1.55518 | 14300.7 -4310.29
5.26539 90.4753 | 1.82038 -1.21535 | -14060.2 12172.6
5.7234 90.673 | 4.29782 -4.50382 | 30416.7 -1204.37
6.17999 90.9098 | 2.3442 -2.05741 | -23054.9 6401.69
6.58985 91.2027 | -1.53788 3.91917 | -8857.95 -15100.8
6.96253 91.5234 | -5.42972 -0.549972 | 254.736 695.036
7.3074 91.8747 | -1.26426 -1.18917 | 14112.5 16937.3
7.63695 92.2577 | -3.1368 6.1666 | -12086.5 -18693.5
7.94394 92.6437 | 4.66393 -0.337886 | 974.27 3074.31
8.2398 93.0418 | 4.14944 0.635449 | 15600 22627.3
8.53969 93.4584 | 0.201617 -1.42463 | -6504.32 -18618.3
8.8372 93.8648 | 0.52355 -0.235832 | -953.085 7747.3
9.12975 94.2758 | -0.0544653 1.96372 | -6375.71 -9818.14
9.42016 94.678 | -0.657196 -0.777762 | -2985.76 -5491.93
9.7168 95.0701 | -1.47234 -1.82303 | 6977.97 6715.31
10.0289 95.4586 | -1.26274 3.99166 | -1758.99 14057.9
10.3539 95.844 | 2.85118 -3.18889 | -4502.19 -20521.6
10.7089 96.1882 | -1.99254 -1.34493 | 15383.9 14856
11.1012 96.5058 | -0.920383 2.41605 | -26045.1 -11613.7
11.506 96.78 | 2.22921 1.50827 | 20640.9 -4693.72
11.9496 97.0038 | 2.62194 0.874466 | -10500.5 15591.4
12.4021 97.2083 | 3.33234 0.300908 | 5136.48 -12221.3
12.874 97.3639 | -2.95687 0.987607 | 919.093 11608.8
13.3555 97.4922 | 3.61501 -3.96072 | -14160.1 413.315
13.8383 97.5717 | -3.33209 2.36072 | 4539.49 -17560.7
14.331 97.5747 | 2.1143 -3.41934 | 23787 11924.6
14.8389 97.5497 | 0.841101 -0.0848152 | -9006 15137.3
15.3396 97.4975 | -0.868226 5.70873 | -7003.37 -28111.3
15.8222 97.3615 | 1.60069 0.158771 | 2117.78 13378.3


29.8298 -14.6528 | -2.75915 -2.33009 | 183.177 -2124.65
30.3299 -14.6292 | -2.36157 -1.44602 | 5244.86 -2962.54
30.8311 -14.582 | -0.334814 0.448696 | -6599.18 10603.1
31.3243 -14.4942 | -0.286401 -1.01302 | 5658.05 -7561.2
31.8176 -14.392 | -0.0474432 -1.68158 | 3206.67 5923.59
32.3089 -14.2686 | 0.528699 2.41256 | -7400.42 -35.0304
32.7939 -14.1378 | 0.54802 0.580552 | 3945.8 -9921.4
33.2818 -14.017 | 0.702285 -2.44582 | -2172.52 10359.3
33.767 -13.8838 | 0.488681 0.307029 | 2219.79 -740.16
34.2554 -13.756 | 1.17721 2.44148 | 2023.61 -1358.68
34.7494 -13.6469 | 1.31847 0.564156 | -4148.17 1854.35
35.2464 -13.564 | -0.574189 -0.156905 | 3889.18 -5996.76
35.7513 -13.5248 | -0.0344952 2.21065 | 7411.97 -1782.52
36.2628 -13.5229 | 0.839384 1.31117 | -3463.64 4692.26
36.7715 -13.5458 | -0.495989 1.4109 | -7152.82 -97.8797
37.2723 -13.6003 | -0.52915 0.0298921 | -1809.28 -4659.54
37.7663 -13.6919 | 0.764909 0.603778 | 5308.67 9047.84
38.2569 -13.8076 | 2.47266 1.76174 | -2927.61 -5712.02
38.7321 -13.9716 | 1.81364 0.986813 | -5124.75 2365.77
39.1839 -14.1832 | -0.503515 2.10418 | 3168.92 -2380.88
39.6107 -14.4445 | 0.410943 5.38778 | -7396.3 -5351.51
40.0045 -14.7504 | 0.833905 5.05038 | 3432.18 10005
40.384 -15.0707 | -1.889 1.30181 | 694.112 -5442.12
40.7498 -15.4108 | -2.19942 0.456994 | 3279.99 -1076.28
41.109 -15.7617 | -1.29944 -0.380834 | 3072.56 1377.57
41.4647 -16.1179 | 0.820832 -1.74557 | -1749.27 -1108.13
41.811 -16.4823 | 2.58641 0.546758 | -6970.82 81.8362
42.1472 -16.8515 | 0.72222 2.0649 | 5133.73 4754.03
42.4917 -17.2125 | -0.712071 -0.58207 | 1487.95 -915.206
42.8418 -17.5709 | 2.47932 0.67935 | -425.712 -8235.24
43.1937 -17.9334 | 3.28372 -0.531583 | 3122.46 -841.567
43.5573 -18.2862 | 0.959399 -0.377717 | -3479.15 9995.33
43.934 -18.6153 | -1.7766 -0.245785 | -2716.14 1948.98
44.3201 -18.9285 | -3.18091 -1.05796 | -81.2324 -893.059
44.7133 -19.2338 | -3.47085 1.57136 | 1877.37 -8302.95
45.1138 -19.5378 | -3.68316 -1.29019 | 3918.65 -2361.61
45.53 -19.8259 | -1.77569 -2.4088 | -2119.83 7295.23
45.9642 -20.0812 | 1.28109 2.15141 | 7265.72 -2193.32
46.4179 -20.3088 | -0.0795987 -1.06538 | -3727.83 -994.401
46.879 -20.5126 | 0.150225 0.79189 | -16603.5 9702.01
47.3373 -20.6871 | -0.0179941 1.79301 | -596.596 -412.74
47.799 -20.8462 | -0.822335 1.82601 | 1550.37 -5644.57
48.2656 -21.0007 | -1.16927 3.41357 | 9422.08 -5554.05
48.7445 -21.1426 | 0.415177 -1.79788 | 2454.57 3210.99
49.2334 -21.2525 | -0.0948616 -0.709638 | -7751.49 -1139.43
49.7248 -21.326 | -2.49127 -1.7978 | 7350.46 -2301.63
50.2247 -21.3523 | -3.31533 -4.04805 | -3050.83 14395.5
50.7224 -21.3137 | -4.03392 -1.18258 | -3382.56 -5668.1
51.2156 -21.2515 | -0.67774 -2.68179 | 7275.06 -7318.6
51.7113 -21.1856 | 0.284733 -2.48429 | -9734.19 7601.72
52.1997 -21.1055 | -1.30325 0.112089 | 2516.89 -5316.55
52.69 -21.035 | -1.48767 1.80917 | 4428.29 -4528.81
53.1836 -20.9759 | -1.38817 3.56546 | -11257.3 8201.78
53.67 -20.911 | -0.122987 1.5358 | 2437.7 -5573.38
54.1586 -20.8597 | 0.101347 -0.507626 | 3035.32 2564.29
54.6509 -20.8179 | 0.506844 -0.321481 | 2418.54 2869.32
55.1464 -20.7901 | 1.65764 3.94078 | 816.097 -5021.56
55.6437 -20.7913 | 0.715793 2.55099 | 1386.99 1562.89
56.1421 -20.8151 | 0.430517 0.0794245 | 3700.87 -414.766
56.6406 -20.8614 | 1.00107 0.000460286 | -7949.53 2229.81
57.1308 -20.9279 | -0.206959 -1.67206 | -6821.26 -310.569
57.6122 -21.0178 | -0.250821 -2.87934 | 5658.26 1056.74
58.0914 -21.1277 | 0.661319 1.2263 | -5954.55 3658.03
58.5615 -21.2586 | 1.20038 3.63203 | 1453.77 -1762.11
59.0241 -21.4197 | 0.408498 1.17379 | 10680.3 -1097.3
59.4828 -21.6127 | 0.237759 -1.06288 | 2724.99 -1939.39
59.9273 -21.8438 | 1.7078 -1.12066 | -3429.37 -3859.97
60.3485 -22.1153 | 2.05421 0.184439 | 2685.07 2247.84
60.7518 -22.4138 | -0.247024 0.592096 | 2957.72 3006.25
61.1355 -22.737 | -4.11688 -0.842052 | -6155.78 -1169.9
61.4849 -23.0927 | -5.79079 0.263986 | -2234.5 1710.09
61.8016 -23.4751 | -3.68779 0.906991 | -612.466 -1889.05
62.0922 -23.8789 | -3.47133 0.702896 | 5544.56 -20.2737
62.3698 -24.2946 | -3.51138 0.521417 | 161.041 -1044.79
62.6324 -24.7216 | -3.9093 -0.624586 | 403.225 -2154.19
62.8802 -25.1587 | -1.07303 -0.707626 | 908.831 3254.4
63.1149 -25.6006 | 0.588923 -1.08843 | -5092.04 2722.57
63.3308 -26.0478 | -2.16529 -0.41086 | 394.244 2459.99
63.536 -26.4978 | -3.44875 1.03321 | 3430.46 26.9797
63.7346 -26.9516 | -1.65626 -0.523026 | -7827.33 -4380.45
63.918 -27.412 | -0.909251 -1.80982 | 2346.28 5152.87
64.1106 -27.8661 | -0.382534 -1.5228 | 5782.3 3110.4
64.3227 -28.3123 | -0.502587 -0.781144 | -2727.03 -14449.5
64.5422 -28.765 | -0.455097 -0.0332018 | 8353.6 -4060.5
64.7832 -29.213 | 2.27351 1.66846 | -7036.03 4923.38
65.0368 -29.6481 | 3.33627 1.6515 | -1821.42 6089.76
65.3121 -30.0641 | 1.21424 -0.76828 | 4892.4 1800.97
65.6145 -30.4613 | 0.998776 -1.37733 | 101.879 -3583.3
65.9312 -30.8497 | -0.287032 -1.78771 | -7661.76 -4106.49
66.2538 -31.2325 | -0.324648 -1.18282 | 6614.84 1482.22
66.6027 -31.5944 | 1.37888 -1.56643 | 2538.06 4787.54
66.9756 -31.9306 | 2.0169 -1.39507 | -4117.3 -3982.94
67.359 -32.255 | 1.25858 0.114897 | 3491.13 -4063.18
67.7577 -32.5666 | -1.24922 -1.65245 | 3133.16 2026.33
