-5.01302 64.2674 | 1.60216 1.46691 | -764.309 345.904
-4.66461 64.6179 | 1.0025 0.110579 | -2922.67 599.668
-4.31888 64.9705 | 3.04442 -0.811145 | 11808.1 -2221.4
-3.95499 65.3121 | 3.83651 2.531 | 1477.64 6906.75
-3.58445 65.6539 | 2.45123 2.76461 | -1710.49 -109.942
-3.2103 65.992 | -0.898238 0.411537 | 2298.84 -1305.91
-2.82818 66.3223 | -2.02972 -1.74361 | 220.425 1656.26
-2.44021 66.648 | 0.0600928 -3.21342 | 3255.05 1153.92
-2.04503 66.9685 | 0.976481 0.305014 | -1751.51 -605.096
-1.64711 67.2839 | 1.03935 2.19707 | -2505.9 -779.248
-1.24705 67.594 | 0.735678 1.9873 | 288.509 1293.03
-0.840605 67.8971 | -0.332848 3.01233 | 3754.11 2210.14
-0.421757 68.1884 | -0.20307 3.91193 | 1537.14 -1474.36
0.0106326 68.4602 | 0.504038 5.28816 | -2127.49 -1092.86
0.453875 68.7109 | 0.352246 4.85363 | 566.668 -53.1665
0.908997 68.9386 | -0.142704 2.12968 | -932.312 -3669.22
1.3739 69.1399 | -0.517806 1.81442 | -5437.53 -941.725
1.84249 69.3213 | -1.13435 1.7256 | -1873.65 3638.78
2.31613 69.4872 | 0.619412 -1.11497 | 3690.75 635.843
2.80072 69.6261 | 2.05731 -0.583467 | 595.29 -4638.49
3.29426 69.7261 | 0.220457 1.71844 | -4829.95 813.97
3.79014 69.7933 | -1.40819 1.00712 | -1136.81 4753.42
4.28905 69.8287 | -2.16844 0.789473 | 7643.48 -9074.81
4.79413 69.8142 | -0.325879 0.532583 | 1755.25 2210.29
5.29852 69.768 | -0.77388 -1.18667 | -5977.25 7205.56
5.79512 69.6992 | -3.1543 -0.900544 | -6708.71 -9023.12
6.27982 69.5905 | -2.20592 -1.05408 | -788.329 7340.11
6.75789 69.4645 | -0.900646 -6.01959 | 5527 -3345.91


24.327 -17.8553 | -1.30604 -6.49953 | 5267.86 3025.92
24.8277 -17.7864 | 1.8161 -0.0575265 | -1473.08 2277.49
25.3251 -17.7027 | 2.6577 1.31883 | -304.93 -6747.35
25.8225 -17.6262 | 3.24305 1.72015 | 803.839 -1793.98
26.3205 -17.5533 | 1.17236 3.37156 | -590.547 1547.28
26.8165 -17.4734 | -0.406357 2.27606 | -7265.77 1751.77
27.3053 -17.3827 | -1.57404 3.49389 | -3215.41 -3458.3
27.7906 -17.2883 | -3.7482 4.11188 | 6110.46 2095.89
28.2785 -17.1856 | -1.57154 2.15022 | 2333.7 2857.94
28.7674 -17.075 | 0.92328 0.141873 | -1932.79 8953.81
29.257 -16.9661 | -0.0628075 0.156062 | 2594.65 -4680.28
29.7544 -16.9039 | 0.310408 0.64032 | -4151.01 -10045.5
30.2515 -16.9156 | 0.642049 0.0932254 | -5310.55 3614.94
30.7398 -16.9875 | 1.42818 -0.930808 | -647.162 -2215.5
31.2171 -17.1159 | 1.86989 2.24201 | 7142.91 -3922.54
31.6877 -17.2859 | -0.801366 2.15024 | 3683.74 5582.19
32.1531 -17.4733 | -1.13452 -2.52112 | -6119.24 4995.85
32.6062 -17.6777 | 0.834006 -2.32984 | 437.98 -3152.43
33.0473 -17.9102 | 0.145362 -2.28214 | 7804.43 -4818.1
33.4796 -18.1715 | -1.76885 -2.17477 | 1684 1314.6
33.8986 -18.4558 | -1.98462 1.18746 | -1765.32 3824.34
34.2969 -18.7651 | -0.406138 1.13413 | -338.15 -3040.58
34.6658 -19.1111 | 0.622302 2.01925 | -308.265 -10510.3
35.0003 -19.4974 | -0.240586 3.49517 | 6026.97 4235.15
35.3104 -19.9039 | -0.902549 2.55318 | -5764.87 6321.55
35.5826 -20.3291 | -0.582602 3.0143 | -8011.36 -1381
35.8094 -20.7764 | 0.346899 3.17454 | 5108.04 5727.55
36.0089 -21.2337 | -1.04266 2.54164 | -5289.9 -227.046
36.175 -21.7031 | -4.69022 1.6533 | -48.4516 -5285
36.3223 -22.1827 | -4.01536 1.82562 | 4758.62 -2430.1
36.4708 -22.6648 | -0.812257 3.43261 | -1025.07 2447.43
36.6253 -23.1432 | -0.860489 2.60575 | 888.188 3349.01
36.7931 -23.6144 | -3.24134 -0.057519 | -1945.14 2176.9
36.9744 -24.0786 | -4.59664 -0.47429 | -113.314 -3070.45
37.1745 -24.5371 | -5.01974 -1.18822 | 4739.42 -1562.9
37.4018 -24.9857 | -3.54983 -1.61657 | -1690.84 45.2824
37.6499 -25.4228 | -1.8811 -0.618916 | 1872.09 3728.76
37.9188 -25.8459 | -0.940208 0.561077 | -2911.96 -2778.44
38.1984 -26.2627 | -0.615703 0.684741 | 1029.06 -3235.54
38.4915 -26.6726 | -0.973693 -0.390405 | 1164.37 2792.51
38.8013 -27.0681 | 0.737473 -0.194327 | -9147.09 1554.71
39.1222 -27.4483 | 0.871057 1.56455 | 730.496 -1425.94
39.4717 -27.8028 | -1.04944 1.63786 | 7646.06 2722.87
39.8624 -28.115 | -0.821103 1.00091 | -1015.05 -861.927
40.2813 -28.3855 | 0.620337 1.33172 | -13722.4 5679.57
40.714 -28.6107 | 2.14365 1.23775 | -4176.28 5721.17
41.1621 -28.7915 | 1.63534 1.67908 | 9274.64 -6017.81
41.6262 -28.9489 | -0.0192988 1.93225 | -920.797 -7399
42.0965 -29.0936 | -0.572843 1.177 | -635.833 2791.71
42.5739 -29.2107 | 0.36956 1.28806 | 902.081 415.795
43.0581 -29.2987 | 1.74205 0.477308 | 495.802 -3049.33
43.5479 -29.3602 | 2.66788 0.66373 | 6461.14 2015.66
44.0448 -29.3889 | 2.13386 2.16819 | -3062.32 4540.13
44.5414 -29.3894 | 1.61345 0.464112 | 2179.76 -5317.85
45.0396 -29.3859 | 0.247741 -0.527197 | 2579.75 -4392.78
45.539 -29.3814 | -0.622642 -0.553744 | -6593.38 10552.1
46.0344 -29.3617 | 0.851195 -1.43624 | 3883.11 1231.96
46.5322 -29.3554 | 2.45028 1.13624 | 3308.44 -8646.74
47.0312 -29.3956 | 2.4993 2.3261 | 1179.48 -4425.22
47.5272 -29.4809 | 0.874271 1.88291 | 3557.56 -486.398
48.0204 -29.5938 | -0.625919 4.53189 | -3839.6 1106.41
48.5084 -29.7182 | -1.38488 2.81978 | -676.168 3610.74
48.9951 -29.8398 | -0.586103 2.73693 | -1029.82 5543.64
49.4809 -29.9572 | 0.635514 4.47579 | -1685.65 901.172
49.9619 -30.0884 | 0.688604 2.72063 | 2233.51 -8965.69
50.4352 -30.2535 | 2.14811 3.4294 | -2687.2 959.232
50.8986 -30.4388 | 1.42975 0.752963 | -1573.68 10463.2
51.3544 -30.6311 | -0.55508 0.534552 | -4760.95 -3744.75
51.7945 -30.8515 | -2.6221 1.66915 | 481.979 -1355.83
52.2206 -31.0992 | -3.62857 0.956356 | 5103.14 2298.57
52.6361 -31.368 | -2.92934 0.789107 | -3484.64 1108.81
53.0318 -31.6629 | -2.62851 0.0869147 | 3867.47 -3194.89
53.4086 -31.9883 | -3.05483 -0.409125 | 9575.1 -4619.14
53.7659 -32.3455 | -0.724039 3.3932 | -3399.92 -1673.77
54.0863 -32.7361 | -0.228688 4.70058 | -2865.92 489.411
54.3654 -33.1549 | -2.4556 3.57076 | -20.7081 4882.94
54.6055 -33.594 | -2.24815 2.10327 | -2128.54 -3929.08
54.8032 -34.0553 | -0.958976 -1.12135 | 2041.5 -1647.38
54.9667 -34.5311 | -0.424421 -1.58306 | -1124.38 6160.87
55.0981 -35.0131 | -3.05769 -0.638328 | 533.458 -5243.59
55.2004 -35.5053 | -1.44481 0.892732 | -921.988 -1345.99
55.277 -36.0029 | 0.377173 -0.192191 | -3723.7 3861.44
55.3356 -36.4997 | -2.81901 -2.15023 | 4513.65 4112.45
55.3965 -36.993 | -2.5622 -1.18908 | -712.249 3862.57
55.4606 -37.4832 | -3.92177 -0.555698 | -375.443 -5172.11
55.5301 -37.9765 | -5.40121 -1.68708 | -2916.91 -5599.49
55.6104 -38.4724 | -2.58424 -2.0691 | 1471.16 -1769.61
55.7211 -38.9647 | -5.406 -3.26333 | 10888.1 39.7489
55.8771 -39.4464 | -6.45025 -2.2142 | -4341.79 4879.15
56.0533 -39.9168 | -4.97904 0.508608 | -12698.7 -1961.29
56.2369 -40.3818 | -0.792346 2.44609 | 8444.3 523.32
56.4618 -40.8291 | 2.74578 2.22846 | -745.897 6005.03
56.7278 -41.2489 | 2.98119 1.19268 | -3002.46 -1551.97
57.0288 -41.6436 | -1.05671 1.84447 | 137.088 -2176.73
57.3678 -42.0078 | -1.36864 5.71644 | 1043.15 -3320.27
57.7483 -42.3318 | -1.50475 4.50918 | 4374.28 1591.42
58.1731 -42.5987 | -2.47714 3.01176 | 2369.72 3407.34
58.6323 -42.8032 | -3.33234 3.47644 | -508.759 -1266.37
59.1116 -42.9563 | -2.87873 3.83837 | -1628.24 1806.65
59.6015 -43.0654 | -3.09348 -1.72983 | -2376.69 -2589.63


-88.0564 -44.6515 | -1.14563 -0.130424 | 3977.39 310.214
-88.0004 -44.154 | 1.39073 -1.13481 | -5780.21 -408.411
-87.9968 -43.6533 | -0.732781 -1.38881 | 2544.26 3702.92
-88.0374 -43.151 | -3.29172 -1.53344 | -5936.31 6419.48
-88.125 -42.6492 | -3.56855 -1.30851 | 1432.13 -160.757
-88.2428 -42.1536 | -3.43151 -0.340459 | 3394.06 -5195.67
-88.3811 -41.6676 | -0.0487991 0.717835 | -3661.74 -2659.54
-88.5406 -41.1898 | 1.78512 1.63034 | 3814.56 3724.66
-88.7063 -40.7128 | -0.36806 1.11522 | 761.363 316.936
-88.8799 -40.2395 | 0.514363 0.967608 | -1646.56 -9515.47
-89.0652 -39.7773 | 0.517382 1.94902 | 1494.69 -2749.18
-89.2501 -39.3183 | 0.542199 1.89059 | -4305.22 704.321
-89.4245 -38.8549 | 0.765672 1.46882 | 8748.13 -94.9756
-89.5613 -38.3815 | -1.53846 1.41398 | 189.653 -2788.91
-89.6675 -37.9024 | -1.71344 0.882884 | -9836.4 -3888.15
-89.7506 -37.42 | -1.86977 2.80119 | 4961.84 6845.85
-89.7797 -36.9275 | -0.892384 4.81556 | 3761.37 3335.5
-89.7491 -36.4323 | 0.622207 4.09857 | -4208.18 -4983.79
-89.6719 -35.9451 | 0.0601518 3.32322 | 1216.05 -1492.88
-89.5482 -35.4683 | -1.85965 2.57914 | -4629.64 4779.18
-89.3869 -35.0001 | 1.09579 2.69865 | 1638.41 3220.34
-89.1776 -34.548 | 4.35297 2.916 | 3343.55 693.516
-88.9151 -34.1219 | 3.18231 2.99001 | 2144.3 1260.77
-88.6047 -33.7266 | 1.25717 3.02165 | 450.18 28.408
-88.2555 -33.3639 | 1.9137 1.40167 | -546.119 1157.45
-87.8761 -33.0334 | 2.43177 1.28114 | -5430.93 156.186
-87.4729 -32.7387 | 2.66904 -0.0723322 | -5864.85 -2770.87
-87.0443 -32.494 | 0.422318 -0.216455 | -1484.6 -4462.82
-86.5872 -32.3133 | 0.231792 0.649337 | 10347.4 1659.29
-86.1023 -32.1924 | 0.200935 0.527276 | 9218.25 2800.76
-85.6001 -32.1205 | -1.0215 2.37222 | -4912.53 -610.351
-85.0959 -32.0911 | -0.611289 1.73467 | -3837.76 -2737.53
-84.593 -32.0971 | 0.240464 1.6174 | 5747.1 4923.05
-84.0867 -32.1215 | 1.3279 4.0288 | 5263.12 2020.64
-83.5783 -32.1677 | 1.25956 3.46103 | -4120.71 -8396.96
-83.0767 -32.2494 | 0.0156854 -0.454063 | -5664.31 1320.21
-82.5825 -32.3476 | -0.434608 -0.402887 | 100.248 6108.36
-82.0901 -32.4465 | -0.403481 0.989064 | -2126.02 -6705.79
-81.6005 -32.5535 | 1.23589 -1.17153 | -3673.82 1729.26
-81.1109 -32.6484 | 2.28921 -1.97038 | 5484.09 6358.25
-80.6132 -32.716 | 1.0485 -2.37885 | 7477.31 -1115.42
-80.1082 -32.7685 | 1.32651 -1.09034 | -2306.58 -6237.54
-79.6037 -32.8161 | 0.430137 0.624413 | -6588.45 3624.08
-79.103 -32.844 | -0.721712 -0.0874109 | -4476.5 596.996
-78.6046 -32.8501 | 0.735707 0.759485 | 6992.93 259.173
-78.1017 -32.8344 | 1.16936 2.45465 | 4182.09 -2942.26
-77.5963 -32.7976 | 1.65966 -0.384621 | 76.5487 571.524
-77.094 -32.7279 | 0.405437 2.42622 | -1998.62 6176.99
-76.6001 -32.6149 | -0.570497 4.06766 | -107.45 -3855.96
-76.1147 -32.4718 | 0.623521 2.0169 | 2030.87 1203.37
-75.639 -32.2959 | -0.300795 -0.130276 | -4030.26 1682.27
-75.1791 -32.0871 | -0.0217778 -2.94936 | -420.279 -3537.45
-74.7323 -31.8543 | -0.59599 -1.62237 | 4336.59 302.06
-74.2986 -31.5936 | -3.16373 0.944937 | -4126.55 5100.01
-73.889 -31.2984 | -0.502202 -1.15531 | -5516.29 -5923.23
-73.5017 -30.9841 | 0.221014 -1.83025 | -4831.71 -2999.61
-73.1309 -30.6565 | -1.5612 0.718246 | 5382.5 5371.43
-72.7623 -30.3193 | -1.87822 0.977032 | 5191.81 771.916
-72.3881 -29.9845 | -2.64688 0.714973 | -6578.96 -6372.12
-72.0129 -29.6606 | -1.35611 1.8571 | -4883.27 -3485.5
-71.6339 -29.3481 | 0.690696 0.0883293 | 1863.7 5212.93
-71.2435 -29.0449 | -0.438705 -1.0863 | 7587.42 -256.629
-70.8326 -28.7617 | -1.67243 0.670937 | 1241.71 712.876
-70.4082 -28.4966 | -1.4812 -1.12532 | -2858.5 -6317.59
-69.9782 -28.2483 | -0.256671 -2.92127 | -4199.33 2278.67
-69.5519 -27.9973 | -0.0675334 -2.62525 | 665.297 6671.1
-69.1282 -27.7372 | 0.934913 -4.1857 | 1792.41 -2232.08
