39.7931 -57.7256 | 1.14356 -2.59261 | 1189 -268.075
40.2912 -57.7668 | 1.58952 0.370493 | 6786.2 -6814.63
40.7962 -57.7809 | -0.326504 0.0700341 | 3468.29 10373.1
41.3029 -57.747 | -2.10726 0.851152 | -6025.9 -5501.3
41.8027 -57.6842 | -0.973448 -0.718122 | -3526.39 982.644
42.2958 -57.5912 | -1.26287 -0.545613 | 9418.77 -1433.67
42.7889 -57.4706 | -1.06591 0.894398 | 620.053 3563.65
43.2731 -57.3144 | -1.36779 -0.167921 | -4751.33 -2950.87
43.7412 -57.1265 | -4.03082 0.654803 | -4867.84 -5473.27
44.1881 -56.9045 | -4.13766 1.65473 | -1381.87 4954.11
44.6072 -56.6335 | -2.58474 2.07557 | 2713.34 4186.98
44.998 -56.3188 | -3.35726 3.49621 | -3338.68 -5608.6
45.3598 -55.976 | -3.43949 2.55559 | 1351.17 999.816
45.6963 -55.6072 | -3.70207 3.42009 | 1559.04 3603.93
46.0094 -55.2152 | -0.787922 4.0501 | -1363.41 -3633.23
46.3017 -54.81 | -1.11278 3.26561 | -2226.63 2522.55
46.5769 -54.393 | -0.271931 2.3363 | 85.3768 -2334.01
46.8484 -53.9746 | 0.313321 1.45408 | 3904.28 383.741
47.1273 -53.5594 | 0.351047 -0.628381 | -3193.29 970.186
47.4119 -53.1487 | 2.30272 0.416674 | 291.386 826.427
47.7122 -52.7494 | 0.906252 2.04697 | 519.78 -5611.82
48.036 -52.3723 | -0.51156 0.51788 | 614.981 317.296
48.3816 -52.0139 | 1.63749 0.410159 | -1535.32 10763.1
48.7464 -51.6693 | 0.423745 0.147583 | 2033.71 -6437.89
49.1438 -51.3659 | 1.69368 -2.50646 | -3286.6 -99.6716
49.5711 -51.1111 | 0.152209 -2.55324 | 2231.43 -3391.66
50.0283 -50.917 | -1.44729 -1.82473 | -4554.81 -9096.17
50.5017 -50.7813 | 1.381 -4.35554 | -4112.86 18364.9
50.9813 -50.6665 | -0.155175 -0.243649 | 9426.25 -6794.26
51.4758 -50.6066 | -1.56045 -0.973833 | -2014.22 -5917.9
51.9728 -50.602 | -0.763013 -2.80751 | -4184.07 7284.02
52.4657 -50.627 | -0.0189769 -1.32592 | -6609.43 418.569
52.9523 -50.6828 | 1.0826 -1.26292 | 10785.2 1329.94
53.4418 -50.7686 | 1.05279 0.960695 | 6862.56 -7376.66
53.9293 -50.8919 | 0.399051 1.16417 | -8242.72 5247.5
54.4058 -51.0339 | 0.517479 -0.353783 | -3657.5 1294.45
54.8752 -51.1902 | 0.358584 1.35138 | 9583.15 1354.86
55.3475 -51.3587 | 1.81089 1.33406 | 9647.48 -4591.36
55.8191 -51.551 | 2.00509 1.13194 | -4926.42 -1635.5
