-12.2356 12.4965 | -2.98181 3.03887 | 4000.18 2205.79
33.1345 -40.6906 | 1.33748 -1.43277 | 1998.62 4254.32
33.5002 -41.0318 | 3.2522 -0.599915 | 2747.03 8975.71
33.8651 -41.3697 | 1.97317 -1.61834 | -7740.21 -6126.52
34.2032 -41.7332 | 1.09473 -3.16359 | -594.713 -4697.26
34.5158 -42.1211 | 0.819779 -1.97878 | 3533.29 5001.43
34.8133 -42.5192 | -2.32594 -2.74801 | -328.184 5021.97
35.0902 -42.9288 | -2.40834 -1.58004 | 445.908 -5799.14
35.3368 -43.3615 | -1.73619 0.619782 | -2426.26 -7399.72
35.5497 -43.8162 | -0.568136 0.925149 | 1936.69 3837.6
35.7445 -44.2772 | 2.32703 1.78513 | 33.5828 3719
35.9277 -44.7402 | 2.17319 1.02377 | 1530.43 596.259
36.1024 -45.2061 | -0.90233 -0.96017 | 1760.89 -369.961
36.2653 -45.6765 | -1.61211 -1.5005 | -5603.83 1381.77
36.407 -46.1517 | -0.740803 -1.76885 | -2169.64 -1392.91
36.5389 -46.6307 | -1.04366 -0.883802 | 6228.46 -3293.95
36.6827 -47.1101 | -2.3012 0.28702 | 2060.89 -3024.66
36.8394 -47.5888 | -1.57008 -0.064046 | 328.398 149.08
37.0057 -48.0645 | -2.04917 -0.922943 | -2387.4 1916.58
37.1777 -48.5363 | -0.924835 -1.45072 | -1244.38 717.342
37.3587 -49.0041 | 0.781768 -0.966653 | 3392.73 -3263
37.5559 -49.4681 | -0.445672 -1.33891 | -735.086 1491.27
37.767 -49.9246 | -0.435339 -2.06302 | -2082.17 3573.04
37.9904 -50.3715 | 1.73234 -0.946804 | -2290.59 735.673
38.2273 -50.8095 | 2.39336 -0.930845 | -2722.03 -681.295
38.4838 -51.2357 | 2.31978 -1.13932 | 4664.3 -117.249
38.7748 -51.6418 | 0.919631 -1.03716 | 2255.56 -3269.59
39.0996 -52.0256 | 0.620701 -2.3928 | -1292.83 -4058.19
39.4561 -52.3821 | 0.617747 -2.70466 | 638.528 5898.55
39.8493 -52.6929 | 0.169446 -2.41823 | -3853.37 3098.21
40.2723 -52.9546 | -0.0797319 -3.70409 | -795.56 -1021.16
40.7204 -53.1693 | -2.06921 -6.06509 | 1571.61 2455.43
41.1899 -53.3355 | -3.12844 -5.66954 | 3934.22 -2476.31
41.6752 -53.4656 | -2.9281 -3.32251 | 6617.86 -7153.45
42.1733 -53.5683 | -1.85445 -2.22296 | 664.705 4338.07
42.6784 -53.6287 | -0.124856 -1.0707 | -5285.73 6448.02
43.1827 -53.6482 | -0.84921 0.53622 | -2021.87 -3166.81
43.6854 -53.6513 | -0.80184 0.402153 | 118.332 -2689.02
44.1879 -53.6494 | 1.03588 0.400561 | 183.605 2905.44
44.6902 -53.6433 | 1.48792 1.24524 | -1721.4 -4597.67
45.1916 -53.6457 | 0.802522 -1.01349 | 1456.28 -1906.26
45.6941 -53.6511 | 0.208418 -1.65217 | 1863.46 4840.91
46.1978 -53.6468 | 0.887706 -0.706279 | -1917.12 1738.49
46.7002 -53.6393 | 1.31556 0.87644 | -835.605 -3275.77
47.2019 -53.6419 | 0.638515 2.30047 | -403.218 484.502
47.7027 -53.6549 | -0.121992 0.447903 | -1664.14 650.355
48.2014 -53.6806 | -0.918941 -2.52058 | -2523.44 -704.944
48.6973 -53.7232 | -1.09378 -4.78534 | 836.264 2018.47
49.1918 -53.7832 | 0.225376 -4.5918 | 4394.45 1836.86
49.6851 -53.8688 | 1.01183 -3.20013 | -2807.35 -5214.55
50.1679 -53.9963 | 0.974727 -4.21061 | -4724.45 3355.98
50.6365 -54.1585 | 0.785477 -3.33716 | 2528.7 -1549.62
51.0936 -54.3568 | 0.810273 -1.57242 | 3744.11 -7250.49
51.5401 -54.5885 | 1.15916 -2.51179 | 3150.65 4247.68
51.9821 -54.8308 | 1.54251 -3.22974 | -242.745 7911.84
52.4179 -55.0797 | 1.41966 -3.4762 | 1378.55 -3573.68
52.8384 -55.3576 | 2.14131 -2.74359 | 2601.48 -5012.89
53.2332 -55.6759 | 2.87242 -1.9949 | -6067.34 -3153.9
53.5904 -56.0335 | 3.31946 -0.980257 | -3689.93 5975.07
53.9167 -56.4131 | 0.701856 -1.26481 | 6714.79 4811.74
54.222 -56.809 | -1.92967 -1.85879 | -5047.7 -3986.36
54.4875 -57.2325 | -0.585275 -0.899663 | -6316 -2017.76
54.7146 -57.6772 | 1.3916 0.368139 | 3893.09 24.5592
54.9309 -58.1289 | -0.0676435 1.23273 | 6970.76 1409.44
55.1518 -58.58 | -1.89455 1.88398 | -1418.96 -1680.62
55.3682 -59.0342 | -2.08494 2.05785 | -2224.28 -574.244
55.578 -59.4912 | -2.89214 1.48963 | 3503.79 3368.62
55.7875 -59.9467 | -4.14665 0.554479 | -2683.75 218.629
55.9867 -60.4054 | -1.83827 0.657908 | 674.33 2170.83
56.1741 -60.8675 | -0.0517311 0.588343 | -4737.49 -3651.9
56.3434 -61.3377 | 1.92211 0.223926 | -2463.46 -2595.07
56.5093 -61.8104 | 1.75703 -0.0487149 | 7602.48 5852.66
56.6971 -62.2733 | 0.361415 0.313014 | -3519.5 -4226.51
56.8994 -62.7316 | 1.15878 1.75042 | 960.418 1930.46


-44.2945 -49.7583 | -0.822004 -0.130048 | 1550.17 -752.853
-43.8133 -49.6154 | -0.995816 0.589464 | 3286.06 4003.03
-43.3427 -49.4328 | -1.51764 1.32617 | -96.0198 -2661.87
-42.8863 -49.219 | -2.53671 1.29062 | -4299.45 -242.793
-42.4497 -48.9725 | -2.10204 0.881906 | 385.862 701.404
-42.031 -48.696 | -0.385294 0.728586 | 3271.39 1275
-41.6278 -48.3931 | 0.141397 0.769975 | -1235.92 3926.01
-41.242 -48.0667 | -0.492797 0.624716 | 38.9272 -4619.54
-40.867 -47.7315 | -0.0484231 -0.803531 | -2656.79 -2839.04
-40.5026 -47.3894 | 0.764962 -2.19396 | -5158.11 3576.36
-40.1475 -47.0396 | 1.52814 -3.25868 | 3793.41 -3872.51
-39.7834 -46.6995 | 1.38457 -2.44828 | 4766.37 -1715.23
-39.4074 -46.3707 | 3.29822 -1.80904 | -5149.31 -272.492
-39.0325 -46.0453 | 6.9049 -0.812689 | -4906.96 -1693.77
-38.6606 -45.7222 | 5.14434 1.18051 | 1340.28 -273.544
-38.2851 -45.4031 | 2.13334 1.32425 | -217.275 2127.57
-37.9048 -45.0879 | 2.40925 -0.279275 | 418.946 2760.03
-37.515 -44.7823 | 1.48077 0.594083 | 836.12 -2132.26
-37.1091 -44.4989 | 0.801794 0.323822 | -1097.79 -1536.34
-36.687 -44.242 | 0.607687 -3.51484 | 2665.07 2957.86
-36.248 -44.0102 | -0.282072 -4.23593 | -1186.13 -486.531
-35.7958 -43.8082 | 0.551563 -1.43619 | -4645.19 -2901.1
-35.3339 -43.639 | 2.62334 -0.190615 | 2321.05 1069.06
-34.8615 -43.4968 | 2.99491 0.287247 | 2304.39 2367.69
-34.3808 -43.3763 | 2.67951 -1.86001 | -353.326 1861.36
-33.895 -43.2773 | 1.47784 -0.794948 | -2016.04 1648.54
-33.4051 -43.2055 | 0.403765 1.92606 | 3481.22 171.971
-32.9086 -43.1722 | -0.685653 1.68779 | 3662.52 -5123.49
-32.4086 -43.1869 | -0.831264 -0.711891 | -2081.22 2402.91
-31.9119 -43.2369 | 0.723086 -1.20179 | 0.928862 2140.99
-31.4198 -43.3177 | 0.676414 -0.599727 | -654.331 -991.463
-30.9351 -43.4327 | -0.271819 -0.333531 | -731.38 -669.654
-30.46 -43.5796 | -0.875003 -0.0527431 | -1877.82 1260.71
-29.9956 -43.7518 | -1.14896 -1.88768 | -3330.87 252.338
-29.5421 -43.9442 | -0.284924 -2.07421 | -285.202 1515.19
-29.0953 -44.1478 | -0.833464 -0.0514786 | -4325.83 1330.65
-28.6548 -44.3564 | -0.746653 1.82178 | -2672.53 542.731
-28.2154 -44.5625 | 1.21944 2.67997 | 3359.59 311.135
-27.7693 -44.7572 | 0.905361 1.56116 | -159.31 2704.07
-27.3173 -44.9369 | -1.16271 -1.01937 | -328.12 -2696
-26.8619 -45.1097 | -1.9847 -1.00015 | 424.66 -3566.09
-26.4019 -45.275 | -1.95474 -1.42308 | 2440.13 314.331
-25.9326 -45.421 | -1.18776 -2.55806 | 7869.51 1022.3
-25.4497 -45.5421 | -2.11486 -1.61359 | 6343.48 -2286.08
-24.9566 -45.6446 | -3.2435 -2.8472 | 280.932 -7786.6
-24.459 -45.7321 | -2.80812 -3.23502 | -3786.32 802.699
-23.9593 -45.7779 | -2.12157 -2.84076 | -4613.72 5579.43
-23.4615 -45.7567 | -1.04829 -2.93337 | 5665.87 1950.41
-22.9678 -45.6658 | -1.21972 -0.595673 | 1393.79 3488.65
-22.4885 -45.5096 | -1.49575 1.62908 | -3063.26 251.763
-22.0298 -45.3044 | -1.73864 0.303689 | -2593.86 -3939.78
-21.5896 -45.0691 | -2.67907 -2.71207 | -2647.32 -4903.57
-21.1659 -44.8128 | -2.6461 -2.81414 | 779.172 -1084.64
-20.7577 -44.5328 | -2.20282 -2.78849 | -1205.07 4805.19
-20.3685 -44.2244 | -0.197917 -3.63996 | 4114.79 -618.254
-19.9896 -43.8991 | 0.558924 -3.19486 | 3992.81 2086.97
-19.6194 -43.5587 | 1.78844 -4.62119 | 275.837 1139.58
-19.2608 -43.2041 | 4.22883 -4.874 | -234.294 457.016
-18.9145 -42.8373 | 2.47211 -1.34523 | 154.604 0.13982
-18.579 -42.4611 | 0.57879 1.11209 | -3784.49 -2826.84
-18.2548 -42.0789 | 1.42517 1.59187 | 1250.15 1738.05
-17.9348 -41.6918 | 0.434222 1.22823 | 588.129 1521.25
-17.6141 -41.3041 | -0.248929 0.449607 | -2026.78 -1278
-17.2875 -40.9232 | 0.422625 -1.11538 | 2826.62 -3000.03
-16.9459 -40.5566 | -0.496712 -1.04947 | 997.525 -1364.77
-16.593 -40.2014 | -0.836028 -0.408223 | -2827.18 436.723
-16.2378 -39.8506 | -1.9397 -1.10934 | -3790.76 1507.22
-15.8819 -39.5023 | -2.70677 -1.17663 | 1614.87 -1544.02
-15.5158 -39.1643 | -2.17818 -1.3817 | 4208.67 1511.61
-15.136 -38.8371 | -1.95578 -2.61642 | -3842.12 5374.91
-14.7475 -38.5194 | -2.25649 -1.42639 | 315.737 -2596.84
-14.339 -38.2296 | -2.94598 -1.42425 | 2068.18 -3796.41
-13.9057 -37.9795 | -1.94291 -3.24613 | -1182.72 -384.211
-13.4539 -37.7667 | -1.25666 -2.49731 | -1706.18 1341.6
-12.9887 -37.588 | -3.04367 -0.670626 | -2560.9 2580.12
-12.5123 -37.446 | -2.84709 -1.18618 | 4223.83 -7295.62
-12.0224 -37.3541 | -1.36793 -1.66342 | -768.507 1830.66
-11.5285 -37.2934 | -0.334435 1.64107 | -7996.09 5924.43
-11.0382 -37.2508 | 0.436379 0.0264473 | -2460.72 -5081.04
-10.5489 -37.2378 | -1.26996 -2.6293 | 878.655 2869.52
-10.059 -37.2439 | -1.0574 -0.8003 | 3214.76 4907.17
-9.56773 -37.268 | 0.830442 1.99227 | -1542.79 -3618.29
-9.08026 -37.3271 | 2.43707 0.657913 | -1471.76 346.054
-8.59895 -37.4205 | 3.819 -3.2736 | 3082.25 -655.659
-8.1222 -37.5454 | 3.82195 -5.76458 | 3205.93 -3531.62
-7.64946 -37.6966 | 3.14241 -7.69326 | 2096.57 2853.13
-7.17837 -37.8574 | 1.34911 -6.90934 | -120.402 -168.557
-6.70885 -38.0242 | 0.722742 -2.99437 | 718.416 -2038.33
-6.23829 -38.193 | 2.24552 -0.776534 | 4994.21 -3135.93
-5.76064 -38.3543 | 1.73411 -1.45886 | 2521.89 3515.47
-5.27455 -38.4909 | 1.63973 0.669461 | -4738.67 4330.79
-4.78634 -38.6001 | 0.919576 0.68406 | -8564.28 230.233
-4.30137 -38.6921 | -0.0936016 -0.408663 | -1208.59 3180.21
-3.81639 -38.7733 | -0.573486 -0.55517 | 4748.62 -5983.29
-3.32954 -38.8624 | -2.39585 1.22837 | -2066.2 -4719.6
-2.84403 -38.9567 | -1.92705 1.76991 | -2512 4422.59
-2.3575 -39.0344 | 0.633216 -2.25606 | 1312.57 -3391.89
-1.86673 -39.0913 | 2.69355 -3.48479 | 3851.44 -39.4318
-1.37004 -39.1113 | 3.06498 -2.8014 | 2898.01 6126.52
-0.871359 -39.0813 | 1.19976 -4.76842 | -54.9494 -3237.47


-38.7719 68.2909 | 0.852795 2.73355 | -7398.92 144.956
-38.2863 68.2078 | -0.955611 0.658033 | -443.332 -1815.61
-37.7962 68.1565 | -0.995406 0.868026 | 2767.21 1994.42
-37.3018 68.1477 | -0.130885 1.39843 | 566.27 -544.671
-36.8077 68.181 | 1.19655 1.74489 | -1334.72 263.065
-36.3189 68.2554 | 1.4582 1.71624 | 67.7759 -1287.34
-35.8369 68.3662 | 1.08877 1.49285 | 861.46 179.653
-35.3628 68.5113 | 2.04682 0.234667 | 2567.4 7555.16
-34.895 68.688 | 1.5484 0.783769 | 8833.88 -3662.32
-34.4235 68.8685 | 0.608405 1.99261 | -783.365 -7607.36
-33.9533 69.0465 | 1.40105 -0.197535 | -7540.27 1535.53
-33.4949 69.2414 | 2.16645 -2.37404 | -408.753 -805.119
-33.0475 69.4586 | 1.33685 -1.49035 | 5367.75 -1286.89
-32.6123 69.7042 | -0.374387 0.580965 | -842.372 4911.29
-32.2036 69.9932 | 0.505679 0.239943 | -4826.39 -505.115
-31.8292 70.3214 | 0.193353 0.122301 | -1960.59 694.212
-31.4847 70.6803 | -1.68674 0.363905 | 2295.03 2379.5
-31.1574 71.0574 | -1.24869 1.36073 | 1461.42 -4475.6
-30.8369 71.4368 | 0.0662426 2.10874 | -7524.39 -7182.7
-30.5253 71.8127 | 0.477856 1.32557 | -7084.83 -4427.33
-30.2161 72.182 | 1.26714 -1.02461 | 1978.67 1194.89
-29.8914 72.5396 | 2.18672 -2.49252 | 6932.45 4460.97
-29.5405 72.8806 | 1.84499 0.04957 | 3959.96 2072.9
-29.1659 73.2021 | 0.574014 2.63152 | -659.02 3464.07
-28.7751 73.5067 | -0.438706 3.55457 | -1042.21 -24.0163
-28.3683 73.7885 | -0.522433 4.47822 | -3175.18 -591.078
-27.9452 74.0411 | 1.21677 3.28668 | 1318.62 -643.355
-27.502 74.2575 | 3.64705 0.858549 | 834.256 2983.85
-27.0404 74.4361 | 4.6633 -0.457482 | 2309.08 -1288.85
-26.5615 74.568 | 3.64163 0.458665 | 3281.26 -2519.48
-26.0698 74.6544 | 2.81258 0.368994 | -259.126 3432.79
-25.5728 74.7103 | 1.68484 -0.202393 | 2239.84 3324.64
-25.0715 74.7386 | 0.566883 0.594612 | 435.643 -4307.31
-24.5692 74.7302 | 0.15398 -0.134256 | -1553.85 1566.23
-24.0694 74.6934 | -0.52664 -0.66746 | -1705.33 1213.84
-23.5738 74.6308 | -0.940342 -1.6836 | -1589.33 93.105
-23.0837 74.5415 | -1.12255 -1.57096 | 817.045 1739.89
-22.599 74.4256 | -1.4167 -0.160271 | 264.966 -3642.6
-22.1222 74.2771 | -2.46051 -1.35593 | 1594.75 375.134
-21.6523 74.104 | -3.71028 -2.25878 | 3360.09 3463.9
-21.1888 73.9112 | -2.70859 0.775814 | -1232.8 -782.051
-20.7397 73.6883 | -1.53747 2.76948 | -4145.91 -6028.52
-20.3109 73.4293 | -1.26339 2.20844 | 1080.15 -791.235
-19.892 73.1521 | -0.918798 3.88717 | 3598.56 2673.63
-19.4717 72.8745 | -1.05112 6.70747 | 2961.61 1921.6
-19.0481 72.6003 | -1.21609 5.34553 | -2745.77 -451.6
-18.628 72.324 | -1.41511 2.53174 | -5409.72 -1482.48
-18.2134 72.0452 | -1.12525 2.4488 | 1613.45 6294.65
-17.7953 71.7765 | -0.509059 3.11157 | -3915.45 2240.72
-17.3804 71.5106 | 0.524894 2.477 | -7218.15 -3166.71
-16.9731 71.2393 | 2.01603 -0.874448 | 1055.76 288.288
-16.5604 70.9752 | 3.22502 -2.52983 | 4063.77 -3247.25
-16.1326 70.7281 | 3.40505 -0.671668 | 3337.32 -948.165
-15.6851 70.512 | 3.50331 1.10078 | -864.919 -396.183
-15.2194 70.3382 | 2.87282 0.826032 | 2888.9 -85.3385
-14.7346 70.218 | 3.03477 -0.234144 | 5342.54 4086.42
-14.2349 70.159 | 2.86893 -0.549234 | 1507.57 -764.599
-13.7302 70.1491 | 0.676923 2.60796 | -4160.24 -2630.16
-13.229 70.1789 | -0.935253 3.93941 | -2799.68 5129.47
-12.7333 70.249 | -0.81948 1.25524 | 4608.17 -548.521
-12.2375 70.3396 | -0.535644 1.6388 | 5067.81 -3642.38
-11.7393 70.4352 | -0.802454 4.56759 | -1236.69 -959.102
-11.2426 70.5374 | -1.91466 6.08878 | 560.78 472.869
-10.7479 70.6505 | -3.34071 8.35858 | -1516.97 4580.55
-10.257 70.7777 | -3.49513 8.61237 | -271.323 -1750.04
-9.76691 70.9038 | -1.33929 6.37352 | -586.759 -7510.69
-9.27633 71.0196 | -0.953382 6.69664 | -4584.39 1795.54
-8.79018 71.1428 | -2.07406 6.3227 | 2812.05 4802.38
-8.30559 71.2817 | -1.8976 2.58648 | 2698.41 1314.38
-7.82087 71.4284 | -1.21209 1.95152 | -1145.09 -703.756
-7.33602 71.5724 | -0.0494215 2.37408 | -98.6452 -1262.96
-6.84892 71.7055 | -0.402476 1.77325 | -3123.87 -3656.55
-6.3605 71.823 | -1.79439 1.82088 | 1417.96 -911.083
-5.86934 71.9319 | -1.27588 -0.11696 | 2873.61 6044.19
-5.37611 72.0438 | -0.449017 -0.756518 | -2251.98 1006.35
-4.88247 72.1486 | -0.308919 2.15883 | -1772.37 -2282.24
-4.38644 72.2316 | 0.741353 2.80013 | -506.765 -606.615
-3.88685 72.2852 | 2.00239 0.911206 | 2038.67 -346.854
-3.38319 72.3039 | 2.22993 2.0289 | 3037.91 -3280.31
-2.87776 72.2835 | 1.4338 3.61294 | -4133.01 3303.52
-2.37754 72.2323 | 0.785978 4.07865 | -2275.72 3095.79
-1.88475 72.1463 | 0.441263 3.85111 | -1952.81 -6290.42
-1.40425 72.0111 | 0.457621 4.25755 | -1433.94 2382.32
-0.93734 71.8392 | 1.89472 6.3734 | -415.421 2938.39
-0.484006 71.6365 | 2.91689 7.54975 | 735.315 -2407.56
-0.0455326 71.4 | 1.4797 4.62762 | 5623.9 -110.398
0.380474 71.134 | 0.497951 3.618 | 762.285 -5042.49
0.788194 70.8359 | 0.384581 2.44854 | -1754.55 542.082
1.17843 70.5166 | 1.19997 1.39844 | -933.855 1733.66
1.55729 70.1857 | 1.58056 3.00156 | 2211.64 357.181
1.93162 69.8482 | -0.128838 3.42833 | 4648.65 2059.02
2.30255 69.5052 | -1.44056 2.35933 | -2176.1 -0.65259
2.65607 69.1461 | 0.467823 2.6518 | -5736.84 -1484.47
