-18.5766 73.4786 | 0.897395 -2.88977 | 6265.11 908.392
-18.0854 73.5653 | 2.99244 -2.44108 | -3144.27 -3253.25
-17.6057 73.6954 | 4.73589 1.6024 | -2979.52 3646.84
-17.1411 73.8691 | 3.7868 3.36749 | 3935.17 126.304
-16.6846 74.0696 | 1.68433 1.47508 | 3134.25 -5104
-16.2326 74.2833 | 0.31277 1.49806 | 3671.69 1133.32
-15.7891 74.5186 | -0.23435 1.25909 | -6569.38 3074.78
-15.3655 74.7822 | -0.567207 1.83648 | -3617.3 -6709.22
-14.9579 75.0612 | -1.88591 3.20873 | 3974.86 -2671.13
-14.563 75.3583 | -0.902019 0.211397 | -4785.71 6438.5
-14.1925 75.6863 | 2.23985 -0.313401 | 2091.71 1377.42
-13.8357 76.0319 | 2.01711 1.41168 | 4674.31 -4505.89
-13.4824 76.3822 | -0.440088 2.16425 | -346.477 3012.39
-13.1384 76.7442 | 0.122428 1.79731 | 4286.43 605.377
-12.803 77.1175 | 0.259442 1.70101 | -1403.08 2365.9
-12.4851 77.5071 | -1.28506 2.16834 | -2803.27 1903.85
-12.1861 77.9117 | -2.41062 1.08606 | 304.288 2848.36
-11.8953 78.3241 | -3.29884 -0.602616 | 153.025 -3564.79
-11.5999 78.731 | -1.65684 -1.14742 | -254.934 -2363.33
-11.2922 79.1275 | -1.61104 0.654047 | 5556.14 2559.47
-10.966 79.5141 | -3.09577 2.08211 | 2615.02 4368.27
-10.6274 79.8928 | -3.3353 0.394269 | -10339.9 -8913.9
-10.2865 80.2558 | -4.39229 -1.01501 | -11028.9 -6156.27
-9.94035 80.6013 | -2.97919 -0.727638 | 6765.75 7471.94
-9.56751 80.9266 | -1.68662 -1.36434 | 8529.83 -2389.53
-9.16018 81.2142 | -3.27116 -0.506049 | -6710.4 -1160.26
-8.73486 81.4676 | -3.8266 -0.098256 | -2805.21 -231.175
-8.29359 81.6892 | -1.82217 -3.55397 | 7466.87 5012.15
-7.83217 81.8818 | -1.11759 -5.21364 | 3580.07 1251.7
-7.35452 82.0395 | -2.64234 -0.942126 | -4494.87 -1518.66
-6.86835 82.1564 | -1.80779 0.803293 | -928.371 -3773.25
-6.3754 82.2299 | -0.834884 0.93069 | -698.915 2984.41
-5.87927 82.2726 | -1.59514 0.201435 | -432.34 -834.28
-5.38159 82.2857 | -3.53795 -2.51098 | 2324.91 -1086.55
-4.8822 82.2749 | -3.08694 -3.0456 | 947.978 144.735
-4.38259 82.2511 | -0.672847 -2.1481 | -1331.09 2980.99
-3.8844 82.2248 | 0.181511 -0.146015 | -3326.26 -952.735
-3.38885 82.1955 | 0.357254 1.92482 | -776.248 -1903.32
-2.89385 82.1671 | 1.34991 2.47782 | 3198.63 2112.07
-2.39648 82.1515 | 0.905703 1.96158 | -647.988 -2761.67
-1.89966 82.1517 | 0.734147 1.65251 | -4392.71 5107.74
-1.40731 82.1811 | 0.854657 -0.953889 | -5900.6 -1708.22
-0.920751 82.2315 | 1.12097 -2.446 | 2667.82 80.903
-0.434171 82.298 | 1.54544 -3.96386 | 6444.4 -3094.05
0.0554974 82.3755 | 0.208163 -3.51982 | 1652.11 2431
0.543806 82.4731 | -1.1196 -1.04431 | 261.245 1905.81
1.028 82.5905 | -1.41455 -0.468073 | -5019.08 -4006.09
1.50582 82.7194 | -1.66312 0.631793 | 4501.57 -2003.09
1.98267 82.8637 | -0.0510314 2.22965 | 11434 2277.91
2.45772 83.0383 | 1.6478 -0.687089 | -3665.39 3562.89
2.91229 83.2579 | 2.80176 -3.80127 | -9211.19 -234.98
3.33599 83.5208 | 2.33084 -3.1848 | -1779.26 -6637.15
3.73422 83.8139 | 0.561247 -0.0568274 | 1325.34 1865.35
4.10709 84.1405 | 0.65502 0.918444 | 2103.49 2762.05
4.45452 84.4982 | 1.05508 -0.509964 | 1351.31 2202.6
