43.7576 -66.2599 | -0.460086 -0.0663499 | -55.0769 30.2906
-4.61843 91.9166 | 0.418697 0.0564502 | -1.00044e-11 0
16.8237 -55.9542 | 0.329921 0.366133 | -5.45697e-12 -2.72848e-12
49.0656 -61.5497 | -0.0592246 0.356683 | 1.09139e-11 5.00222e-12
-69.021 57.5559 | 0.0436102 -0.751452 | 58.1154 -142.861
-14.9014 -7.29834 | 0.470325 0.0816244 | -74.2934 -757.667
-3.04174 -62.6415 | 0.108063 -0.272541 | -2.72848e-12 6.36646e-12
-33.5569 -83.8968 | 0.653749 -0.397756 | 0 -2.72848e-12
-65.2919 -35.7576 | 0.149952 0.153051 | 97.0463 -54.8473
68.0449 -39.2902 | 0.16552 -0.0590572 | 160.585 -195.09
4.65427 -9.84285 | 0.185836 -0.174036 | 196.787 735.095
-51.0976 -61.9087 | -0.269594 0.336181 | -203.626 918.415
69.5107 56.7975 | 0.499882 -0.19947 | 1.27329e-11 5.45697e-12
-37.3887 52.3685 | 0.721973 -0.124768 | 162.289 -256.064
-58.6409 35.329 | 0.179943 -1.17044 | 265.711 -314.919
66.1858 8.13995 | -0.857598 -0.480086 | 218.876 1245.4
-31.276 -79.0233 | 0.74923 -0.220732 | -6.59384e-12 -5.00222e-12
62.3869 -34.0805 | 0.164707 -0.339876 | -164.508 221.346
63.544 -9.38138 | 0.434631 0.625774 | 2.72848e-12 7.27596e-12
-76.2598 -3.22567 | 0.142253 -0.149683 | 634.133 -625.46
-11.6646 -93.508 | 0.028647 -0.695726 | -3.34999 -3.43786
43.5422 9.65609 | -0.375034 -0.110421 | -1.99618 -5.1592
-7.25932 -82.2096 | -0.0270594 0.0392777 | 3309.67 860.679
39.2059 84.3192 | -0.533105 -0.197994 | -95.1288 1790.75
6.80563 39.3386 | -0.549491 0.457894 | -4.54747e-12 -3.58114e-12
-10.9701 -23.2577 | 0.579992 0.490956 | 144.275 -324.121
59.2194 46.9819 | 0.0945444 -0.306132 | 4.1387 100.996
59.9062 -46.0002 | 0.447678 0.199903 | 84.1534 -167.186
-40.9006 56.8223 | -0.195406 0.0273001 | -162.949 252.293
-46.4863 -61.24 | 0.185526 0.487559 | 1052.47 -732.391
-59.8942 -18.6255 | -0.308539 -0.0396199 | 1.13687e-11 9.32232e-12
51.9855 -63.0833 | 0.0103153 -0.271054 | -807.089 991.759
56.5753 -27.4412 | -0.461417 -0.263412 | 495.388 2996.44
55.8686 -52.1327 | -0.0893967 0.0912434 | -35.9819 -191.269
-90.9879 8.34599 | -0.880893 -0.871136 | -451.533 320.348
27.6891 -88.3378 | -0.0919602 1.14833 | 441.322 -2514.28
72.9293 -43.1278 | -0.298906 -0.0555064 | 35.9819 191.269
60.3536 8.78185 | 0.0415943 -0.970186 | 428.294 -755.586
-66.7761 -44.525 | 0.120338 0.573182 | -4.52977 193.584
-78.7687 45.0564 | 0.384877 -0.501426 | -2.77396e-11 2.72848e-12
30.28 -86.5641 | 0.147631 0.426594 | -507.383 2316.04
-71.4995 43.5725 | 0.416783 -0.239147 | -61.997 117.698
12.7083 -45.5787 | 0.201529 0.499963 | -10.9793 -25.3381
-11.9644 -28.1477 | 0.158067 -0.0687691 | -604.616 -824.219
51.436 40.0696 | 0.309655 -0.837373 | -9.09495e-12 -2.72848e-12
-14.0966 79.6478 | 0.187283 -0.636535 | -732.731 -963.036
