-9.12674 14.319 | 1.05818 -0.40419 | -1320.17 -1379.77
-61.9126 -5.99864 | -0.118647 -0.245478 | 1176.26 -2070.36
-6.40893 58.538 | -0.132601 -0.720926 | -4.09273e-12 -7.27596e-12
77.5326 18.0613 | 0.725511 0.478047 | -1671.93 -1469.91
44.1343 29.373 | 0.0667262 0.356025 | 2640.07 1804.69
-31.894 67.8412 | -0.543846 -0.278019 | -354.371 -522.111
-55.168 40.2279 | -0.180742 -0.394346 | 2.04636e-12 4.09273e-12
-52.5919 42.7548 | -0.146327 -0.657832 | -1.81899e-12 2.72848e-12
75.4662 57.1067 | 0.385899 -0.697141 | 19.2234 15.0894
65.0145 -44.7 | 0.599175 0.619641 | 16.4686 38.6514
-55.9052 74.372 | 0.0340456 -0.653786 | 4.09273e-12 4.54747e-12
81.2839 27.5496 | 0.296329 0.381431 | 3475.38 2386.05
4.06146 -53.6458 | 0.111729 0.689923 | -2.27374e-12 -7.27596e-12
6.48179 92.4222 | 0.232451 -0.514107 | -288.349 481.627
1.61939 20.9154 | -0.67535 -0.393086 | -427.966 694.746
27.8112 -69.1345 | -0.236861 0.143045 | -1.36424e-11 4.54747e-12
53.8614 41.9583 | 0.17702 -0.443565 | 4.54747e-12 4.3201e-12
68.9263 -37.2213 | 0.962445 0.0463317 | 1.75078e-11 7.27596e-12
-4.92518 96.8811 | 0.632166 -0.162677 | -1.09139e-11 1.27329e-11
79.2374 -4.76561 | -0.0900155 -0.190805 | 247.506 -389.893
24.2799 -67.7401 | -0.869584 -0.136259 | -3.63798e-12 -1.81899e-12
59.1996 33.584 | -0.0126277 -0.318478 | -2.72848e-12 1.00044e-11
55.7033 3.75513 | -0.315142 -0.801413 | 1098.03 -1548.02
-52.7934 -30.0558 | -0.217574 0.319423 | 6.36646e-12 -2.04636e-12
40.2177 27.3194 | -0.100278 0.318804 | 51.6465 660.178
-70.3701 -1.06544 | 0.153393 0.780321 | 49.051 -353.558
-19.6497 90.4425 | -0.203437 0.601114 | -1.18234e-11 6.36646e-12
-2.37969 18.286 | -0.4492 -0.586936 | 428.821 -697.917
69.0428 -45.7473 | 0.379477 0.900153 | 5.83525 10.6921
-52.3675 72.0325 | -0.843845 -0.191399 | -113.925 75.9836
58.6401 -3.49448 | 0.404349 0.523854 | -879.108 1119.49
-16.2459 75.2217 | -0.116869 0.0115299 | 354.371 522.111
-61.5357 45.6589 | -0.112137 -0.415242 | 1731.84 -1343.51
36.1928 63.0141 | -0.507673 -0.331155 | 261.007 -587.563
-39.5806 57.8735 | 0.161628 -0.604862 | 1.33582e-11 -3.63798e-12
-8.17409 6.0999 | 0.784573 -0.5591 | 4.54747e-13 -5.00222e-12
26.7852 -18.7912 | 0.149832 -0.00346708 | -2.72848e-12 8.6402e-12
31.857 85.1213 | -0.255848 1.11461 | 39.12 -1087.81
12.8551 67.5927 | -0.34792 -0.138865 | 198.953 326.89
7.1831 -46.0526 | -0.16273 0.636815 | -9.54969e-12 1.81899e-12
-44.7877 61.9236 | 0.176554 -0.39912 | -7.27596e-12 -9.09495e-13
-71.8808 15.2228 | 0.541498 0.234208 | 1.45519e-11 3.63798e-12
-24.9838 -85.2295 | 0.179983 0.577999 | -2.54659e-11 -7.95808e-12
-36.1951 -81.6199 | 0.0788703 0.293287 | -1449 -2006.23
34.2316 60.1585 | 0.707877 -0.0529237 | -5.91172e-12 6.36646e-12
-2.27006 -96.2709 | 0.118951 -0.738347 | 1.77351e-11 -9.09495e-12
10.2097 70.8643 | -0.176625 -0.0242689 | -68.606 -514.146
-60.8762 21.495 | 0.501408 -0.060605 | -378.81 2001.97
-74.7497 19.5668 | 0.328196 -0.0323022 | 380.835 -895.287
59.9976 40.1415 | -0.139787 -0.298556 | 7.27596e-12 -8.69704e-12
64.0978 -17.9373 | -0.0418059 -0.168148 | 656.29 385.481
35.2182 -69.9122 | 0.205241 0.43226 | 7.27187 48.9783
-64.8814 32.3838 | -0.325939 -0.278934 | -314.097 -830.616
-62.4781 34.7888 | 0.00792184 -0.932563 | 314.097 830.616
-8.09775 -57.8591 | 0.296458 0.826396 | 3.63798e-12 5.45697e-12
55.5649 -68.3846 | 0.1845 0.769968 | 1445.1 -601.754
-81.242 -38.3854 | 0.0987155 0.260175 | -7.27596e-12 -1.63709e-11
76.1353 -20.5444 | 0.00924577 0.582504 | 7.7307e-12 1.81899e-12
4.63918 -51.3174 | 0.195241 0.478236 | 85.8334 -147.292
82.0818 45.1791 | 0.0735288 -0.504762 | 5170.08 505.043
-54.9775 3.53123 | 0.575703 0.472988 | -51.4619 313.912
11.9898 25.598 | -0.0129088 0.150709 | 126.066 -282.225
-59.0199 66.0994 | -0.864524 -0.270763 | 1.81899e-11 1.81899e-12
-78.7302 -21.5679 | 0.215175 1.21353 | 772.362 770.428
-55.4694 -24.6711 | 0.266882 -0.490766 | 3.63798e-12 9.09495e-12
-45.4818 -17.129 | -0.231499 -0.312104 | -94.5138 -68.2437
-1.71614 -21.2165 | -0.482347 0.423992 | 1909.59 4922.12
79.1485 -15.4521 | -0.614153 0.992901 | -666.49 -1565.04
-65.9383 -63.063 | 0.141205 -0.338407 | 1.81899e-12 2.72848e-12
72.3099 -4.21293 | 0.272205 -0.92627 | -247.506 389.893
-53.6906 49.7107 | 0.0219741 0.0795721 | -1701.06 1415.08
69.707 52.8077 | 0.250284 0.326065 | -1.09139e-11 2.72848e-12
40.721 -79.6392 | 0.106581 -0.0628984 | 344.009 -1224.16
-18.354 -87.5485 | 0.19384 0.0247272 | 7.27596e-12 2.00089e-11
-55.9822 -70.5315 | -0.431192 -0.139308 | 1.09139e-11 3.63798e-12
-74.6121 26.7612 | 0.0187931 -0.0781847 | 4.54747e-12 -5.45697e-12
