-84.8529 -7.45659 | -1.73719 -0.277491 | -624.812 963.448
-23.0084 92.0171 | 0.82391 1.33815 | 640.962 -119.869
-14.327 8.81605 | -0.0684749 0.161553 | -1622.6 -2661.34
64.2017 -54.4729 | -0.153261 -0.505098 | 718.656 -556.924
-39.8868 77.5779 | -0.0426265 0.37335 | 1.64846e-12 -5.00222e-12
80.2953 -4.79072 | -1.14375 -1.10992 | -2903.95 492.302
-14.626 61.9985 | -0.473762 1.68447 | 5.00222e-12 -4.14957e-12
-69.8654 48.1197 | -0.115039 0.0971258 | -11.7515 -77.7812
32.7233 36.5471 | 0.12753 0.904798 | 174.809 -376.077
-46.1867 53.0163 | 1.00416 2.12943 | -2109.22 -2174.09
-19.8016 -0.423785 | 1.21604 0.143174 | -2033.28 5068.02
34.3213 -11.3054 | -0.11459 0.265972 | 8087.23 -1592.74
39.967 80.7018 | 0.44072 2.66551 | -69.6527 -119.023
12.571 42.7583 | -0.0697775 0.00247718 | -62.2174 -168.979
2.35123 -29.5927 | 0.341591 -0.734753 | -725.186 -146.787
-44.3926 58.8718 | 0.0889528 2.34699 | 7.95808e-13 1.13687e-12
-74.7445 12.2555 | -1.42062 0.322144 | -3509.58 1002.16
-25.2586 -84.8676 | 0.919556 0.886114 | -5584.22 -861.133
-33.6311 -82.6409 | 1.08875 -0.840511 | 459.672 -4574.7
31.3657 34.0623 | -0.390343 0.602972 | -45.9945 3220.1
-4.64466 -96.1851 | -0.0987203 -0.0324174 | 2.54659e-11 3.63798e-12
3.48181 51.228 | 0.123622 1.47284 | 374.598 -7765.6
-64.1719 16.7782 | -1.86318 0.337877 | 1573.96 4503.14
-80.2208 16.3489 | -0.45271 -0.148036 | 343.422 2540.08
61.742 32.5482 | 1.64616 0.796929 | -4694.67 -8320.02
64.3767 -25.9187 | 3.00921 -0.279531 | -100.468 135.721
28.5185 -63.8951 | -0.86734 -1.25769 | -64.1348 -260.683
-73.6582 31.7943 | 0.137932 1.14755 | 47.1485 154.686
-71.04 37.7364 | -1.67025 0.526469 | 8.34369 -20.6859
-8.1665 -39.8007 | -1.07151 0.259524 | 409.838 335.015
46.8796 -75.5131 | -1.63369 -0.44862 | 11.0533 -25.4942
-76.4144 -45.1611 | -0.818336 -0.745634 | -4664.21 -2197.32
77.114 -26.4675 | 0.159071 0.0479706 | 963.604 -5333.78
0.137597 -34.7132 | 0.128104 -0.0701449 | 392.667 -2081
65.2154 56.8633 | 0.193877 0.422345 | -3.85647e-12 -1.81899e-12
-72.0004 -2.67908 | 0.408861 -0.198482 | -682.011 1009.06
-4.13813 18.526 | 1.19142 1.08285 | -1051.59 -2755.78
-53.9287 71.6961 | 0.723444 -0.749413 | -493.826 1398.94
-69.5804 -31.267 | -1.24712 -0.164648 | 1263.69 1589.47
-73.7586 -23.8642 | -0.491878 0.355304 | 1241.94 -2561.42
-51.7098 -13.3862 | 0.0616614 -0.18933 | 459.23 -2837.3
6.6675 -8.60693 | 0.477664 -1.13359 | -3400.29 2090.56
82.3148 -22.7272 | -0.15089 0.265771 | -863.136 5198.05
-57.0944 -70.053 | -0.165588 -2.44293 | -7.27596e-12 -9.09495e-13
68.7654 -10.5557 | 0.680976 -0.786462 | 1960.33 -1961.61
-61.8124 49.9574 | 0.470251 0.223928 | -446.105 -657.921
54.745 50.76 | 1.18308 1.57522 | -2155.72 -4174.17
31.6826 -79.8339 | 0.60185 -1.7485 | 556.913 433.015
-20.9259 -85.7899 | 0.478744 -0.146747 | 3895.47 -2929.03
-43.8839 -73.8592 | 0.612277 -1.67638 | -7.50333e-12 -5.68434e-12
-79.4257 22.1424 | -0.672116 0.486658 | -503.614 3623.87
