67.1053 -7.62411 | 0.090832 -0.550574 | 11.985 91.9856
-73.5124 -8.4963 | -0.107464 0.344845 | -13.8723 7.04167
-12.9459 -93.4461 | 0.280941 0.41856 | -90.6735 -101.737
39.1061 11.3311 | 0.0560264 0.955431 | 366.434 -1146.24
-2.55487 -75.6984 | -0.151048 -0.23398 | -10.4238 -37.8934
44.2971 82.062 | 0.46949 -0.334818 | -2285.39 -2846.78
0.449036 40.6106 | 0.275806 -0.178308 | 101.043 -104.568
-6.08426 -18.0585 | 0.705274 0.189923 | -1.31877e-11 3.63798e-12
63.579 41.3054 | 0.251184 -0.213657 | -417.298 56.3394
63.0368 -46.7531 | -0.458375 -0.064673 | 24.9572 -35.6815
-41.682 50.9736 | 0.025399 0.0305685 | 272.115 1777.49
-42.4516 -57.4992 | -0.308471 -0.150547 | 166.242 384.36
-55.3338 -20.8246 | -0.451699 0.17652 | -278.579 861.927
52.4248 -63.2892 | -0.154495 0.0561604 | -4.95805 -4.62646
66.4862 -25.2035 | 0.0226078 -0.135656 | -235.492 319.001
57.0452 -51.741 | 0.512191 0.0799817 | -204.422 655.874
-93.7409 5.28023 | -0.128871 -0.225767 | -652.484 -393.267
27.4235 -87.4674 | -0.144215 -0.135403 | 97.486 295.775
76.1999 -47.2166 | -0.0191852 0.473143 | 4.37694e-12 0
55.6482 8.19026 | 0.325409 -0.117982 | -78.3605 86.9713
-65.4881 -42.498 | 0.0689661 0.102995 | -1171.65 -3338.19
-79.5221 42.5458 | -0.276475 0.00211846 | -544.456 257.175
30.3074 -84.7329 | -0.0224378 -0.251589 | -2.30384 3.99042
-74.9221 40.1426 | -0.421293 0.356051 | -3.41061e-12 -1.93268e-12
16.4114 -38.39 | 0.0591356 0.175307 | -182.778 524.702
-12.2597 -24.4988 | 0.883416 0.0417413 | 5.45697e-12 -1.18234e-11
49.0702 37.1685 | -0.217055 -0.897155 | -62.3352 316.992
-7.0455 77.423 | 0.313134 0.197182 | -1652.87 -1941.22
-24.0915 -58.6579 | 0.0912072 1.28914 | 18.6208 -298.721
-56.6988 -46.9777 | 0.629726 -0.0750312 | -14.7045 -86.6994
57.609 -72.0895 | -0.442754 0.147563 | -70.1565 -283.449
44.8053 22.4038 | -0.387639 0.466799 | 242.13 -1491.98
-52.7527 -48.7181 | 0.1648 -0.416141 | -1.09139e-11 -1.81899e-12
18.0794 52.0093 | 0.449141 -0.320072 | 49.3658 -35.6531
-28.5191 27.9765 | 0.103984 -0.416433 | 296.8 -418.366
55.1573 66.6497 | -0.0947914 -0.406596 | 4.18368e-11 0
62.9737 31.0297 | -0.337904 0.388997 | 548.757 100.336
14.258 16.2353 | 0.318896 -0.132414 | 1299.95 -2604.72
