40.1966 -68.7999 | -0.496856 -0.899213 | -1.13687e-13 8.98126e-12
-14.9033 90.8289 | 0.1207 -0.149915 | 109.486 799.028
14.4102 -53.7964 | 0.795074 -0.660787 | 1.02318e-11 -5.45697e-12
45.5433 -64.8965 | 0.66431 0.098282 | -146.329 166.985
-66.6302 65.7237 | -0.00993243 -0.319869 | -1534.88 128.818
-16.2108 -5.38793 | -0.423921 -0.667513 | 2.36615 -16.7217
0.645789 -62.4511 | -0.166906 -0.925206 | -2467.11 -3210.39
-27.9864 -82.7825 | 0.164356 0.169036 | -47.677 89.0236
-63.645 -33.586 | 0.368757 -0.274916 | 4.09273e-12 6.82121e-13
66.754 -44.538 | -0.57735 -0.556834 | -6.04367 21.5758
5.02746 -3.01898 | -0.25508 -0.441923 | -6.86454 23.6618
-54.4145 -57.6741 | 0.539634 -0.0938557 | 15.7284 169.873
54.349 70.5151 | -0.504948 -0.661864 | 6.36646e-12 0
-33.6068 58.0572 | -0.364639 0.57795 | 664.099 -1513.62
-58.5339 47.2282 | 0.242463 -0.207389 | -343.175 458.773
86.615 6.65692 | -0.312878 0.100703 | 39.1706 51.9434
-22.8995 -77.1397 | -0.055369 -1.63902 | 21.0993 -38.6236
62.9891 -38.3779 | -0.144471 0.359354 | 317.092 -1274.1
72.5578 -8.23378 | -0.0696252 0.499882 | -203.56 750.531
-68.9959 5.37174 | -0.128713 1.17137 | -52.7442 190.832
-10.3885 -94.3814 | -0.0923337 0.301576 | 37.3581 573.065
63.8414 21.3593 | -0.906816 0.749198 | -137.003 171.439
-1.20343 -79.872 | -0.0193386 0.501362 | 6.33186 -17.9549
22.774 87.0202 | 0.77308 0.0909103 | 11.3593 43.6274
4.0888 33.2388 | -0.296606 0.147508 | -30.4169 -46.9149
-12.057 -17.6322 | -0.467591 -0.63076 | 182.195 -522.942
47.6105 59.182 | 0.756874 -0.952811 | 149.444 794.084
58.109 -49.4326 | 0.00752397 0.18819 | 356.695 1152.81
-36.2983 62.1624 | 0.555429 -0.195337 | 1367.24 466.503
-57.6555 -62.3321 | 1.0437 -1.07321 | 52.8285 -226.994
-60.761 -19.5799 | 0.84849 0.015982 | 51.6555 120.779
48.0861 -66.5673 | -0.0096506 -0.732345 | 150.452 -221.167
63.1665 -26.6166 | 0.540104 -0.539972 | -160.076 -243.576
54.5381 -54.0778 | -0.200706 -0.640798 | -3.46745e-12 5.68434e-12
-87.1968 30.1208 | 0.295664 -0.145613 | 188.641 -81.6212
27.7325 -87.5952 | 1.09104 -0.080783 | -793.955 1480.9
74.187 -47.6264 | 0.194155 -0.322896 | -356.695 -1152.81
81.7703 14.4514 | -0.745368 0.251647 | -6.36646e-12 1.50067e-11
-60.6884 -43.3194 | 0.650417 -0.211236 | -3721.05 5985.08
-75.7385 55.5803 | 0.799635 0.16336 | 271.939 -1694.41
33.4686 -84.4847 | 0.44966 -0.938433 | 1006.9 -1821.3
-72.2274 54.3407 | -0.831783 0.431885 | 117.332 2068.64
14.0619 -38.0363 | 0.522048 -0.306787 | 4.54747e-12 7.27596e-12
-10.0786 -23.1569 | 0.0100923 -0.705473 | -423.786 -1451.82
46.5933 45.2036 | -0.5627 0.331854 | -1.36424e-12 8.18545e-12
-18.3108 75.2754 | -0.199515 0.0547409 | -3765.09 -277.499
-36.385 -65.87 | -0.218301 0.261046 | 37.0115 -126.925
-59.1456 -47.6493 | 0.812867 0.525062 | 5125.72 5264.7
52.6595 -76.3017 | -1.16086 -0.426796 | 1530.13 -6557.4
62.1167 28.8333 | -0.993939 -0.817425 | -45.7949 -1523.76
-53.8418 -50.3508 | 0.445698 -0.166809 | -8342.47 -5498.93
18.1821 48.6496 | -0.200004 0.193816 | -1293.71 -6178.98
-28.7398 25.6201 | 0.0248069 0.92609 | -40.7059 -1304.91
35.3893 78.7011 | -0.649318 0.0330208 | -119.598 795.486
61.8686 44.3546 | -0.316645 -0.138146 | -9.91258 74.9668
19.229 10.6002 | 0.238105 0.128811 | 110.94 -649.782
-58.7107 -53.5034 | -0.525373 0.0195493 | -1.81899e-12 -4.54747e-12
-77.5858 -10.2587 | 0.614651 -0.376886 | 465.323 -913.518
35.1195 -82.7675 | 0.882285 -1.25481 | -900.791 -1630.44
0.105855 -14.8353 | 0.104999 -0.452055 | 243.208 78.6338
67.8798 20.4748 | -0.602226 -0.39693 | 166.159 -58.1423
-7.7651 -1.07773 | 0.119891 -0.0744054 | 41.2999 -64.5073
73.5609 31.8752 | -1.33908 0.66895 | 269.016 2560.35
-49.8654 82.2453 | -0.492744 -0.174975 | -5.22959e-12 2.27374e-11
12.8543 -96.5213 | -0.410424 0.352309 | -127.213 -716.546
23.0289 80.2957 | 0.136391 0.174469 | -6.37769 -161.109
6.26445 23.3133 | 0.334455 0.329097 | 0 -5.14433e-12
-54.3349 -64.5645 | 1.44508 -0.917485 | -28.9718 163.286
-30.7846 -33.5155 | -0.262796 -0.705377 | 3.86763 -28.6645
83.9227 -5.50933 | -0.616182 -0.425269 | -1.45519e-11 -1.31877e-11
-62.1491 24.4344 | -0.53667 0.490899 | 102.751 -78.4895
58.4562 9.02509 | -0.674293 -0.0795654 | -4.17174 246.794
58.8707 -59.9993 | 0.320093 0.684492 | 24.9753 -31.3959
-66.4533 -17.1075 | 0.702691 -0.224789 | -67.862 -282.872
47.5212 51.0912 | -0.53339 -0.258661 | 1083.24 7378.07
-78.1389 27.2344 | 0.177972 -0.210827 | -389.787 116.634
