8.20808 86.9654 | 1.07809 0.118851 | -209.083 1172.71
18.8428 -51.5368 | 0.0841683 -0.0383806 | -1875.31 -2448.39
51.0076 -60.5144 | -0.289559 -0.450973 | -504.673 658.69
-69.3035 54.4149 | -0.103616 0.12161 | -2021.78 1900.94
-8.72625 -4.76278 | 0.325822 0.286808 | 342.327 740.738
-2.45363 -58.2511 | -0.270242 0.421178 | -59.3873 -33.0828
-28.7724 -82.7644 | 0.319345 -0.545077 | 6.13909e-12 5.00222e-12
-66.957 -33.4522 | -0.526638 0.343913 | -100.367 -1656.93
69.6018 -40.8307 | 0.651568 -0.257118 | -9.20421 -13.383
13.1891 -8.12038 | 0.29439 -0.275549 | -4.3201e-12 -9.09495e-13
-46.3483 -56.7291 | 0.220929 0.17097 | -293.235 -24.3432
66.5078 54.0211 | 0.240401 -0.0323801 | -3.28444 -13.2611
-37.1195 47.8734 | -0.247723 -0.217822 | 402.68 -393.913
-61.8715 30.3816 | -0.998083 0.608539 | 4.54747e-12 -3.29692e-12
63.144 7.02058 | -0.0931944 -0.248333 | 227.944 -238.01
-25.304 -76.2682 | -0.658788 0.350031 | -4.54747e-12 4.20641e-12
67.4765 -33.1318 | -0.320353 -0.239454 | -2109.83 2057.09
66.5631 -7.07635 | -0.113006 0.579883 | 2054.56 -1281.31
-74.4279 -7.94345 | 0.0325002 0.309787 | 1195.4 -687.705
-14.3018 -93.5649 | -0.160869 0.24418 | 187.23 933.255
38.1571 9.62771 | 0.196442 -0.315541 | 53.1453 -159.39
-1.44088 -76.8856 | -0.404742 0.105739 | -80.5273 158.996
42.8587 81.7717 | 0.0707646 0.158066 | 191.044 170.244
1.63511 40.9614 | -0.016981 -0.53791 | 19.4888 -110.201
-8.31743 -19.2107 | 0.504756 -0.183958 | 0.149701 -0.311071
61.1714 42.9833 | 0.676386 -0.274836 | -33.4828 -21.2151
63.8709 -46.3725 | 0.160351 -0.223364 | 2.04636e-12 -6.82121e-12
-39.812 51.8392 | -0.611586 -0.246388 | -1160.59 1026.33
-39.352 -59.3379 | 0.207234 -0.0369323 | 223.823 -110.826
-55.6857 -22.0232 | 0.825521 0.383096 | -207.797 -1108.08
52.9008 -62.6111 | 0.150841 -0.0416834 | 953.028 476.541
63.2629 -24.9995 | 1.48468 -0.14644 | 244.152 313.18
56.9724 -52.8815 | -0.344477 0.196725 | -1.81899e-12 -1.81899e-12
