60.915 69.3997 | -0.661238 0.25961 | -178.95 -99.9792
52.3346 62.3591 | 0.280482 0.318172 | -59.8494 1011.37
37.5871 -80.8743 | 0.126796 0.501573 | 555.801 1396.5
47.1817 53.7752 | 0.0319409 0.9771 | -4087.02 2259.78
-80.9126 -1.09358 | -0.309072 -0.0918023 | 2706.55 -2086.96
-46.2986 14.8946 | 0.0783822 -0.235382 | 625.571 1564.89
-60.2566 -53.6171 | 0.603372 -0.426119 | -5.00222e-12 -4.54747e-12
-60.2661 67.1392 | 0.482416 -0.780277 | -882.597 -2190.27
36.3039 80.2469 | -0.00746222 -0.549845 | 2047.66 -1460.33
-73.1005 45.9466 | 0.293089 -0.284328 | 4723.71 -8890.85
74.4564 -18.7743 | -0.362106 -0.753617 | -183.287 13.5834
38.8166 -8.60256 | 0.725304 0.0340765 | 3.63798e-12 2.72848e-12
-26.6722 27.9682 | -0.213729 1.10192 | -3.21165e-12 -1.08002e-12
4.50385 95.8747 | -0.166697 -0.0898125 | -1.45519e-11 1.00044e-11
-54.4272 -63.8118 | 0.498686 1.30871 | -934.713 -979.78
20.4906 -80.8339 | -0.344489 0.900625 | -457.078 -1609.55
40.3499 11.8468 | -0.399302 0.687798 | 1.53367 44.3335
17.4911 30.608 | 0.630959 0.180885 | 0 2.72848e-12
50.3314 64.2826 | -0.10238 0.0552953 | -6.96804 58.7029
35.1969 82.2939 | -0.706648 -0.472257 | -2881.54 4800.24
39.3675 -85.6387 | -0.46062 -1.09606 | 234.778 -357.436
13.692 -22.8036 | 0.590313 -0.309195 | -156.168 296.212
-33.8655 -3.14681 | 0.568886 -0.0454521 | -52.6883 769
84.1079 23.5027 | 1.33595 0.0183957 | -5.17825 -3.39383
-39.4882 -79.2523 | -1.66643 0.160934 | -1608.95 1295.78
-31.141 83.291 | 0.232138 -0.453206 | 386.6 535.28
-10.2746 -96.443 | 0.021501 0.198285 | 5.63887e-11 5.39444e-11
7.62 -39.4353 | 0.181988 -0.209824 | 4.77485e-12 1.59162e-12
-73.9788 -12.3782 | 0.429634 -0.576382 | 6229.33 -6632.78
-35.7352 0.711086 | -0.333002 0.202089 | -99.5369 382.016
-63.2272 -25.3812 | 0.928591 -0.942376 | -571.449 412.597
-80.747 -11.0832 | 0.0403312 -0.178502 | -6215.12 5545.9
-86.8728 26.6552 | -0.859674 -0.263214 | 923.223 2715.44
-4.8767 48.9933 | 0.0885222 -0.203851 | 5.91172e-12 0
84.4187 6.69288 | 0.0223427 0.199818 | -613.036 -1071.02
-67.9844 -63.2427 | 0.531059 0.807849 | 155.934 311.794
-16.0338 83.6805 | 0.350653 0.0403376 | 5.45697e-12 3.41061e-13
2.7086 -1.36883 | -0.665752 -0.167364 | 99.5369 -382.016
-74.0578 23.1987 | -0.490231 0.0454824 | 138.624 -1880.57
45.3363 43.5219 | 0.536928 1.05958 | 7.5175 -16.228
-38.2217 -84.2626 | -0.73012 0.0661348 | 1368.4 -1762.18
64.0242 49.3272 | 0.545002 0.298274 | -11.1651 34.5999
67.7095 -32.244 | -0.799608 -0.267485 | 140.307 683.578
-79.0935 15.4417 | 0.355419 0.0684828 | -1768.31 1410.87
77.4122 -0.368631 | -0.15903 -0.493205 | 5.45697e-12 4.54747e-13
