39.7827 -50.4071 | -0.36832 0.0355331 | -2803.45 3660.02
50.9262 12.8612 | -0.632689 0.12332 | -335.889 594.255
56.4108 67.908 | 0.129177 0.49315 | -1112.64 2895.03
50.5449 61.4688 | -0.0504108 0.153509 | -39.6745 -185.448
30.7002 -76.4648 | 0.242978 -0.458788 | 1.88045 -4.33773
57.9129 50.0249 | -0.0148202 -0.425889 | -1055.03 -1828.95
-63.2431 2.52103 | -0.230714 -0.0234925 | -203.329 -252.917
-36.6994 17.8027 | 0.683967 0.476567 | 0.896995 -1.61938
-45.4232 -39.9428 | 0.722296 -0.0746164 | -1.36424e-12 -6.36646e-12
-43.8194 53.9745 | 0.0782503 -0.0528855 | 14.5859 20.1384
21.5831 83.1673 | 0.31744 0.128317 | -1.27329e-11 -3.18323e-12
-74.3946 37.1306 | -0.319223 0.183835 | -151.116 194.688
60.9119 -18.2047 | -0.266424 -0.445238 | -40.9896 114.491
46.32 -4.01703 | 0.283421 0.480104 | 3.63798e-12 -7.7307e-12
-24.2429 30.7104 | -0.260655 -0.192018 | -4.09273e-12 -4.09273e-12
-9.44873 95.9981 | -0.0531564 0.250819 | 2.36469e-11 -2.88765e-11
-57.2199 -51.2518 | -0.190796 0.248935 | -1.22782e-11 -1.81899e-12
13.2616 -72.1031 | 0.211952 0.0709651 | 171.55 -359.944
29.0339 11.0647 | -0.25311 0.14885 | 21.074 66.0888
28.6197 33.4531 | -0.310008 -0.0177312 | -2.27374e-13 9.09495e-12
47.0158 63.6445 | -0.611176 0.452831 | 39.6745 185.448
18.2446 86.3474 | -0.3222 -0.353749 | -7.27596e-12 0
34.3777 -82.0226 | 0.231139 -0.43455 | -90.6079 -211.004
21.5892 -16.85 | -0.363918 -0.0218784 | 5.02945 -23.1084
-12.5669 3.39252 | 0.0944882 0.348469 | -81.154 1479.63
96.4627 0.908236 | 0.193432 -0.0179725 | 0 -3.63798e-12
-44.7979 -70.5958 | 0.0657347 -0.0454481 | -985.623 4302.56
-42.9108 73.1818 | -0.112227 0.49491 | 869.225 -1424.48
-19.4167 -93.291 | -0.2349 -0.300095 | 1.45519e-11 9.09495e-12
10.2173 -43.1526 | -0.595749 -0.0670071 | 9.09495e-13 -3.63798e-12
-57.2719 -5.53618 | -0.173734 0.713878 | -28.2396 54.4527
-19.8818 13.1301 | 0.286932 0.114743 | -50.7739 41.7133
-49.8794 -14.568 | 0.0467943 -0.483894 | 5.68434e-12 -1.83036e-11
-71.4055 -10.457 | -0.16306 0.682077 | 1.81899e-11 -1.63709e-11
-95.9472 -2.99194 | 0.192139 0.161929 | -7.27596e-12 -3.63798e-11
