15.8692 -45.0608 | 0.790308 -2.01341 | 275.862 -649.332
54.8021 -57.3801 | 0.245486 -0.521468 | 3.29692e-12 -9.77707e-12
-64.7016 68.6572 | -1.46429 -0.161514 | -1091.99 3669.8
-16.6707 -1.03301 | -1.57015 -0.067874 | 1383.67 164.395
-4.00527 -54.2078 | 0.0589993 -0.74719 | -403.687 -521.547
-21.2487 -79.7242 | 0.923984 -0.94294 | 3.63798e-12 -6.82121e-13
-60.4144 -26.2947 | -1.14836 -1.95033 | 53.9924 -306.561
72.3091 -37.6579 | 0.917081 -0.949882 | 201.857 -325.515
2.63306 -0.605418 | -0.0521709 -0.519003 | -538.342 1208.24
-56.6817 -50.3816 | 0.316627 -0.960259 | -336.979 -2155.61
55.6443 73.9035 | -0.0992094 0.758345 | 2031.57 6171.43
-30.5531 42.0891 | -1.01897 0.948951 | -1367.11 3580.48
-56.1245 38.383 | 0.226021 0.724928 | -973.951 604.813
86.9622 7.4473 | 0.430294 -0.672073 | -2100.82 -439.093
-28.1066 -72.8856 | 0.507558 -1.03505 | -300.125 -2083.56
63.7838 -30.2245 | 0.672828 -0.585146 | -15.3759 -79.619
75.1233 -8.80598 | 1.25464 -0.244036 | -950.851 -344.022
-64.2013 4.4506 | 0.301541 0.392382 | 316.587 -2113.21
-0.990386 -93.0784 | -0.121092 0.435724 | -2098.86 1871.27
70.0363 23.7275 | 0.56523 0.108562 | -1777.3 1489.68
0.818342 -70.2655 | -0.775718 -1.17259 | -254.053 -286.808
13.1502 93.6669 | -0.469659 -0.414289 | 5.23418 59.8009
7.37603 29.6233 | -0.458323 0.25224 | 411.368 -686.274
-9.10452 -11.6226 | 0.347009 -0.044971 | 131.964 -479.636
48.5985 55.08 | -0.440269 0.966277 | -19.3282 256.905
66.6455 -41.5501 | 0.680715 0.143156 | -358.661 464.01
-35.4342 49.7242 | -0.545549 1.25515 | -1929.4 -1701.51
-67.2202 -55.6427 | 0.776046 -1.12106 | 149.495 265.481
-68.9368 -17.5653 | -0.160055 -0.583669 | 79.3704 -216.156
57.4892 -60.0233 | 0.183456 -0.628424 | -3767.86 -3170.45
56.1842 -20.2095 | 0.828158 -0.322435 | 150.713 316.759
51.1995 -44.4058 | 0.0479356 -1.36908 | 120.43 -2324.09
-83.3435 29.1573 | -1.03985 -0.0594212 | 962.908 -2391.16
21.6883 -87.3721 | 0.168426 -1.28519 | 3670.61 2333.56
75.0492 -45.6976 | -0.0281733 -1.64911 | 238.231 1860.08
86.3816 13.0057 | 0.0405377 0.191865 | 2104.51 481.196
-68.6574 -34.5882 | 0.813574 -1.23087 | 4952.52 -8155.44
-72.2332 59.0181 | 0.45 -0.16141 | 1126.95 -3900.96
32.8231 -84.5522 | -0.660436 -1.04268 | 258.237 -208.796
-68.7784 55.2421 | -0.771882 0.449392 | 234.259 -130.374
3.55932 -29.8819 | -0.0285095 -0.588186 | -1.81899e-12 -3.86535e-12
-7.59441 -15.3147 | -0.277318 -0.0656031 | -16.9224 124.014
58.4847 47.0011 | -0.532851 -0.219019 | -694.531 154.186
-15.1246 70.5461 | 0.114366 1.50599 | 84.1119 -147.541
-45.0807 -57.2721 | -0.0117008 -1.31333 | -5.12901 8.1238
-65.3109 -40.5246 | -0.210247 -0.168057 | -1337.26 3143.27
59.3815 -70.938 | 0.184168 1.75006 | 839.247 -1143.02
66.6353 28.9602 | 0.715884 0.642789 | 308.767 -533.662
-62.0747 -42.3744 | 0.55502 -0.413067 | 2562.86 -904.085
18.8132 41.3287 | 0.483313 0.0515461 | -4.54747e-13 3.63798e-12
-27.4047 19.4185 | -0.429302 1.2304 | -1883.69 2072.01
37.6769 82.8758 | -0.302764 -0.312614 | -760.636 -2044.65
69.7247 46.3323 | -0.60365 1.13369 | 1133.09 -83.1254
24.8059 12.6921 | 0.476077 -0.332851 | -4.68656 -4.32932
-62.9546 -47.8295 | -0.761923 -0.203373 | 164.812 -89.4142
-80.3796 -7.90951 | -0.535332 -0.0707947 | -1.21645e-11 -6.59384e-12
40.3345 -81.2415 | -2.03286 -0.330249 | -13.1534 152.203
4.37605 -8.93445 | -1.08628 -0.639503 | 63.088 317.361
71.2459 22.2458 | 0.325395 -0.140229 | 1625.42 -2172.09
-10.0269 1.42146 | -0.297828 -1.43795 | 422.315 -552.692
77.1388 30.3235 | 0.984907 0.133138 | -6.82121e-13 -1.40972e-11
-45.8299 82.7209 | -0.738144 -0.549669 | 419.115 1091.81
4.80162 -96.5601 | 0.712058 0.519713 | 2075.05 -1912.81
23.833 86.0372 | -0.0229838 -0.670927 | 1210.3 3466.64
2.61947 23.0129 | 1.46431 -0.0106697 | -5.61305 -8.61408
-60.7117 -59.9683 | -0.114537 -0.884547 | -502.733 -826.795
-30.3418 -22.308 | -1.25257 -0.160284 | -28.104 265.29
82.0032 -4.36007 | -0.0603899 0.168623 | -248.539 7501.08
-56.2015 17.3585 | 0.0541988 0.690839 | 147.576 469.008
51.5629 8.5888 | 1.01184 -0.150863 | 80.5209 -408.818
64.5994 -54.707 | -0.779213 -1.1454 | 3791.34 3241.62
-70.9268 -13.1671 | 0.61572 -0.207708 | -1232.82 -1406.75
56.694 50.1612 | -0.150089 0.149564 | 419.101 -587.986
-72.5925 23.3273 | 0.174463 0.352115 | -462.612 444.372
