-55.18 -37.36 | -0.0118795 -0.0950849 | -2.72848e-12 -1.36424e-12
71.5296 -2.31452 | 0.0136055 0.855807 | -6.36646e-12 -2.27374e-12
-8.76508 -48.8846 | 0.375369 1.04151 | 0 6.13909e-12
-15.586 -83.1624 | 0.407257 -0.178278 | -376.119 496.939
-4.06742 87.8739 | 0.371324 -0.563046 | 94.618 -481.585
32.2952 91.6492 | -0.327484 -0.012608 | 1984.76 1829.72
-18.5885 36.5692 | -0.482865 0.405773 | 71.6623 95.1015
22.1544 39.7233 | 0.0373139 -0.167293 | 329.798 764.571
35.8023 -4.88996 | -0.520435 -0.306842 | -4.54747e-12 -3.18323e-12
-20.8636 -90.4927 | -0.0917053 0.514241 | 1153.24 6286.49
-14.809 -10.339 | 0.513283 -0.0319033 | 165.239 -910.578
8.8355 -74.1786 | -0.324505 -0.0206269 | 20.3947 -30.6337
-17.8261 -77.1384 | 0.0470391 -0.82621 | -195.336 515.992
-37.0035 -38.5491 | 0.771156 0.122046 | -49.3258 62.8458
-6.4291 6.51077 | -0.183778 -0.153346 | -2648.24 -2056.46
16.8842 69.3273 | -0.0307985 -0.00196201 | -3.18323e-12 -5.51381e-12
18.4181 5.19692 | -0.49845 0.516233 | 2548.79 1854.88
-1.43732 16.1002 | 0.133668 0.0580548 | 70.7375 387.037
60.791 1.44857 | 0.242332 0.303554 | 734.947 -312.982
42.0718 68.0034 | 0.0634728 -0.483742 | 987.171 -2810.55
-27.3171 -9.29452 | -0.308669 -0.371685 | -25.6495 -19.5972
-57.3001 30.2413 | 0.297472 -1.02825 | -27.9652 -158.106
-16.3751 -65.6195 | 1.09083 -0.040632 | 2.17261 4.45417
-56.7909 -46.9233 | -0.741639 0.759946 | -158.769 -48.5909
-59.9525 -42.4039 | -0.917281 0.369305 | 149.14 369.965
-51.3381 -59.0833 | -0.127545 -0.313755 | 4.54747e-12 -4.09273e-12
-59.2611 0.0540342 | 0.621512 -0.092735 | 3.52429e-12 -8.86757e-12
-58.4777 11.6723 | -0.208077 -0.241201 | 5268.24 -4048.38
40.3313 -50.2537 | -0.0216617 0.480978 | 1.81899e-12 0
33.2636 85.9162 | 0.88286 -0.648699 | -430.638 -1346.49
-10.4349 84.0046 | -0.0267253 -0.159487 | 1.81899e-12 -1.00044e-11
65.1469 -13.1226 | 0.136891 -0.451209 | -46.2857 -65.3946
76.3305 -16.5448 | 0.447178 0.532316 | -50.9471 -780.351
-20.0679 7.95308 | 0.0609632 0.0539909 | 42.0154 -36.7749
34.8924 54.8103 | -0.160279 -0.404965 | 64.9484 -158.904
-7.50623 64.5175 | -0.159928 0.663192 | 19.9347 -774.234
29.1293 -41.9767 | -0.691373 0.0642135 | -3.63798e-12 5.11591e-13
16.5481 -38.249 | 0.877431 -0.104667 | 525.233 2951.71
53.5638 30.3998 | 0.48186 -0.240052 | -5.58995 63.5705
75.4132 -31.9158 | -0.569347 0.431193 | -1.00044e-11 -1.27329e-11
-49.3736 -28.3039 | 0.137486 0.0702065 | 501.82 819.241
17.0204 93.4685 | 0.247698 0.0123523 | -2649.24 3800.69
36.714 -37.7073 | 0.619881 0.153476 | -2275.31 -1125.19
69.9187 -21.2783 | -0.436595 0.623122 | 24.4731 -18.7389
-21.7447 49.83 | -0.182732 -0.172264 | -507.681 -635.184
-9.36331 2.40031 | 0.279224 0.424115 | 4.54747e-12 -3.45324e-12
-72.1198 -5.22465 | -0.0182703 -0.247864 | 9.67439 -105.465
-67.5656 -29.1668 | -0.537998 0.288677 | -81.7046 -1162.79
30.6397 14.257 | 0.217168 -0.280259 | 150.165 -834.792
12.5605 50.0482 | 0.122772 -0.254713 | 909.199 1351.44
0.688443 89.0942 | 0.813398 -0.393388 | -66.895 167.179
72.7639 -35.4288 | 0.46367 0.441222 | 1.18234e-11 1.81899e-12
48.3142 -8.31535 | 0.211651 -0.537236 | 2.27374e-12 -2.4869e-12
-37.9913 40.1066 | -0.185684 -0.106765 | -146.503 -100.107
4.45662 -54.2472 | 0.232306 0.514567 | 904.741 3933.1
35.541 74.5717 | 0.340655 -0.464437 | 31.3637 57.9932
-59.9437 12.7279 | -0.0336856 0.240815 | -5681.18 5541.7
-37.7467 72.9895 | 0.279543 0.147703 | 6.82121e-12 7.95808e-13
25.7473 -26.9764 | -0.846546 -0.85049 | 2.38742e-12 -2.72848e-12
-50.8755 -14.354 | -1.19573 0.505979 | -2.42887 24.5496
-77.6056 -4.58124 | 0.105946 -0.582607 | -13.965 -366.628
-8.93299 42.3197 | -0.0175238 0.0151149 | -1726.59 4135.04
2.15414 11.4408 | -0.00827535 0.419685 | 50.2574 67.082
-22.6398 19.7297 | 0.614466 0.476582 | 114.516 173.748
-59.5172 57.1049 | -0.129207 -0.352094 | -156.59 86.2535
-69.7943 -26.7027 | 0.817849 0.319616 | 81.7046 1162.79
-38.7388 -70.4135 | 0.636247 0.0118692 | 59.1556 226.62
-42.0202 67.8275 | -0.0985422 0.178879 | 338.928 -415.633
18.3669 51.0016 | -0.0438329 0.750914 | 2.72848e-12 -1.81899e-12
68.8529 47.7552 | 0.334471 -0.0979308 | 6.36646e-12 1.00044e-11
40.4344 -42.304 | -0.0629513 -0.116634 | 1750.07 -1826.52
-6.37284 -32.1895 | 0.365107 1.07243 | 3.18323e-12 2.16005e-12
38.4415 71.8231 | 0.825825 -0.765418 | -1018.53 2752.56
55.0077 12.0267 | -0.750142 -0.79633 | 915.071 -3002.99
15.1358 -91.4585 | 0.934425 -0.881168 | 107.28 -4073.2
58.6261 6.92287 | -0.294908 -0.608365 | 130.003 -967.694
-68.5419 -8.66914 | -0.133909 0.099902 | -82.3324 67.6553
-26.0561 -70.9421 | -0.052947 -0.442393 | -2379.01 2731.99
59.4902 58.1099 | -0.351827 -0.525164 | -1170.72 -3127.76
-60.7132 7.62069 | 0.393417 -0.1397 | 208.536 -1087.28
-7.85768 46.7111 | 0.0288455 0.390467 | 1.81899e-12 7.7307e-12
-64.2592 15.2481 | -0.419226 -0.138193 | 784.237 4392.92
-41.0481 -9.62013 | 0.72953 0.326175 | -5.91172e-12 -6.08225e-12
42.9487 -65.915 | 0.2926 0.0937502 | 773.248 -4771.56
-7.43702 93.3293 | 0.851873 -0.198402 | 88.6625 -3216.28
16.2334 -57.5495 | -0.23191 -0.366378 | -748.432 -3295.38
50.1567 -60.7332 | -0.187963 -0.368375 | -506.098 4116.59
-68.8814 59.3795 | -0.403534 0.101894 | -338.928 415.633
-16.1559 -7.47011 | 0.256174 0.0760072 | -139.59 930.175
-2.69053 -62.9755 | 0.253442 0.23028 | -351.135 1581.24
-36.2146 -82.5347 | -0.578022 -0.0701415 | 168.735 -151.507
-64.2343 -36.0122 | -0.512552 -0.418204 | 5.45697e-12 4.86011e-12
68.0254 -40.0265 | 0.163176 -0.0753774 | 6.99174e-12 5.45697e-12
4.41358 -8.83006 | -0.01076 0.160149 | -1.27329e-11 2.72848e-12
-49.7065 -61.3726 | 0.0509929 -0.357098 | -1.11413e-11 0
66.5175 56.6997 | 0.767689 0.0356741 | 1170.72 3127.76
-38.1388 51.9028 | -0.412695 0.296549 | 61.2439 -42.6798
-58.682 38.3956 | 0.408024 -0.414602 | -460.606 1355.13
69.7271 15.7056 | -0.180914 -1.5336 | -130.003 967.694
-32.89 -78.667 | -0.138756 -0.278612 | 200.449 -520.574
59.9621 -35.5406 | 0.950032 0.362669 | -1.81899e-12 -1.3074e-12
62.7263 -11.1775 | 0.0503119 0.319975 | 46.2857 65.3946
-74.9536 -1.4569 | -0.306845 -0.318569 | 5.09116 462.93
-8.52925 -93.685 | -0.768419 0.96736 | -1029.24 -1604.13
44.9973 10.6162 | -0.179797 -0.0916368 | -1041.65 344.143
-5.88699 -82.3864 | 0.116368 0.099077 | -29.8092 402.879
38.2352 86.0833 | 1.3956 -0.931606 | 959.342 788.315
8.45115 37.2601 | 0.245808 0.478264 | 1398.18 -4898.25
-10.6495 -23.6813 | -0.692114 -0.0617467 | 22.9131 23.2617
58.4716 49.278 | 0.198989 0.396086 | -64.9484 158.904
59.5718 -46.8483 | -0.420594 0.05413 | 9.09495e-13 -1.60583e-12
-39.9181 56.5351 | 0.505239 -0.452004 | 101.893 -37.6812
-44.9162 -61.4873 | -0.541004 -0.453626 | -5.00222e-12 3.52429e-12
-58.058 -19.7016 | -0.0599441 0.431917 | -198.473 -211.42
52.4213 -62.0351 | -0.534141 1.08604 | -287.545 685.596
59.4545 -26.3579 | -0.119624 0.0952666 | -1782.97 2240.04
55.1338 -52.4956 | 0.307101 -0.236805 | -3.18323e-12 -4.54747e-12
-88.9547 11.469 | -0.341355 -0.728641 | 548.867 -1081.67
26.4826 -88.2952 | 0.520924 0.160651 | -30.7576 -249.183
75.7294 -43.7553 | -0.3641 0.105512 | -2.91038e-11 -6.82121e-12
63.0226 14.3069 | -0.951001 -0.832558 | 14.4976 -32.9676
-65.8693 -45.2177 | -0.204691 -0.0742343 | -41.441 -169.69
-77.5244 46.5466 | -0.140666 -0.433804 | -7.95808e-13 9.54969e-12
29.5172 -85.7825 | 0.324231 -0.311034 | 30.7576 249.183
-74.2081 44.217 | -0.102779 0.112065 | 156.59 -86.2535
11.5043 -48.2374 | 0.161405 0.893484 | -5.45697e-12 1.36424e-12
-13.2385 -27.9579 | -0.26192 -0.566862 | 1.36424e-11 4.54747e-12
50.1306 41.6183 | -0.0632486 -0.255567 | -5.17275e-12 -5.68434e-12
-17.3707 81.2808 | 0.283724 -0.0936583 | 108.07 156.594
-23.5084 -63.4414 | -0.00444515 0.404817 | 349.29 -1582.82
-60.927 -49.6186 | 0.02537 0.124014 | 51.0703 -151.683
52.8044 -73.9914 | -0.630616 -0.58106 | 415.397 -246.879
47.0774 20.3055 | 0.207808 -0.107602 | -3055.37 3976.85
-57.2169 -52.108 | -0.856481 0.13364 | 4.54747e-12 -4.54747e-12
12.8866 55.9899 | 0.31882 -0.279045 | -2.30216e-12 -4.54747e-13
-26.4221 31.7682 | -0.118838 0.320803 | 3.63798e-12 -4.54747e-13
46.4117 77.1223 | 0.225111 0.301132 | -6.82121e-12 -1.36424e-11
65.5847 34.1064 | -0.384568 0.0342957 | -911.437 -2949.75
14.7265 8.40134 | -0.0789955 0.594755 | 49.1903 134.494
-58.5845 -57.8606 | -0.75613 -0.404812 | 7.22327 -195
-76.4116 -17.1836 | -0.618968 -1.26688 | 125.496 338.71
31.7544 -82.992 | 0.0418409 0.538456 | -2.17426e-12 -4.09273e-12
6.7656 -23.1529 | -0.325546 -0.252192 | -117.87 -514.307
48.0167 9.70783 | -0.538402 0.205199 | 111.376 2473.9
-19.623 0.699511 | -0.385712 -0.278111 | 1.81899e-12 -6.82121e-12
57.3026 20.18 | -0.217595 -0.562992 | 4245.57 -4510.4
-56.1784 78.8003 | 0.722402 0.294842 | -1900.08 3604.9
5.58265 -95.7832 | -0.36267 -0.276852 | -231.276 -609.163
35.6347 82.7887 | -0.0210963 -0.137754 | 19.3989 -1541.55
2.67495 29.7594 | -0.245441 0.230453 | 7.88673 -27.8571
-40.2245 -62.9986 | 0.269728 0.231759 | 4.09273e-12 -1.81899e-12
-30.2371 -32.5572 | -0.491775 0.253506 | -501.82 -819.241
75.0276 3.28922 | -0.137601 0.0423114 | -116.014 -585.732
-60.8474 14.8904 | -0.387623 -0.657422 | -784.237 -4392.92
42.2537 -0.983076 | -0.591091 -0.200074 | -618.933 898.714
61.7707 -54.8979 | 0.114012 -0.145166 | 3.63798e-12 1.63709e-11
-64.1268 -17.9412 | 0.0375676 0.381705 | 220.552 58.6955
45.6265 48.7104 | 0.272547 -0.35014 | 6.82121e-13 -5.91172e-12
-76.1647 13.0205 | -0.162868 -0.952254 | 10.3197 -7.39287
