47.0598 -4.94623 | 0.274758 0.184236 | 412.635 -1137.12
-26.1872 26.724 | 0.0655725 -0.344464 | -1146.83 -2574.43
-7.88658 96.3487 | -0.309893 0.305872 | 58.0199 244.96
-49.9588 -54.1212 | 0.0659546 0.217672 | 59.5192 -75.3195
12.5174 -78.145 | 0.120902 -0.240038 | 5.45697e-12 -6.13909e-12
25.0333 9.6403 | 0.381986 0.329401 | -289.157 447.902
21.6769 33.9149 | 0.077073 0.128307 | 1.81899e-12 1.81899e-12
50.4337 63.2633 | -0.0728687 -0.0641764 | -1527.25 2283.56
28.9148 85.9322 | -0.575885 0.556412 | 6.36646e-12 -1.81899e-12
27.3631 -88.8135 | -0.230345 0.0639161 | 52.5638 32.4925
22.4319 -16.0441 | 0.266011 0.368931 | -2121.14 3921.42
-18.2286 -0.315535 | 0.359957 -0.0420422 | -1.09139e-11 -1.81899e-12
95.1635 3.91842 | 0.352469 -0.549293 | 2.44367 -5.61217
-43.8622 -71.4562 | -0.388008 0.220674 | -5.45697e-12 -2.26237e-11
-39.3638 79.1008 | 0.400034 0.702679 | -3.15481e-11 2.68017e-11
-23.228 -93.9005 | -0.257865 0.31379 | -14.6265 -90.4677
0.214098 -37.5032 | 0.156743 0.401754 | -2.72848e-12 1.02318e-12
-62.3454 -13.4677 | 0.674124 0.0646817 | -316.08 270.611
-22.0914 6.18663 | 0.379223 -0.0845411 | 51.7569 -665.241
-56.5694 -21.3582 | 0.158463 0.13353 | 1118.97 -1158.8
-75.9581 -18.8396 | 0.154051 -0.109679 | 96.318 -71.3848
-95.0254 -5.10909 | 0.435228 0.169108 | 1.27329e-11 1.72804e-11
2.12949 53.0951 | -0.441509 0.101696 | -93.5089 -325.187
76.6021 0.487454 | -0.389379 -0.566707 | -1.36424e-11 1.81899e-12
-65.2044 -56.1882 | 0.295031 0.128982 | 86.5765 595.53
-25.0141 84.4734 | -0.0554442 -0.165993 | -1781.66 -438.409
0.0177821 1.4332 | 0.000404077 -0.139605 | -3779.3 -6262.83
-73.6267 7.09068 | -0.280598 -0.4966 | 28.7043 177.994
51.7137 38.4735 | 0.0251169 0.156212 | 430.84 424.984
-43.3526 -77.137 | -0.783444 0.192969 | -15.8885 310.249
70.2903 39.0256 | -0.271593 -0.224095 | -5.45697e-12 -1.09139e-11
57.719 -29.99 | 0.909545 0.2782 | 14.609 -16.607
-76.1301 2.74478 | -0.054027 -0.7424 | -28.7043 -177.994
71.1177 -5.60631 | -0.542778 0.368143 | 639.454 -156.339
