32.6337 -20.0067 | 0.120809 0.309272 | 54.3334 -1473.85
36.2071 84.4898 | -0.396634 0.0642687 | 320.689 405.883
7.52627 67.6514 | 0.659886 -0.217058 | 519.097 812.021
5.35567 -50.7426 | 0.0637585 0.552162 | 58.2238 555.498
-45.593 64.5879 | -0.666699 -0.298833 | 170.429 814.589
-76.839 17.3773 | -0.057651 -0.0656481 | 9.09495e-12 1.09139e-11
-27.1279 -86.4285 | -0.0045851 -0.268882 | 1488.56 2152.3
-35.2105 -82.3617 | -0.199418 0.262541 | 0.177873 -14.8049
26.802 60.5558 | -0.193546 0.310191 | 94.001 66.4921
-4.27216 -96.1002 | 0.180354 0.958776 | 14.3932 -667.256
9.93037 72.6677 | 0.989601 0.646247 | 897.087 -3971.4
-64.2457 27.873 | 0.546673 0.144787 | 476.914 4493.2
-77.0113 25.9858 | 0.130908 -1.07836 | -113.309 114.993
63.6847 40.5694 | -0.27971 -0.263553 | -450.153 -165.811
66.5417 -23.6447 | 0.0767808 0.759496 | 262.701 -2752.56
36.3256 -73.0865 | 0.544192 0.556144 | 3.63798e-12 1.23919e-11
-69.5409 39.2016 | 0.767509 -0.478278 | 379.872 392.292
-65.6392 41.315 | 0.0538073 -0.78907 | 1.68318 -37.957
-6.92796 -61.8284 | -0.75296 0.565787 | 1767.41 -463.639
55.9072 -71.6772 | 0.419814 -0.0935372 | 1220.59 -828.128
-77.6593 -42.3242 | -0.319353 0.449823 | -63.0975 393.398
76.4756 -25.297 | -0.0426587 0.839551 | 1.81899e-12 3.27418e-11
2.28379 -55.3852 | 0.622116 -0.424823 | 175.447 301.672
75.7298 51.7424 | 0.11712 -0.645015 | -3.91083e-11 -1.81899e-11
-60.7081 -1.16 | 0.032539 -0.0833556 | -261.525 -1022.49
7.78032 31.809 | 0.907369 -0.697036 | 1.36424e-12 2.27374e-12
-54.1937 70.2766 | -0.502545 0.736484 | 1.27329e-11 0
-71.6344 -30.1545 | -0.620047 -0.143825 | -2.84217e-12 5.45697e-12
-56.6485 -30.5753 | -0.330602 0.679572 | 475.766 -165.885
-44.2427 -22.0974 | 0.319893 1.0124 | -23.2804 -134.933
3.889 -18.5508 | -0.880456 0.099636 | 3.63798e-12 -9.09495e-13
81.027 -19.644 | 0.0634669 0.422655 | 1109.99 -428.025
-66.1285 -65.8685 | -0.377419 0.288898 | 25.0287 71.3652
74.5677 -6.18674 | -0.442894 0.609668 | -22.1062 41.6639
-52.3056 54.8118 | 0.487122 -0.174363 | -256.402 258.234
63.8765 55.3216 | 0.250741 -0.180301 | -25.0139 -279.456
39.776 -83.6166 | 0.0641665 0.442667 | -1673.77 3622.19
-19.4077 -89.2951 | -0.00272432 0.0292727 | -1488.56 -2152.3
-55.2731 -72.16 | 0.0156707 0.278993 | -25.0287 -71.3652
-78.3452 32.8723 | 0.349826 -0.0164207 | -379.872 -392.292
