-3.67109 -95.1892 | -1.01414 -0.645975 | 569.216 1202.81
69.0652 22.8264 | -0.20025 -0.677758 | 2382.16 -1898.9
-2.19317 -74.5153 | 0.0109559 -0.836849 | 191.211 1946.92
13.8468 91.4738 | 0.70077 -0.572483 | 151.573 1029.94
5.86583 30.1494 | -0.739132 0.0206579 | -220.331 492.242
-9.26056 -13.6128 | -0.401289 -0.719578 | 168.686 -104.579
46.5804 58.5861 | -0.375775 0.28902 | -307.892 165.895
64.2268 -45.5772 | -1.29629 -0.465551 | 917.378 -533.498
-38.8038 56.5328 | -0.860971 1.72155 | -9.54969e-12 -9.09495e-13
-63.7881 -56.9689 | 0.855861 0.220599 | -251.05 -1152.9
-66.7371 -19.1459 | 0.996844 0.0813389 | 30.4803 -12.8999
55.8409 -61.7717 | -0.373249 0.222384 | 1490.71 -566.013
59.7394 -23.0681 | 0.302543 -1.1526 | 84.9428 -236.871
52.1579 -50.2434 | 0.738289 -0.919211 | 2860.4 546.756
-86.7415 29.8313 | -0.640134 0.210465 | 1823.97 -2591.32
26.3997 -86.2537 | 1.28731 0.853078 | -5.45697e-12 -1.18234e-11
72.2049 -48.8798 | -0.392012 -0.302252 | 1.98465 -1027.35
83.2013 11.374 | -0.313971 -0.776551 | -1.63709e-11 -6.36646e-12
-67.5155 -38.928 | -0.347677 -0.642149 | 660.794 345.385
-74.5541 57.0739 | -1.57288 -1.01164 | -60.1468 265.911
30.3281 -83.5586 | -1.61852 -0.25269 | -291.48 -435.222
-69.6277 56.8352 | -0.411271 0.183511 | -168.331 -237.73
5.47842 -32.1155 | 0.734488 -0.264521 | 4.54747e-13 3.41061e-12
-10.4062 -17.6532 | -0.482404 -0.789147 | 461.965 676.722
54.6408 45.1951 | -1.61857 -0.223745 | 294.903 -335.293
-16.3408 74.029 | -0.169676 0.274955 | 8393.43 3107.61
-42.2085 -62.0034 | 1.08079 -0.457597 | 5.45697e-12 2.27374e-13
-63.1719 -43.3017 | 0.898117 -1.51273 | -335.809 588.97
61.0733 -70.5466 | -0.360707 -0.215309 | -653.3 2307.57
69.4426 29.9133 | 0.0931311 0.320842 | -215.55 -326.776
-58.8387 -45.4939 | 0.0510699 -0.682057 | 335.728 -586.366
20.899 43.2616 | 0.0851047 0.816843 | 7.64165 6.17107
-27.151 21.3522 | -0.187542 -0.415506 | -2203.22 1683.78
34.7198 82.8317 | -0.657313 0.234377 | -1.81899e-11 -7.27596e-12
67.6045 46.4728 | -0.433518 -0.361355 | 35.8309 -1274.44
23.8056 12.9933 | -0.516911 -0.672915 | -384.683 521.398
-63.279 -48.8524 | 0.323621 -0.742643 | -1500.42 -3552.03
-79.2922 -9.39286 | 1.16172 -0.220815 | 374.179 -1383.4
30.7764 -81.0313 | -1.61833 0.651942 | 897.463 -1960.7
3.33634 -10.5663 | 0.71614 0.290815 | 18.3823 650.435
72.5771 21.3392 | -0.183368 -1.02764 | 110.807 247.414
-9.76125 0.977923 | 0.179174 -1.35964 | -1571.28 669.309
78.2655 30.3024 | 0.117869 0.122959 | -7.27596e-12 -9.09495e-13
-45.7008 83.1835 | -0.0358616 0.219836 | -2455.02 6239.55
9.02555 -96.6559 | 0.494542 0.453932 | -569.216 -1202.81
24.0276 84.4474 | -0.158601 -0.961933 | 8.6402e-12 9.09495e-13
6.55444 23.0749 | 0.229438 0.0159443 | -8.70575 -15.8035
-60.3711 -61.36 | -0.544691 -0.665792 | -2.27374e-12 -1.81899e-12
-30.1705 -24.3279 | 0.479204 -1.07047 | 1344.14 -3790.66
82.5298 -1.70107 | 0.0299489 -0.370838 | 443.899 -2147.5
-55.7296 18.8746 | -0.110503 -0.389464 | 2.04636e-12 -5.68434e-13
56.4446 9.68745 | 1.62659 0.6465 | 971.647 2143.13
62.9472 -57.3344 | -1.31175 -0.941059 | -264.595 6940.47
-72.1923 -13.2832 | -0.855601 0.0139374 | -9.51478 139.565
55.1448 51.4195 | -1.08153 0.736178 | -2.72848e-12 -2.72848e-12
-74.4935 25.9505 | -0.986621 0.645583 | 82.76 -450.645
