-57.7922 3.17865 | 0.31189 -0.231872 | 1900 -2064.02
-2.10011 -90.2872 | -0.163985 -2.67813 | 3.63798e-12 -7.95808e-13
59.5104 19.5623 | 0.426755 0.32372 | 955.389 -717.325
0.71579 -63.1141 | 0.935288 -1.45807 | 6.36646e-12 1.59162e-12
13.615 90.0723 | 0.719545 2.2328 | 5.91172e-12 3.18323e-12
8.17156 30.3108 | -0.114048 0.665269 | -856.393 -1268.43
-4.2668 -11.1486 | -0.728358 0.171485 | -218.628 -117.684
46.1932 48.0066 | 0.278652 0.692156 | -301.879 -434.849
49.5549 -33.8421 | 1.78703 -0.619696 | 6.96027 -19.885
-28.6476 42.4376 | -2.83673 -0.594023 | -255.942 297.325
-65.6756 -51.0155 | -0.410102 -0.323486 | -8.49711 -26.6448
-59.3773 -14.7184 | -0.63149 0.258675 | -113.863 487.916
55.2938 -51.6717 | 0.547091 -1.67365 | 15.8238 114.748
55.0998 -16.6297 | -0.574385 -1.00481 | -1831.93 -4936.69
51.1504 -40.1832 | -0.226621 0.359874 | 2.67164e-12 6.13909e-12
-75.6862 29.8144 | -1.88173 -0.61304 | -64.4215 -178.3
23.8525 -79.3229 | -0.517713 -1.00394 | 2.95586e-12 2.72848e-12
70.3385 -37.8875 | 1.35574 -1.97374 | 0.915662 -14.8901
77.9702 12.6908 | 2.60568 0.29038 | 1073.71 -1465.85
-63.4113 -27.3791 | -1.09454 0.256127 | -124.323 489.544
-75.0702 54.1609 | -1.50508 2.03096 | 31.6476 -43.5079
33.7452 -75.8825 | 0.796282 -1.56026 | 0 2.72848e-12
-65.3856 48.5705 | -0.397344 1.49971 | -335.972 -286.811
10.504 -27.2077 | -0.260479 -0.568577 | -93.9829 -402.568
-8.03164 -16.4037 | -0.571531 0.343445 | 1382.91 -2245.31
56.8151 40.0229 | 1.14571 0.441512 | -878.412 1093.38
-15.2789 57.4551 | 0.270678 1.74528 | 355.775 240.772
-39.5185 -49.7703 | -0.351291 -0.6939 | -468.652 432.525
-60.9566 -34.4365 | -0.903332 -1.14342 | -1853.26 -7909.78
55.239 -65.7212 | -0.308796 -1.96729 | 1.81899e-12 -7.27596e-12
62.8599 26.0902 | 1.18739 0.779611 | -255.178 -414.109
-56.9719 -36.3951 | -0.916462 -1.29099 | -145.251 -490.112
17.3854 40.0872 | -0.171591 0.757993 | 48.6202 60.4524
-25.0113 19.3037 | 1.00923 -0.545547 | 28.8704 -1014.32
38.9918 79.2087 | -1.38367 1.66843 | -2.27374e-12 -6.6791e-12
74.1877 42.2155 | 0.520769 1.97002 | -238.356 68.6149
21.7869 12.2149 | -0.159272 -0.25455 | -240.744 -183.156
-58.6862 -42.0783 | -0.617529 -1.67882 | 440.692 926.635
-79.6319 -7.66731 | 0.377738 -0.993455 | -229.691 -671.573
46.4772 -72.9915 | 0.188888 -1.40031 | -3.63798e-12 -1.04592e-11
5.1074 -7.72409 | 1.31066 -0.557389 | -1905.09 -5081.99
66.955 19.6322 | 0.911077 0.531068 | -1081.84 5367.76
-4.47441 4.08158 | -0.453577 0.698502 | -2951.39 -1292.56
73.0088 27.1896 | 1.43564 1.0739 | -392.657 887.074
-42.075 76.7162 | -0.591067 3.09038 | -1.63709e-11 6.36646e-12
2.21844 -96.0201 | 0.11996 1.55858 | -1.18234e-11 8.46256e-12
26.9221 80.1951 | 0.128223 2.89589 | -8.41283e-12 2.50111e-12
3.16641 22.382 | -1.30967 -1.05508 | 1560.77 18632.3
-57.3499 -56.0095 | -0.604871 -1.35459 | -55.1116 239.145
-20.9998 -20.9756 | -0.397891 -0.162326 | -5727.01 -9306.47
78.4311 -2.04922 | 1.19006 0.113171 | 1474.81 -362.527
-50.3331 15.2871 | 0.0909916 0.124639 | -51.8757 1022.75
45.5279 6.34347 | 0.0362144 -0.724154 | 6.93752 628.406
68.4442 -47.4646 | 0.387734 -0.635516 | 3.9786 -39.3661
-66.5174 -12.8346 | -3.20399 -0.095052 | -30.5109 -89.0218
60.6614 47.6995 | -0.68969 0.292248 | -383.756 697.462
-69.6126 20.2189 | -0.609436 0.795436 | 496.123 3065.55
