65.0132 19.2668 | 0.510697 0.812898 | -2.27374e-12 -3.18323e-12
-83.3531 -4.85902 | 1.13927 1.03142 | -5.00982 25.1352
-11.8902 91.9004 | 0.449926 0.179235 | -305.639 2026.25
-12.1147 10.1127 | 0.529267 0.608401 | -355.89 -681.591
62.8949 -57.9209 | 0.852478 0.0788398 | -114.44 1130.63
-45.231 80.8889 | 0.136262 0.572497 | 2201.56 1962.2
70.2427 -4.66876 | 0.17963 0.202095 | 7.27596e-12 5.45697e-12
-13.339 72.4044 | 0.127793 0.65111 | -1288.12 -836.77
-67.7156 49.347 | 1.30052 0.00881076 | -406.755 936.424
28.8509 46.5659 | -0.197155 2.06673 | -9.09495e-13 1.59162e-12
-39.8422 61.066 | 0.0617259 0.397688 | 1382.38 -2922.15
-20.2205 -0.0667919 | -0.26097 0.336903 | 47.991 170.715
35.2698 -14.0779 | 0.0953591 -0.150626 | -5.91172e-12 7.95808e-13
35.1188 84.7932 | -0.0118164 -0.450757 | 29.6804 57.4487
10.4627 49.2101 | -0.114126 1.47229 | -70.1036 79.1544
5.82728 -29.3289 | 0.32165 -0.289022 | -1155.58 2302.81
-48.0481 65.012 | -0.151383 1.07122 | 1373.18 -128.224
-85.146 12.7348 | -0.608352 0.624049 | -1045.37 699.155
-22.1265 -85.6236 | -0.194133 -0.654659 | 1862.48 -2118.58
-32.5804 -84.4606 | 0.474861 0.138673 | -4609.46 -3146.53
30.0537 43.4742 | -0.106733 1.37171 | 4.77485e-12 1.59162e-12
-7.7861 -96.3614 | -0.227511 0.0200812 | 47.2492 -119.396
2.75721 56.8257 | -0.1937 0.446338 | 255.871 -517.387
-70.3283 21.9968 | -0.538563 0.726577 | 294.033 -564.646
-79.0768 23.7893 | -1.22469 1.4812 | -1453.57 -1049.77
67.2482 38.4691 | 0.321622 0.510487 | -275.376 -500.598
69.4517 -29.9795 | -0.252902 -0.549153 | -432.682 -2647.19
31.1658 -72.2636 | 0.507115 -1.03406 | 2.7804 -2.8667
-76.1757 35.7412 | -0.369265 -0.399416 | -280.291 2225.97
-72.6897 40.9292 | 0.18416 0.935278 | -2191.56 -1578.07
-12.5453 -41.076 | -0.591276 -0.641413 | 150.594 -94.9124
46.9994 -78.061 | 0.951977 -0.756552 | 4.54747e-13 -3.63798e-12
-79.7413 -48.515 | -0.157352 -0.671323 | 301.525 119.015
78.8026 -29.8305 | -0.622741 -0.897061 | 1058.18 -1021.14
3.10967 -37.8775 | -0.150953 0.0115994 | -402.216 765.8
68.0965 59.8154 | 0.946366 -0.474098 | -106.66 -533.57
-72.0723 -1.22228 | -0.189795 1.02266 | -1112.56 -1734.51
-5.25356 20.4461 | -0.953851 0.511838 | -438.888 -1076.26
-47.6792 76.9828 | -0.241687 -0.975108 | -55.4153 240.872
-77.0402 -35.9683 | -0.922679 -0.449641 | -902.909 -2179.8
-71.2444 -28.3502 | 1.16952 -0.533473 | -290.687 -401.403
-48.5786 -18.4258 | 1.39229 -0.641601 | -863.544 2518.57
6.86809 -10.7736 | -1.28219 0.64315 | 1076.83 -752.363
84.9338 -24.1118 | 0.0653728 0.173886 | -1185.38 636.884
-56.737 -71.2611 | -0.174562 1.06461 | 1975.61 -11178.1
75.7424 -13.7545 | 1.30535 -0.186163 | 7.27596e-12 -3.63798e-12
-58.1576 54.2845 | 1.24985 0.446142 | 693.496 -630.525
59.7149 56.9463 | -0.361783 0.42143 | 3.41061e-13 0
33.7684 -86.4108 | -0.8304 -0.0760594 | 1093.35 618.742
-15.4474 -88.0389 | 0.0517918 -1.0928 | -45.3051 -76.6262
-45.6762 -77.0749 | -0.10617 0.0245499 | -740.379 1263.17
-81.3174 27.6119 | -0.809227 0.842985 | -64.325 -226.855
